Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-3.757523693818635e-05,-4.5386123121244945e-05,-6.993900397097457e-05,-8.037469935554795e-05,7.250293450099642e-05,0.0001002078025914346,0.2363307375052882,0.21301084049540783,0.2534951914089281,0.23068553554323062,0.19222161486986017,0.16639412595376452,-0.0014129313247795705,-0.0011653255177687394,-0.0026224261269099935,-0.002348230939973772,0.0021676025416421663,0.0022972928941326354,-0.0001589942862906081,-0.00021306954620567021,-0.0002758987402571744,-0.00034841672741326113,0.0003771840880125947,0.0006022316113447362,False,True,True,True,True,True,no trend,decreasing,decreasing,decreasing,increasing,increasing,0.0018159308963624403,0.0015263100379863755,0.0024861113728395614,0.0021498881905735127,0.004004975107732074,0.0035013363147503376
2,-2.825402983445668e-05,-3.410799726980858e-05,-5.41551381606856e-05,-6.752145016149016e-05,4.9315911474350245e-05,6.026903910817831e-05,0.11168082354298713,0.11391356148575539,0.12430828503669304,0.12573538033868106,0.07804657067116315,0.08258629890823213,-0.0008565196337613212,-0.0011663354312833746,-0.001762148550168638,-0.002076168035549719,0.0017603997185355186,0.0014675140020417865,-0.00025298908924665484,-0.00029941998849780237,-0.00043565188068277357,-0.0005370123347908461,0.0006318780063013277,0.000729770432927958,False,True,True,True,False,True,no trend,decreasing,decreasing,decreasing,no trend,increasing,0.0014667806124417334,0.0014451105731099706,0.0021958097098960998,0.0021820867913202005,0.002833730235367375,0.002680138406092583
3,-1.823838340980107e-05,-2.8195715015612104e-05,-3.543868511848059e-05,-5.245362894640637e-05,2.9168440281518928e-05,3.419756695098286e-05,0.05491859988864192,0.0660721172584504,0.06303168584267294,0.07343094481125013,0.032782999451215496,0.046487569555009794,-0.0004182322427547444,-0.0008622439765166301,-0.0010013176192575496,-0.0015251314882930161,0.0012889128636587727,0.0010585326412849844,-0.0003320984775063989,-0.00042674150890791934,-0.0005622360348561125,-0.0007143259436636053,0.0008897428780098232,0.0007356281964905932,False,False,False,True,False,False,no trend,no trend,no trend,decreasing,no trend,no trend,0.0012203728247189504,0.0012594914145881643,0.001782155469179418,0.00187011603855528,0.0019873696135302636,0.0019381376632089885
4,-1.3159606935495725e-05,-1.9381518292430525e-05,-2.631365420314891e-05,-3.524680587906064e-05,2.042659026523225e-05,2.512024219889443e-05,0.028112744700288073,0.03951068969282007,0.033377549126431864,0.04421678977807474,0.013493139369699845,0.026914261487685356,-0.0003903658247001382,-0.0005672090173334532,-0.000872465306297629,-0.0010642222868754159,0.0010243234428082733,0.000876269781541008,-0.000468101107728584,-0.0004905385971015475,-0.0007883638820655942,-0.0007971362474744392,0.0015138500911879814,0.0009333431723693485,False,False,False,True,False,False,no trend,no trend,no trend,decreasing,no trend,no trend,0.0009800633482808499,0.0010549095583542874,0.0014182799663351646,0.0015297847481470798,0.0012384829154175486,0.0014819368758312466
5,-1.133528738301061e-05,-1.5120702740720915e-05,-2.159393321136091e-05,-2.2684857668233826e-05,1.310445799109401e-05,1.932553462231794e-05,0.015066207430748442,0.023941020713359816,0.018508015120328163,0.026993406633695215,0.005394001533042157,0.01572116248700806,-0.00038247819563910247,-0.0003834147509779312,-0.0007146880378457177,-0.000746970843583078,0.0005882704607089182,0.0006815775892641401,-0.0007523650152245055,-0.0006315813733155957,-0.001166734145772517,-0.0008403851346393925,0.002429450179207354,0.0012292688049174816,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0007663204237608877,0.0008744920524921949,0.001095059019393889,0.0012309923454375197,0.0006629142217313474,0.001161521378947756
6,-9.777607799890385e-06,-9.868654237505186e-06,-1.5718800553699708e-05,-1.6528795391113533e-05,7.707645173300058e-06,1.555099500338332e-05,0.008440245023015701,0.014596558953867063,0.010683862082724392,0.0165797867245845,0.002087313736823549,0.009226566870945987,-0.0003480140367472795,-0.0002671409896592772,-0.0005851110733745401,-0.0005566890913105173,0.0003422035096060506,0.0005819558555626818,-0.0011584507053086527,-0.0006760945691854782,-0.001471265768126745,-0.000996924487973337,0.003692614597089495,0.0016854584398399205,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0006003144611280341,0.0006965405084246481,0.0008513351551511183,0.0009602496025075504,0.00031191521024884975,0.0008959094406012111
7,-8.640294980022293e-06,-8.511033603325092e-06,-1.2039889418135354e-05,-1.248643080368989e-05,4.101755753836372e-06,1.0975986786657902e-05,0.004905314853993116,0.00890246669767631,0.006351993048914694,0.010186358414126588,0.0007903407184320489,0.005408083588585607,-0.0003211700893171491,-0.00021363249201393833,-0.0004892237493653705,-0.0004370699942295806,0.00016547033052712002,0.0004405481212212299,-0.0017614149625867052,-0.0009560309397783663,-0.0018954506601975105,-0.0012257992793944428,0.005189857561652416,0.0020295519858132384,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.00045502748642306187,0.0005395084690753023,0.0006358252674255401,0.0007390951185580056,0.00016065745070004817,0.0006645282537325164
8,-7.190508124120078e-06,-6.225776492960524e-06,-1.12328937278672e-05,-9.21182544673707e-06,2.5381258357466537e-06,7.75819825704952e-06,0.002924018739663516,0.0054209994518149085,0.0038456675669368487,0.0062465127649079044,0.0002954808261007,0.003163814623716173,-0.00026936631185747956,-0.0001722027003590405,-0.000396707468339569,-0.00034369238866796027,9.847931897131996e-05,0.00032978163299652013,-0.002459118345099092,-0.0011484554736260271,-0.0029209216689560155,-0.001474714899885886,0.008589815688689254,0.002452165875615319,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0003450751267168384,0.0004050084307286565,0.00047832998328818654,0.0005595218337577213,8.42695025843154e-05,0.00047602149456193934
9,-5.986129868647317e-06,-5.124552206503952e-06,-8.177188985304815e-06,-7.2722042452014054e-06,6.603712763944847e-07,4.6497985145095575e-06,0.0017810049563530463,0.003279683757826945,0.0023643632780784287,0.003809658460403336,0.00011485073701629023,0.0018236285398771025,-0.00021862460778560022,-0.00015648972145294914,-0.00030264645258598014,-0.00027346285074240006,2.266797374390424e-05,0.00018456022750060956,-0.0033610966927936463,-0.0015625141278558458,-0.003458516320702883,-0.00190888614315087,0.005749821843118157,0.002549750902024661,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.00026208570706372155,0.000300175182906946,0.0003595743088027196,0.0004210661957490656,4.181959743675262e-05,0.0003386619414662604
10,-4.443637488866665e-06,-3.5897590934725212e-06,-6.147067485709094e-06,-5.41981787775299e-06,3.7642497712940544e-07,2.590347397544001e-06,0.001098986467128529,0.001972792325121869,0.0014686824869855422,0.0023137928176726378,4.205199906847007e-05,0.00103115902053352,-0.00016706542034318982,-0.00013451775541573996,-0.00022969635794670997,-0.00021938757265356013,1.2654910341662842e-05,0.00011220343841229991,-0.00404339600329853,-0.0018196335456905047,-0.00418542982583383,-0.002342395497279049,0.008951416947301394,0.0025120736433103786,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.00019559022907678672,0.00022360169897402198,0.0002664481102817559,0.00031757371103023396,2.1232467325079583e-05,0.00023399713599306238
