Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-1.876212249659653e-05,-2.516931279943783e-05,-4.322401645236289e-05,-4.649259124774414e-05,9.34106994776414e-06,2.2106951256313227e-06,0.06822465756439434,0.06221998298604156,0.10372113051575291,0.09561111462854463,0.02717273127934342,0.023602899067848914,-0.0006405606924737434,-0.0007807829573570832,-0.0015153796837119593,-0.0015042685471906153,0.0003711737632364001,5.593333112713719e-05,-0.00027500500796046886,-0.0004045213706516814,-0.00041673298620475535,-0.00048626764187794345,0.00034376632410394373,9.366201665636312e-05,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006617958520688992,0.0005856774156081233,0.0010598578481290566,0.0009189472951401374,0.000606533360702702,0.0004339766462372211
2,-2.5655373206673476e-05,-2.3921118477606012e-05,-5.6204181877942414e-05,-5.062923327844195e-05,8.65679847003992e-06,5.57556285628167e-06,0.035248876167378554,0.03581245199858098,0.056067331840364144,0.056456434414336946,0.011172182439888236,0.011937537848017007,-0.0008080566566428665,-0.0007717374349187692,-0.0018660707265861845,-0.0016974713181769005,0.00041554422526385824,0.00029888045962988934,-0.000727835210542585,-0.0006679553379521139,-0.001002440815945512,-0.0008967841097946633,0.000774852945395199,0.0004670613762458437,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,increasing,no trend,0.0006639763373328713,0.0005425931109330046,0.0011744126956548563,0.0009420583889701554,0.00043242756171552526,0.0003633648114632831
3,-2.4943235554304925e-05,-2.172978167787172e-05,-5.2327947988345974e-05,-4.627043387470358e-05,5.857303248884248e-06,7.643128174023628e-06,0.019302273858809955,0.02204989594627757,0.03179150036662606,0.03516274661605103,0.004858393570795382,0.00688478982939454,-0.0008282423166655513,-0.0007396848843094495,-0.0017698420680180363,-0.0016679989508359971,0.0002607245684532397,0.0003339170107476905,-0.0012922433769594621,-0.0009854822775950609,-0.0016459728979409405,-0.001315893618321105,0.0012056049316575502,0.0011101469127483559,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.000588657713696579,0.0004930672299000401,0.0010796692765247073,0.0009104437512442316,0.000269251155581466,0.00028767005124737577
4,-2.2680250743256338e-05,-1.9746191306850048e-05,-4.408551091987661e-05,-4.257947344713207e-05,2.585511650810049e-06,6.134095740941658e-06,0.010926206852541415,0.01389800027658105,0.018598384333346932,0.02239005478857476,0.0020532784120327516,0.004076878152343142,-0.000760870917444343,-0.0006840044513527314,-0.001515863103174947,-0.0015159398796916572,0.00011228297581358012,0.0002781348554142301,-0.0020757661876025122,-0.0014207937051291864,-0.0023703946606174397,-0.0019017136782023243,0.00125921143263294,0.0015046061009736462,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00048311393528390097,0.00043919173842397796,0.0008940481888349729,0.0008375212337873314,0.00016319488821550985,0.00022111157824525297
5,-1.924526648771263e-05,-1.635613082731346e-05,-3.578374817381501e-05,-3.415199256703953e-05,9.915998563751207e-07,4.891794831658683e-06,0.0064188603328079585,0.008863401973279698,0.011239792670252746,0.01444136107663063,0.0008434174088532311,0.0024124521494599043,-0.0006245742577606012,-0.0005751045388397713,-0.0012043627092884514,-0.0012566034572826564,4.5955256697360284e-05,0.00021305386218209042,-0.002998237302242983,-0.001845355866361689,-0.0031836662137479043,-0.002364873531367146,0.001175692896502301,0.0020277271956477354,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0003815066251193517,0.0003767949345593509,0.0007101267807948945,0.0007220949010972462,0.0001041763531981364,0.00016819763272848557
6,-1.5145046835127525e-05,-1.3587269711523342e-05,-2.8456539005860073e-05,-2.8087620604173128e-05,2.7392642864999803e-07,3.6307284953342646e-06,0.003912011090970644,0.005695317148963044,0.007004626835252728,0.009394399251674481,0.0003353787383358223,0.0014173020906514977,-0.0004784810103150997,-0.00046114980479609966,-0.0009134367770366894,-0.00098964163087918,2.4548462421030012e-05,0.00015005479337181003,-0.003871422264135185,-0.002385691499901318,-0.004062534618210444,-0.002989826156171372,0.0008167674254165431,0.0025617181540071752,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00029228314768637177,0.00031609001127033296,0.0005468844971717475,0.0006049517992373859,6.234913989737237e-05,0.0001279251413182659
7,-1.19899331102354e-05,-1.0189754114752225e-05,-2.140063043334897e-05,-2.2277060108115693e-05,7.489705486818181e-08,2.367040979065966e-06,0.002461498140609367,0.0036792978079691822,0.00447859092487689,0.006146647851208577,0.00012871582718549567,0.0008257897359621378,-0.0003575722880600502,-0.00035924889238308014,-0.0006751868984247291,-0.0007569545079942298,9.751293345191598e-06,0.0001007005126632001,-0.00487099011468974,-0.002769483376062059,-0.004778429374845671,-0.003624261654055144,0.0005818791403192845,0.0028663967060671897,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00022172887659571244,0.00025801029967761023,0.0004146882749532895,0.0004917015895486068,3.476958143574545e-05,9.321059866139457e-05
8,-8.580744064674617e-06,-8.160605686582786e-06,-1.5840369268824995e-05,-1.6588608967463564e-05,1.0528590172782261e-07,1.3157916227100017e-06,0.0015862108670800868,0.002380508776755387,0.002916905929202851,0.004030704702386636,4.725245639514831e-05,0.0004720453193370622,-0.0002660131140051001,-0.0002789809072367001,-0.0005003504542351899,-0.0005715976103560691,4.999705497958031e-06,5.943241463591002e-05,-0.00540958597797917,-0.0034280930892872496,-0.005430538266674216,-0.00411556047696603,0.0022281572167882667,0.0027874264796394804,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00016595181642970223,0.00020627897532131102,0.00031071128262288535,0.00039148002028550487,1.7423813218929055e-05,6.74540830357149e-05
9,-6.091339964948623e-06,-6.269034334004085e-06,-1.1365405825928339e-05,-1.2998792062055224e-05,7.423062951691233e-08,8.489708139760992e-07,0.001042709145362149,0.0015432937059594667,0.0019294571599320156,0.0026471214047445357,1.7178688366650174e-05,0.0002667090327719044,-0.00019396464502290014,-0.00021129466825569004,-0.0003645591874355898,-0.00042127402197027035,3.3291703190952783e-06,3.1547964641539974e-05,-0.0058418399723855945,-0.004062113588486789,-0.0058904680870596774,-0.004910538685062573,0.004321088312016875,0.0031831348385645353,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00012183606671651903,0.0001625941357083943,0.00022833380937413526,0.0003055328519540354,8.036695179809364e-06,4.777129496716242e-05
10,-2.1437117697402353e-05,-2.2322067794025345e-05,-2.6076659229116024e-05,-2.8093402340851665e-05,2.468157720262049e-07,3.697065875265082e-06,0.0037018646351004198,0.004532614463283151,0.004578793365843958,0.005378741337782071,4.1885559521345356e-05,0.0010011910449564268,-0.0007273506410212,-0.0007506543039853602,-0.0009054370833414191,-0.0009591651982526588,1.5916889948847893e-05,0.00011959373704012975,-0.005790897239769231,-0.004924766484078284,-0.005695094131925214,-0.005223043938460891,0.005892622059887365,0.0036926677419752423,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00046654080082186514,0.0006132935007559438,0.0005791044125245096,0.0007635502984202219,2.290848990065332e-05,0.00022803910069874806
