year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0007298205377431361,0.001120307481992341,0.0013543352069927486,0.0018913234814058688,7.5648307860079296e-06,0.00022862193295506423
1971,0.0008155123705683474,0.0011058382039040022,0.0015166914760949637,0.00192080177969455,4.5936916297147355e-06,0.00016332696668333062
1972,0.0008428950560366697,0.0011473427503957531,0.0015698454101250965,0.0020453509718227573,2.171742770482507e-06,0.00010878978317819956
1973,0.000738519454727869,0.000998244752160113,0.001372124340244078,0.0017701517951654816,5.7508472748846194e-06,0.00010552870479982978
1974,0.0007773794248807512,0.00123933268816065,0.0014483885290979864,0.0021629581685138743,1.352569461311228e-06,0.0001711531767367092
1975,0.0007810495308558657,0.0010860683210152005,0.001451907714752923,0.001902206572530571,5.197215872241693e-06,0.00014219856286963725
1976,0.0007793219653829855,0.0011148363127249088,0.0014499456380693556,0.00200077722854424,3.7408643012990827e-06,9.023927123958808e-05
1977,0.0007605721254790059,0.0010182232320354399,0.0014087545472334147,0.0017674593860209234,1.0944492514155079e-05,0.0001517262308924025
1978,0.0006719102701671331,0.0008839663145106411,0.0012506295556324555,0.0015448930537127368,2.6172539507012543e-06,0.00011959978675101284
1979,0.0007310401659547139,0.000986854153486392,0.001352153924131306,0.0017071520970379159,1.2717637115393839e-05,0.00015382440085517408
1980,0.0008404218015249505,0.0012810030130042266,0.0015625443166932152,0.002255922293761093,5.281918695308119e-06,0.0001535018524706428
1981,0.0005582427951324646,0.0008206143322444314,0.0010357588546403799,0.0014044102148656895,5.992037663991604e-06,0.00014545019490253065
1982,0.0008221688819124062,0.0011748049370114099,0.0015317807717477605,0.0020692571375556207,1.4976272659157394e-06,0.00014036453352233148
1983,0.0006356805479250333,0.0009163212285860101,0.001180851699087535,0.0015897976408543347,5.18619033273067e-06,0.00013744091365878677
1984,0.0007354360412953286,0.0009859846032714283,0.0013676458220264602,0.001709030783768427,4.280882560908355e-06,0.00014977649484542281
1985,0.0007383042174101046,0.0011340529077454716,0.0013733613962485494,0.0020191623027579868,3.856022283990288e-06,0.00011041752605414402
1986,0.0007558605569259878,0.0009446085877871221,0.0014028310635009933,0.001642335422145187,7.634512583104117e-06,0.00013768248528619884
1987,0.0006270318719768611,0.0009373549068742919,0.0011609244240943276,0.0015880259755680806,9.581295304141107e-06,0.0001848491358238642
1988,0.0008406480883365726,0.0011844473138529473,0.0015622521113117952,0.00209715895718326,6.107845457561377e-06,0.00012888973344636644
1989,0.0006772976173899057,0.0009728194167277179,0.0012555290565456928,0.0016903628432186437,8.568798939402017e-06,0.00014297528288959951
1990,0.0007494624748006531,0.0012037745376920798,0.0013918858402744273,0.0021268041569097143,6.4952318477347605e-06,0.00013628414395732121
1991,0.00074911588981354,0.0009511962996696916,0.0013932319204660927,0.001677740106982196,4.191067406468471e-06,0.0001109431606740428
1992,0.0007321452193195418,0.0009853640638726748,0.0013625925854187206,0.0017535294464707009,3.028305783560505e-06,9.697527368626347e-05
1993,0.0006141905645526589,0.0008146010510837253,0.0011421462519599678,0.0014271878712974046,3.6060146195445614e-06,0.00010613998733053884
1994,0.0006789564233191777,0.0010667296292283684,0.0012589501049282486,0.0018714204296238787,8.18955879610408e-06,0.00013609893064143186
1995,0.0007059407982955485,0.0009598023927001277,0.0013089698269214466,0.0016410625801609395,8.533389260315041e-06,0.0001719200857761428
1996,0.0006050516007659481,0.0008213608526341085,0.0011185345296182885,0.0013967960896560984,1.1204900200405329e-05,0.0001558658620636885
1997,0.0007548785498873988,0.001077253274296523,0.0014060948398986206,0.0018839601008248357,1.7422264617259409e-06,0.00014429102698625433
1998,0.0007509346435086409,0.0010290989524609766,0.0013977396772941835,0.0017758763948551419,2.8999696369732122e-06,0.00016544546895816566
1999,0.0005579790625304563,0.000873135591108308,0.0010368310147900201,0.001495168352263949,4.1833354859761785e-06,0.00015375022871357087
2000,0.0006415656509875929,0.0010395195884384974,0.0011940634316309079,0.0017850060475600252,2.597993702208332e-06,0.0001773591363761949
2001,0.0005961741743328289,0.000989334766674275,0.0011087547182828388,0.0017102152023326103,3.37108839744857e-06,0.00015563135773181752
2002,0.0006951452197341509,0.0009775449774981693,0.001295325502714934,0.0017397685551183565,1.0324055277716014e-06,9.60279275064708e-05
2003,0.0006070378063558369,0.0008564383435229274,0.0011299364900652488,0.0015238351297737164,2.30171757303938e-06,8.458915981413671e-05
2004,0.0006735641848835053,0.0009849901822228482,0.0012530456132736486,0.0017013295488098133,3.389744892624518e-06,0.000156538552324147
2005,0.0007043794046368259,0.000985718976544966,0.0013091861141660748,0.0017461347257416143,4.916094850475126e-06,0.00010629269312832544
2006,0.0006521360784906404,0.0007982735785952975,0.001210164539444096,0.001397211700458348,6.7721496458475745e-06,0.00010559733265611457
2007,0.000627334210191362,0.0008534790585225334,0.001162778765602715,0.0014440251832470712,8.088730546110618e-06,0.00017050821763547148
2008,0.0005872166318484006,0.0008440840016974456,0.001090797270264982,0.001467552691713632,4.8220013963867656e-06,0.00012303797724722864
2009,0.000705816203911109,0.0010786565310985051,0.0013095296439112388,0.001863335278287066,7.6172681987849335e-06,0.00017116991598684729
2010,0.0005219738197598098,0.0008594548056441773,0.0009625908226420442,0.00142072702285202,1.2397086684157712e-05,0.00021033944935969941
2011,0.0007303938170757689,0.001094505453431639,0.001351138401905575,0.0019175935248543275,1.2498239867373613e-05,0.00014259817857503341
2012,0.000588875729488853,0.0009274717859140858,0.0010882711849556205,0.001566292140446774,1.1321293221219934e-05,0.00018867145103004503
2013,0.0006671151928751069,0.0009676682234008285,0.0012372137923505517,0.0016181378504464188,7.792062012298146e-06,0.0002153954210654595
2014,0.00046758898719319683,0.0007645734186414629,0.0008687035315815933,0.0012724186616074463,3.6971314964745198e-06,0.00017724674235388533
