Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,5.201665103709414e-08,1.1891418222119794e-06,-9.907658444196992e-06,-7.689273494169112e-06,1.646601096903198e-05,1.2080554903621528e-05,0.08566072492218384,0.07494479192492258,0.12512744635346656,0.11107469229055739,0.04034250751621396,0.03345812619119247,-3.0530650964588624e-06,6.245803432065877e-05,-0.0003924512317749901,-0.00022715357437931571,0.00044407885098503297,0.0003950086331640443,6.07240378648993e-07,1.5866904045890547e-05,-7.918053738753142e-05,-6.92261516606766e-05,0.00040815536719957635,0.00036106489749571265,False,False,False,False,True,True,no trend,no trend,no trend,no trend,increasing,increasing,0.0005766034510480779,0.00040175086243898935,0.0009082321238540311,0.0007084782442292502,0.0005346550091078782,0.0003364118685792174
2,-2.4094325183961723e-06,-4.7501069089372484e-06,-2.615660886546935e-05,-2.5198139154202716e-05,2.2218518295352488e-05,1.5365544697284577e-05,0.0482388389153351,0.04724207467721055,0.07497077291104852,0.07263577228268453,0.01754352011088166,0.018083404610581656,7.732193464594916e-06,-8.007846886824016e-05,-0.0006347189929457459,-0.000539444587386223,0.0007454357949446093,0.0004473951309893129,-4.9947979109219714e-05,-0.00010054822827729637,-0.0003488907456843709,-0.0003469108727327408,0.0012664800538844585,0.0008497041916704834,False,False,True,True,True,True,no trend,no trend,decreasing,decreasing,increasing,increasing,0.0005953847691815897,0.00048170136965686237,0.0011260975403532456,0.0008814134954469146,0.00045147143840560127,0.0003565489548846428
3,-5.865271500081395e-06,-8.277524882895938e-06,-2.4673470421333275e-05,-2.9546283013976395e-05,1.6020321686297753e-05,1.5350473240102874e-05,0.028402651172294416,0.03149996891773384,0.04676616828012156,0.049849148875409255,0.007316484638807667,0.010430265218351229,-7.229511811105913e-05,-0.00015161523661205017,-0.0006485968182054075,-0.0006464358317907065,0.0005894514062811402,0.00041656946422008283,-0.0002065043669515865,-0.00026277882700499625,-0.0005275923029131507,-0.0005927138914211566,0.002189620080840969,0.0014717241526222102,False,False,False,True,True,True,no trend,no trend,no trend,decreasing,increasing,increasing,0.0005544497137376979,0.0005021443120649169,0.001079967133443077,0.0009337561772327745,0.0003341086459407268,0.0003294956071770308
4,-8.302806177299938e-06,-1.1189819352412375e-05,-2.4531749577902857e-05,-3.0491121655052792e-05,9.427388133078547e-06,1.200793764575998e-05,0.017610647605667072,0.021603481936161503,0.030347951245795774,0.03506993288267611,0.0029848597369116596,0.0061404404280505235,-0.0002325220179478539,-0.00021379264207482124,-0.0007104480567675167,-0.0006777149417161732,0.0003162632711700606,0.0003189126567737892,-0.0004714651251455461,-0.0005179636961059517,-0.0008083494460371963,-0.0008694376963040848,0.0031584023920778162,0.0019555498968617598,False,False,True,True,True,True,no trend,no trend,decreasing,decreasing,increasing,increasing,0.00047702264754160385,0.0004910750114046568,0.000922997135634524,0.000923984265670817,0.0002049036227315476,0.0002653805357682302
5,-1.1507684704699756e-05,-1.134628890696477e-05,-2.4941925474064263e-05,-2.909204076122499e-05,4.489238625946985e-06,8.008405737869159e-06,0.011441787297308697,0.015093479386237648,0.02035239439435403,0.02503407740792943,0.0012100575006957577,0.0036790480386338174,-0.0002942028684183324,-0.0002654657846072189,-0.0006799459505967345,-0.0006899146280176724,0.00014873204553052005,0.00022191356350707023,-0.0010057593630853948,-0.000751734481932006,-0.001225503249926378,-0.0011620975795181578,0.0037099382660458428,0.002176760306952396,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.00040633766494231236,0.00046189087023327234,0.0007793923972793942,0.0008723222670149937,0.0001103023144981372,0.00019662535330360439
6,-1.0481275026503135e-05,-1.0885585276703462e-05,-2.203124329868149e-05,-2.5899913306097346e-05,1.8838014188855093e-06,4.955044430451852e-06,0.007726066683064858,0.010677808295791189,0.01402912393557338,0.01802320901803217,0.0004884926325118377,0.0022433487107942998,-0.0002752716096036103,-0.0002757280063462996,-0.0005727742895603287,-0.0006499788845547305,6.634002268285995e-05,0.00015401082292426042,-0.0013566120325465933,-0.0010194587667390668,-0.0015703933759411229,-0.0014370311790860635,0.0038563558455302987,0.0022087713811988798,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0003405834911717589,0.00041269321860190535,0.0006491277758376762,0.0007764892532489762,5.721199404931736e-05,0.00015020720439544474
7,-9.296532196650678e-06,-9.509134349103635e-06,-1.886722792815166e-05,-2.246152781579451e-05,9.067123378318758e-07,3.1140081522404863e-06,0.005379630841436849,0.007621132925628633,0.009896547620889356,0.01305830987321086,0.00019301768502574888,0.001377818101155998,-0.00024076371522771967,-0.000273775765910869,-0.00048012471794412967,-0.0006033876089466522,3.408591925482005e-05,0.00010470566402715994,-0.0017280985388520938,-0.00124773238334762,-0.001906445424293947,-0.0017200945630700926,0.004697560939615035,0.0022601010609657503,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0002908362419594663,0.00035695656632830713,0.0005509963081855738,0.0006676913595066432,3.18707873978458e-05,0.00011368679061782565
8,-8.275662653515283e-06,-8.141892269323869e-06,-1.568346111587912e-05,-1.9042479265485894e-05,4.7445864016680103e-07,1.9606716982794304e-06,0.0038319492288476135,0.005462637555264747,0.0071040603175567376,0.0094922184887364,7.470169682774686e-05,0.0008356146312558311,-0.00019996943163808978,-0.00025886124774712055,-0.00038948730964754024,-0.0005459445060819988,1.764713458475583e-05,7.07861372652701e-05,-0.002159648304109716,-0.0014904690613194585,-0.002207675669239398,-0.002006114723136848,0.00635137701437821,0.0023463826804142602,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,increasing,no trend,0.00024572270071496617,0.0003065683906803892,0.00046240625725180444,0.0005738616276094321,1.7573131581174348e-05,8.195226855304424e-05
9,-6.56460395717103e-06,-7.2774416876916804e-06,-1.2548202751867183e-05,-1.6005368830076998e-05,2.625263910562637e-07,9.285039516682551e-07,0.002772193645515789,0.003937045313074556,0.005162326873560949,0.006930725598679271,2.7689584128888287e-05,0.0004995098627783022,-0.00015705489117793028,-0.00023251313487443036,-0.00030182329971946073,-0.0004759771520953006,9.17746798119836e-06,4.7047843661790045e-05,-0.002368017821478569,-0.0018484526107748831,-0.0024307261161886657,-0.0023093352351342554,0.009481052147055266,0.0018588300669457524,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,increasing,no trend,0.00020634907960775606,0.00026161375283538106,0.00038729573110455093,0.0004904040173953098,9.441558665176686e-06,5.746379817520572e-05
10,-5.170006211495815e-06,-6.502096231607848e-06,-9.680750369615909e-06,-1.3167838841514277e-05,1.4228561282452072e-07,7.171343127955851e-07,0.0020275033752135867,0.0028484707775086535,0.003784297465117328,0.005075333485850095,1.0239877854181762e-05,0.0002914443843846,-0.00012453702171729038,-0.00021397003148918015,-0.00023722741649994002,-0.00042448831633390936,4.861307434903072e-06,2.7760546946109976e-05,-0.0025499371664183704,-0.0022826620806321737,-0.002558136737096001,-0.00259447756058314,0.01389524512408262,0.0024606214812127928,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,increasing,no trend,0.00017309100250126544,0.00022493265231365262,0.000324165022915439,0.00042254572633656904,4.9022607795006166e-06,3.903384492598251e-05
