Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-5.489346443204537e-06,-5.503586977672839e-06,-1.3518480461425285e-05,-1.2206508338726156e-05,8.562921185862556e-06,6.205290248551455e-06,0.07060013491433306,0.06383314004863384,0.10547650629755524,0.0957285760361891,0.030455234434912163,0.027119483991968535,-0.0002168022870088493,-0.0002175860720967926,-0.0005980250879125404,-0.0005472678267878922,0.0002220091717465289,0.00016189839566876918,-7.77526338988639e-05,-8.621833382283418e-05,-0.00012816579668735787,-0.00012751164640860868,0.0002811641855577544,0.00022881299107273422,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.000767364110406635,0.00048226042962351285,0.0012669946326299268,0.0007096477106751454,0.0006135684470701533,0.0004125387578583364
2,-1.4957456832769387e-05,-1.1309896192833594e-05,-3.209909374407566e-05,-2.5900748348341536e-05,2.3093467553363834e-06,5.636611779991189e-06,0.035034765742767024,0.035158871810707905,0.055496203074908004,0.055131833290607446,0.011482362416775827,0.01216873496190721,-0.0006156967297216154,-0.00042074928661861577,-0.0012170209054779835,-0.0008968253169054294,7.64652766509985e-05,0.00012724421438235073,-0.00042693183515455285,-0.00032167972435876276,-0.0005784016196702457,-0.0004697966093711258,0.00020112122153211333,0.0004632044166986903,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006760875332295726,0.0005199191903445668,0.0012193222631562885,0.0008864892457163089,0.00041002130739309974,0.00038386720680125367
3,-1.853445981280925e-05,-1.534172489101183e-05,-3.611486222995738e-05,-3.0398804233520467e-05,1.36988907214233e-06,3.4737531653420115e-06,0.018697466932760254,0.021291765215259946,0.030954088623580202,0.0342003589352574,0.004589323267660313,0.006433160673966701,-0.0006435144987985905,-0.0004964630428012096,-0.0012391916471564055,-0.000986545204815302,4.2147423307039786e-05,6.765239812626944e-05,-0.0009912818607709156,-0.0007205473447554417,-0.0011667234874570272,-0.0008888445963700725,0.00029849478719347534,0.0005399761239291553,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0005688639792139033,0.0005261627447036395,0.001061751189524695,0.000981691151342446,0.0002490207091005115,0.00030193735576996173
4,-1.6988062448346523e-05,-1.5781874596008934e-05,-3.180913696856241e-05,-3.123776816418478e-05,5.602403018759961e-07,2.6756508248289877e-06,0.010430801106187436,0.013386959017757502,0.017915452626875876,0.021883936785668273,0.001815495714476629,0.0036064023445731507,-0.000520964862095772,-0.00046366022182974323,-0.0009935478849874696,-0.0009262155884474862,2.3007967353379493e-05,6.877014356154038e-05,-0.0016286440778042822,-0.0011788991491700714,-0.0017755140007372134,-0.001427429098801012,0.0003085880607751818,0.0007419168936752881,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0004641357985624133,0.0004927498758042271,0.0008677860948754338,0.0009525063889697356,0.00013566968448652244,0.0002167358026778705
5,-1.3928075608291518e-05,-1.4210918383769909e-05,-2.632152187416817e-05,-2.708425058699028e-05,3.7952979643308325e-07,2.228560267610512e-06,0.006026028418115824,0.008543621747336444,0.01065611705517571,0.014196640067433578,0.0006965047270392865,0.002036641552205951,-0.00040537731546886994,-0.0003717231371532185,-0.0007754895051377188,-0.000763507105504678,2.064512984851e-05,7.924489062934026e-05,-0.002311319270652635,-0.0016633365572627672,-0.0024700856548290004,-0.001907793003016275,0.0005449062751467526,0.0010942329371590633,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00037852657085739495,0.00043248316857700907,0.0007059860081659718,0.0008449760302252877,7.103447987303118e-05,0.00015443946220190585
6,-1.2176490361180951e-05,-1.1916831325927577e-05,-2.3213080476707908e-05,-2.334677922975446e-05,1.0234306494193169e-07,1.7704606136888919e-06,0.0035847124394815795,0.005475145434538373,0.0064752952529933995,0.00924894866154073,0.00025746953049648444,0.0011312601916541802,-0.00033540583158619963,-0.00030946459065800055,-0.0006373302274533411,-0.0006417566503564287,1.2128167613810015e-05,7.302450260560003e-05,-0.003396783024231063,-0.00217653238044668,-0.003584868267740682,-0.0025242630361692647,0.00039749583084484284,0.0015650339566002439,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00030778780029894437,0.0003709280992434096,0.0005738268892162072,0.0007236929449336448,3.636108469576423e-05,0.00011340827994869007
7,-9.691892478590475e-06,-9.699648690480548e-06,-1.843837493490928e-05,-1.9723049917512168e-05,8.120318853941629e-08,1.6674101996656275e-06,0.002186022345829351,0.003513009998796536,0.004004944353237355,0.006029424414949892,9.23285333374881e-05,0.0006164584856980756,-0.00027317108368153046,-0.0002599819469626301,-0.0005148437930158098,-0.0005346377716336902,5.0094287982038185e-06,5.61642090224101e-05,-0.004433574294005438,-0.002761064925463745,-0.004603902903171379,-0.003271133123189849,0.0008795026369864949,0.002704821554654175,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00023908338168392767,0.0003087771183194982,0.0004467995964275152,0.0005988254033158727,1.619347396644205e-05,7.635190947859172e-05
8,-7.624415444899999e-06,-8.081232725798427e-06,-1.4489465490482727e-05,-1.5606351676499997e-05,6.322311117210754e-08,1.0393931873818182e-06,0.0013559308409146333,0.0022488712654589447,0.002505918198658847,0.003918036220483271,3.222294934649e-05,0.0003275572541216111,-0.00022307172019111988,-0.0002187388956705399,-0.0004182148903200001,-0.0004384015671536406,1.5503615611493982e-06,3.410667673252001e-05,-0.005623012040759398,-0.0035934616844994134,-0.005782098353504678,-0.003983207606634894,0.0019620522780914944,0.003173164917898372,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00018491891440124635,0.0002476855127613017,0.00034612847989361656,0.0004783909624436794,8.141661490410283e-06,5.13457146379557e-05
9,-5.8193448471767225e-06,-6.577371065831544e-06,-1.1040399382525082e-05,-1.221601595744911e-05,2.524126757112353e-08,3.9030155854393886e-07,0.00085205440491026,0.0014358561166717468,0.001582120250040329,0.0025367342728561267,1.1702627079708244e-05,0.0001686760097053652,-0.0001761084364604599,-0.0001820811232399102,-0.00032887893476765033,-0.00035238914818882996,-2.5996921754055915e-07,1.3954141934156562e-05,-0.006829780837515448,-0.0045808009517538635,-0.006978230246559108,-0.004815646671456452,0.002156888995881155,0.002313912685186815,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0001406701068237575,0.0001957692138106331,0.0002631091705330436,0.00037574787316621886,4.424094826804004e-06,3.256511358433949e-05
10,-4.299034777689403e-06,-5.1191275207893506e-06,-7.923461586549584e-06,-1.0117101593902056e-05,1.3099951490874577e-08,7.45464261529634e-08,0.0005395015039155267,0.0009132526774622176,0.0010047007010383865,0.001633319164952513,4.027923066274646e-06,8.441079017891884e-05,-0.00013014378074486008,-0.00014935803378236996,-0.00024321626986358025,-0.00028170956385397024,9.777168433320956e-09,2.986914739955062e-06,-0.007968531591642293,-0.005605379154227702,-0.007886390024771022,-0.006194197564684915,0.0032522844342681274,0.0008831385892129818,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0001032907425298513,0.00015351388580209916,0.0001929426821906749,0.0002924795613197609,2.258066107179504e-06,2.1513656928649603e-05
