year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0033767287750694065,0.003979570194685326,0.004528354187655999,0.005234170937925946,6.591190054229976e-06,0.00030808372628016075
1971,0.003259253934712957,0.0039307647579151644,0.004369841805934626,0.0051465424552874384,9.209358274166442e-06,0.0003728907581266966
1972,0.002313274058531648,0.003023680831007866,0.0030947619023599135,0.0038763797399878207,2.6313797032488742e-05,0.0005283272112919557
1973,0.0025072042592945627,0.003108991481191193,0.003357153530977815,0.003926051435036648,1.9897228250190503e-05,0.0007179323489681258
1974,0.0023732545383664686,0.0030211930838681986,0.0031815548983126617,0.00379407868881374,7.829641292015929e-06,0.0007594065709309373
1975,0.0027473466797357906,0.003451223240847223,0.0036858221469948877,0.004472401639312802,9.749773948191426e-07,0.0004628281741347788
1976,0.002557527483953233,0.0030003543736316822,0.0034286133172516087,0.0038700360426431415,8.366033981857382e-06,0.0004553020956073243
1977,0.0030229490483406505,0.0038230999399864927,0.004054931980284577,0.004922909999081317,2.9353980454202434e-06,0.0006045957492807025
1978,0.0031865874062101435,0.003961924783767146,0.004272400146384195,0.005084209487500501,9.04522456456684e-06,0.000677650383600581
1979,0.0023206997378962123,0.0033855308664177564,0.003110059771117151,0.00426965253042643,1.0702157961176498e-05,0.0007982211239994504
1980,0.0025469100005800454,0.00360618307298011,0.0034141861829815145,0.004632374634993696,8.897182388698101e-06,0.0006031173931426749
1981,0.002245934567429276,0.003410428018920912,0.003011146910950603,0.004323804418384896,6.6032264973915465e-06,0.0007375066857717548
1982,0.0031833784488609507,0.0038439545433768814,0.004270661652512894,0.0050526702962573064,1.5330761082012937e-06,0.00030674674658736663
1983,0.0024184296381596186,0.0031922522535666616,0.0032382571144051026,0.00407171706928229,1.9271577972844795e-05,0.0006185703968207077
1984,0.0024570602335823467,0.0034788225472917665,0.0032875350087319655,0.004343458892702765,2.6743723934891154e-05,0.0009485349961557175
1985,0.0029628852312231337,0.004143842570879624,0.003971520591165749,0.005337818165779546,1.1196340924072438e-05,0.000649770640906018
1986,0.0033620186205347955,0.003978239873410697,0.004507128192371865,0.005116108581231386,1.0949110579387484e-05,0.0006483601598099725
1987,0.0023997556893766373,0.003465888331281487,0.0032187669825145685,0.004469222830309486,2.986122303122571e-06,0.0005297119769216599
1988,0.0025663656236567874,0.0032929873124574235,0.003440603077695366,0.004231152361762778,7.981213342417419e-06,0.0005475240228707532
1989,0.0021915169500942413,0.0028577872327373785,0.0029343615845282473,0.003507592055010026,1.764288047816793e-05,0.0009561865642122804
