Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,2.5564781851499807e-06,-1.0492066224280143e-05,-2.3712682174940383e-05,-3.8248838402700906e-05,3.124413194363068e-05,2.3030643329371845e-05,0.07344382855833034,0.06760595468369558,0.11140669523320257,0.10413601150870519,0.03020815182021276,0.026002096322899196,0.00013200916493788517,-0.000337348968879575,-0.0006991500477320223,-0.001242046692361387,0.0010786113102571743,0.0006930057367638791,3.480861816891234e-05,-0.00015519440962514058,-0.00021284790941247924,-0.0003672969403048773,0.001034294720497423,0.0008857225603417795,False,False,True,True,True,True,no trend,no trend,decreasing,decreasing,increasing,increasing,0.0005558044733373934,0.0005460785001122311,0.0009939382885615078,0.0009841843563710598,0.0007397941631249615,0.0005147713810479416
2,-2.003089746282203e-05,-1.9884618178900587e-05,-5.7398581798620756e-05,-5.338652342163541e-05,1.7092111331978282e-05,1.6281099707747425e-05,0.04120910541841449,0.04075038228819507,0.06577275209756085,0.06513846441863007,0.013233718406035168,0.012974944666881665,-0.000665188866049729,-0.0007013050480770486,-0.0017783596325257195,-0.0017734222908842856,0.0006025945135846207,0.0005197227244661679,-0.0004860794054964155,-0.000487961512563796,-0.0008726802508351989,-0.0008195852312165725,0.00129155773211734,0.0012548107237254481,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0006247584621589985,0.0005690152048454202,0.0013336402542667475,0.0011581855116529463,0.0005296472715455913,0.0004326656964891046
3,-2.6483274939461548e-05,-2.054603790714946e-05,-6.025817045331803e-05,-5.3968139633423526e-05,9.520681902267208e-06,9.99962896879771e-06,0.025042714637881935,0.026808244969140263,0.04153970926428307,0.04362656892625072,0.00625438832611658,0.007653958647347008,-0.0008627167256783155,-0.0007380745710864438,-0.0018699152642459374,-0.0017028512614811198,0.0002843755315415095,0.0003607037026308107,-0.0010575241271727183,-0.0007664074217018157,-0.0014506160856818896,-0.001237047536895576,0.0015222402904711716,0.001306464984921724,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0006194809976044937,0.0005548477605684066,0.0012949518145577202,0.0011672901967889379,0.0003406550737633835,0.0003359500628296237
4,-2.529478507272496e-05,-2.0098448019949203e-05,-5.379846881473784e-05,-4.729887403982582e-05,5.06320653394615e-06,7.582330065978594e-06,0.01591160504902011,0.01821779163686267,0.027374930984003877,0.030082727165312885,0.002856093232345482,0.0047048891097669025,-0.0008484353614169205,-0.0006585262017624605,-0.0017146666076037487,-0.0014716932245401222,0.00013811010843247035,0.00026758474849892036,-0.001589706694880709,-0.0011032318527170511,-0.001965245824589445,-0.0015722934220659404,0.0017727735483579231,0.0016115852869387287,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0005715870427577809,0.0005120168036000603,0.0011497239565752468,0.0010837149098291928,0.00021503680917244012,0.00026767209319316065
5,-2.3009603587495702e-05,-1.85015828431778e-05,-4.659458464040564e-05,-4.053471273932322e-05,2.570034771380428e-06,5.377980954231303e-06,0.010463566546871085,0.012603686352208264,0.01856386390752333,0.021101713706947984,0.001238187410800729,0.0029253349577282885,-0.0007174313102006891,-0.0005583342848279015,-0.0014134649551539764,-0.0012154901623866662,7.527715224990008e-05,0.0001900965260489898,-0.002199021097101566,-0.0014679501160338045,-0.002509961550705097,-0.001920920419177931,0.0020756427895825564,0.001838415440263857,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.00048503282034262666,0.0004617974953662415,0.0009528945448355129,0.0009668919045734401,0.00012056183711023455,0.00020558867551868405
6,-1.8708622178560128e-05,-1.4742768081354248e-05,-3.5794910610714556e-05,-3.236650348832156e-05,1.363553663778686e-06,3.569626011194636e-06,0.007082556888168496,0.00880231616841774,0.012853287498696107,0.01493648094254071,0.0005103070800506534,0.0018161534135413865,-0.0005726031619379306,-0.0004452679212208592,-0.0011135032636782477,-0.0009543753452504102,4.3424656686760115e-05,0.00013455141115018,-0.002641506799587184,-0.001674873726332456,-0.0027848836816530983,-0.002166943044538574,0.00267202576073085,0.0019654870478337436,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0004056479945694145,0.0003988545488562359,0.0007797188294423715,0.0008320269758748755,6.805520098266203e-05,0.00015311857914075336
7,-1.5002905925984685e-05,-1.2427971566667367e-05,-2.820108246759779e-05,-2.6675224603333956e-05,5.188259607423381e-07,2.812842843310706e-06,0.004904726504576455,0.006189137854073691,0.009034182224691935,0.01063363017037971,0.0002017146338354111,0.0011273327301722666,-0.00045211702061557883,-0.0003442364687841013,-0.000861660961331041,-0.0007393413220139408,1.4310069374179975e-05,0.00010574603275376984,-0.0030588669749446614,-0.002008029528456419,-0.0031215977015074483,-0.002508571783664113,0.0025720789358578407,0.002495131000836708,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00033536690023985936,0.00034019167328240866,0.0006346078371809547,0.0006987597418096295,3.293732069918194e-05,0.00011235006860760315
8,-1.1268424362847792e-05,-9.610992827882816e-06,-2.2111014540539256e-05,-2.084686284067474e-05,3.725776507495154e-07,2.121764965521428e-06,0.0034614017574460375,0.004364830366532626,0.006430176628445022,0.007587529087832075,8.028220896585318e-05,0.0006945184975220933,-0.00034843383442148936,-0.00026068572321419955,-0.0006655219569403591,-0.0005464513296277798,1.2695889530500189e-05,6.477097866186999e-05,-0.003255451158943795,-0.002201916688807699,-0.0034386325319163517,-0.002747516694744053,0.004640849517580983,0.003055015774369541,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00027580893387102744,0.00028721944252854773,0.0005192543829150349,0.0005820130874998348,1.8744519484685512e-05,8.545966904149607e-05
9,-9.26745349106741e-06,-7.624068134193551e-06,-1.749760190465464e-05,-1.6718995494907568e-05,1.7681885131466885e-07,1.7351722232323166e-06,0.002469906603197058,0.003097930912552489,0.004610905675456447,0.005444214026220753,3.1535850598291735e-05,0.0004257634203696578,-0.0002663348115590201,-0.00019716187440588012,-0.0005038652808982812,-0.0004157883663959399,4.187187629232686e-06,5.183050056471999e-05,-0.00375214733993244,-0.0024610194188971844,-0.003794829722454147,-0.003070965875769125,0.0056069155567424886,0.004075437532246897,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00022461750234630936,0.00024252996074561152,0.00042188622501391766,0.0004879393181426719,1.0070892429974892e-05,6.431313540398515e-05
10,-7.175159019622062e-06,-6.097527551166723e-06,-1.339249272578531e-05,-1.2611800295577932e-05,3.980059973872614e-11,1.2246738118946973e-06,0.0017775012683491805,0.00220290904703884,0.0033271616605787357,0.003908896475786774,1.260252279031828e-05,0.0002599703954258867,-0.00020766292422382004,-0.00015401575279246028,-0.0003894359573852102,-0.00032000241856317,-6.427281785216971e-07,3.502544595484e-05,-0.004036654795912383,-0.0027679433971016854,-0.00402520048378286,-0.003226434973067292,3.1581454285726365e-06,0.004710820283549677,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00019004196028697768,0.00020310908665882346,0.00035584265742204387,0.0004009889711991646,5.979895214321592e-06,4.725409690933642e-05
11,-5.551563418995357e-06,-4.919020408065056e-06,-1.035500434528392e-05,-1.0096523640254553e-05,-6.0059937900086895e-09,8.940230819765615e-07,0.0012862697873517333,0.001571566174976358,0.002411013308794556,0.002810476996676607,5.306267845459212e-06,0.00016057821526457942,-0.00016223130553729998,-0.00011865846252668991,-0.0003039263492923901,-0.00024333957856214,-8.556865763287637e-07,2.3340098183290007e-05,-0.004316017894212787,-0.0031300116319562905,-0.004294876476837514,-0.0035924590922443793,-0.0011318678146163053,0.00556752409100767,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0001538770024066958,0.00016404578736413158,0.0002880892705757239,0.00032107669136517117,3.404053406013535e-06,3.3584280238890215e-05
12,-4.236773643134996e-06,-3.383915719003332e-06,-7.877891292190476e-06,-7.262877997606841e-06,-2.0685459334911987e-08,7.925796244187041e-07,0.0009318959335129178,0.0011177370278144447,0.001748155578008662,0.0020137758041414563,2.262815286183748e-06,9.724394414185978e-05,-0.00012249891793402,-8.558515077921008e-05,-0.0002293251511600702,-0.0001811904367504196,-8.351740848245634e-07,2.329912485011501e-05,-0.004546402115055765,-0.0030274703573344402,-0.004506401713492941,-0.0036065971110936365,-0.00914147056598603,0.008150426552654903,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00012491330138430923,0.00013496866075545693,0.0002342501968349058,0.00026326641771345243,1.8499588905603924e-06,2.6361359230502906e-05
13,-3.1940222823216197e-06,-3.0462535351059533e-06,-6.0004743367985094e-06,-5.9984675122283475e-06,0.0,4.323008317699602e-07,0.0006752301945532356,0.0007949659040536511,0.0012671282444560244,0.0014408746516927134,1.1211245852249218e-06,5.934438067360975e-05,-9.338890657235009e-05,-7.517684195690994e-05,-0.00017520038882442007,-0.00015687764823491988,-2.1430965869472636e-07,1.7871706766549947e-05,-0.004730271703022607,-0.0038319297967027858,-0.004735490952121031,-0.004163073800473522,0.0,0.007284612744508816,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,9.924841646573645e-05,0.00010968047618974377,0.00018617904670630196,0.00021204891313765295,1.2179363471086653e-06,1.948019716932991e-05
14,-2.5392909818107615e-06,-2.518164409678896e-06,-4.704365722413528e-06,-5.12540556318849e-06,0.0,3.5187651764093333e-07,0.0004890429252266622,0.0005647122482713644,0.0009179040196988111,0.001030973711700051,6.156469351498226e-07,3.368991845385504e-05,-7.225545204667995e-05,-6.289930016083005e-05,-0.00013528750275050995,-0.00013164913181319,-4.6863489951666227e-07,1.5399462748165174e-05,-0.0051923682990278365,-0.004459199207007155,-0.00512511724696135,-0.004971422166271164,0.0,0.010444564243243786,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,7.914199962969466e-05,8.708263411949334e-05,0.00014850434155276284,0.00016748551976271118,8.975925151982667e-07,1.367243312641815e-05
15,-1.8702480056145845e-06,-2.320564229777915e-06,-3.5033438146641203e-06,-4.5074315696062485e-06,0.0,2.2245555035348419e-07,0.0003530811654523733,0.0004004295000730155,0.0006628812501786823,0.0007352214624269445,2.517431808382117e-07,1.9136981180239224e-05,-5.7104623218269947e-05,-5.4149267602209895e-05,-0.00010682966164596991,-0.00011215891227215995,-4.7308098878241104e-07,1.1917562021672502e-05,-0.0052969350636939035,-0.0057951879902823755,-0.00528502475174819,-0.00613071271712791,0.0,0.011624380473509112,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,6.313570757708693e-05,7.041762688382336e-05,0.00011848014588991793,0.00013440305437795755,4.49274336155649e-07,9.638719607069084e-06
16,-1.2949075661577377e-06,-1.9910708410194427e-06,-2.4318945870488098e-06,-3.7791701256425784e-06,0.0,9.57346266911724e-08,0.0002538433658575333,0.00028288382846492003,0.0004766148164424844,0.0005220031053656711,1.3032288687633103e-07,1.0552346059406686e-05,-3.839593945035997e-05,-4.61101207470001e-05,-7.189973547218006e-05,-9.271168227425e-05,-2.3867101474352587e-07,6.964112738514287e-06,-0.005101207044680024,-0.007038475305654852,-0.005102431781707481,-0.007239746443644645,0.0,0.009072354730617615,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,4.915739370611983e-05,5.6413579959343384e-05,9.225701090110766e-05,0.00010725432569093047,3.083810208762412e-07,6.544714567891711e-06
17,-1.0410440092878183e-06,-1.5478241651900298e-06,-1.955127421625642e-06,-3.0567512318994786e-06,0.0,5.823103545295219e-08,0.00018262169417358444,0.0001986032796622022,0.00034290826781430226,0.0003682034989804489,7.22955009257264e-08,5.446626874206163e-06,-3.146497695482e-05,-3.9183685216810004e-05,-5.887933512507007e-05,-7.699242846343006e-05,-2.4293205544816646e-07,3.8764612911705615e-06,-0.005700549510280479,-0.007793547859948099,-0.005701604788031582,-0.008301798435820372,0.0,0.010691210688347228,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,decreasing,no trend,3.8558541587827576e-05,4.5349947922781646e-05,7.238085456689417e-05,8.59634518466067e-05,2.341400699317275e-07,3.7378801582055487e-06
18,-7.256941694453333e-07,-1.1736928380998717e-06,-1.3628862543105e-06,-2.277001964991667e-06,0.0,3.1542943746921466e-08,0.00013021833849541687,0.00013821267692257612,0.0002445245665234667,0.0002573205977775244,3.5674301495680914e-08,2.5613941273085865e-06,-2.065595240146467e-05,-2.809980644378892e-05,-3.865185026588998e-05,-5.505019295053005e-05,-1.605343567305641e-07,2.593823964851566e-06,-0.0055729030014530145,-0.008491933332261194,-0.005573616891289758,-0.008848891167897603,0.0,0.012314756019240806,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,2.9756838341509678e-05,3.5023449316475106e-05,5.58558836034921e-05,6.612722952577687e-05,1.6734574291207283e-07,2.5243875161839336e-06
