year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0017685497396691494,0.0022267974534163383,0.003311584659814712,0.0039623783683781335,1.1196703756319477e-05,0.0002501549612990825
1971,0.0017680149540573143,0.0020530872370779158,0.0033116539959722768,0.003657498234151221,9.973887555122372e-06,0.00022583336242631543
1972,0.00211042689584752,0.0025734972619858407,0.003947299332397256,0.004607806169956833,1.8424109124614992e-05,0.0002566352851550847
1973,0.0018595073327864083,0.002301710731807397,0.0034731127339730264,0.004079414211565186,2.1782007507874113e-05,0.000277095108195689
1974,0.0019126993831351737,0.002372274206161314,0.0035838873605704754,0.0042465118435606325,9.393613846493385e-06,0.00023771642065437913
1975,0.0016465323843987344,0.002325895555145324,0.00307331801554043,0.004085025922980647,2.1574952944670796e-05,0.00032243273513978096
1976,0.0017454354250098284,0.002008302059996985,0.0032721018245219125,0.0035160483242016277,6.7243971637587166e-06,0.00029113905856841026
1977,0.001668288072899028,0.001954787554940776,0.003130004628417143,0.003384705457984184,3.548025252226023e-06,0.00032626279816962947
1978,0.001835433688439834,0.0023649307386291022,0.0034328142990931823,0.004271970893018988,1.6186677895745916e-05,0.00019301436708737258
1979,0.002018913134240035,0.002280548363117948,0.0037813390563642825,0.004066597774134478,1.1697027604977643e-05,0.0002464276094255265
1980,0.0021388539824737612,0.002395726061178016,0.004002035944446305,0.004352077784468734,1.6887438112217802e-05,0.0001676490453228513
1981,0.001862524102241189,0.002405207913499556,0.003494405336385966,0.004305516836527934,3.984542551274194e-06,0.00024095770019840303
1982,0.0016359107825838998,0.001951879990651715,0.003058505471180642,0.003418682035064903,1.5726389969433317e-05,0.0002813481107967259
1983,0.0019591765960709734,0.0024353570695170774,0.00365769034426307,0.0043101200871198215,2.4749673546447094e-05,0.0003002009317088158
1984,0.00207167668732922,0.0025762880301603095,0.003882239040657276,0.004640034132516054,9.638293518677403e-06,0.00022590021263379085
1985,0.002003377922618185,0.0023419670795176424,0.003752394580909132,0.004253053410714933,1.1433544574067634e-05,0.00016544254194966217
1986,0.001775445254742415,0.002117786952432592,0.003326826205016186,0.003756111231467714,8.586976147040075e-06,0.00025190944831203374
1987,0.0014817221034640212,0.0019076076104229292,0.002777848697237242,0.003387895209827755,5.57145077506467e-06,0.00022171711444323862
1988,0.0020820089270096056,0.002597712716588213,0.0038874672476643768,0.004694936845566195,2.5783484802874054e-05,0.00020919697923768324
1989,0.0018796323371581577,0.0022177139133884166,0.003506388971606938,0.003982362294953761,2.6929152728464996e-05,0.00020796666128476845
1990,0.0019399065057846417,0.002243312097596567,0.003632288591321641,0.003985902507271665,1.246289636693179e-05,0.0002586865348087685
1991,0.0018035120593713873,0.0022855865520857634,0.0033820176935587935,0.004049196419680313,5.761644116327618e-06,0.00027702205719362487
1992,0.0017269535076543004,0.0022176860625441647,0.0032391537297109256,0.003985149224963685,4.717920861118607e-06,0.0002047330737362227
1993,0.0017222162042619348,0.002086689362254806,0.003227609217650118,0.003724395972442505,7.733305799649736e-06,0.0002215153174079396
1994,0.0018082218843768246,0.0024153166090437436,0.003392678437326641,0.004314667194863529,3.694004129199604e-06,0.00025215784012985883
1995,0.001943276910041094,0.0023869642419160177,0.0036411445378237714,0.004284740592217986,9.585850100254548e-06,0.00022559836020796264
1996,0.0017812095878183744,0.002320367020945811,0.0033350286935955797,0.004119217080398004,1.1574508827851086e-05,0.0002716676870175361
1997,0.0016659455480607154,0.002000959146597302,0.003108177328711202,0.0035188687005338953,2.3396591374106915e-05,0.0002722212366348238
1998,0.0015326332975769447,0.0019070512894024559,0.0028671347209620183,0.0032894280370106307,1.2777786079825932e-05,0.0003326708638736815
1999,0.0015848086107150324,0.0020199944078866205,0.0029695799466562148,0.0036027295515965556,7.70100317512421e-06,0.00021742703009701463
2000,0.0017300833945916268,0.0021454266094784575,0.0032349249056472557,0.003759518690392462,1.6228598763814278e-05,0.00030714700763412805
2001,0.0016588175821151308,0.0020479731539959508,0.003108014492971023,0.0036010362268536667,8.336081224764405e-06,0.0002791991162747914
2002,0.0018911752223287372,0.002354717355470992,0.003538229510108839,0.0041748127370771415,1.5355164626767325e-05,0.00028182185404271017
2003,0.002046140019502439,0.0023772169782045045,0.0038299643525196714,0.004303336664921136,1.4553393538531565e-05,0.00018357104395459918
2004,0.0016713552670964526,0.001990894095336725,0.003130654488637173,0.0035306617277238925,9.368306336103745e-06,0.00023726215347462149
2005,0.0017346290806706081,0.002200834805647786,0.003245681559057649,0.003888246455479907,1.3700652125019042e-05,0.00027905199506342483
2006,0.0019062630591937788,0.0024450395030417163,0.0035759347732520295,0.004334083720026631,4.68415299427079e-06,0.0002936185945772165
2007,0.0019436789716720316,0.0023167131046909067,0.003637659091709481,0.004106177340079098,1.4415370532687049e-05,0.0002787032284010002
2008,0.0015929282441832036,0.002161140874827457,0.0029815969076228853,0.0038362535299578983,1.138199418484298e-05,0.0002533653141085984
2009,0.0015295071767014682,0.0020242904506089275,0.002861448632030309,0.0036063854803119496,1.2567197171076333e-05,0.00022245209474791892
2010,0.001480820523173364,0.0020415747696959355,0.002764872031783959,0.003520629842333317,1.8422111144940074e-05,0.0003570879909155993
2011,0.0014435525679774002,0.0018835793428774957,0.0026997291775551066,0.003248892477864693,1.2900708020908068e-05,0.0003286325614300146
2012,0.0017138930364143656,0.0021019110755715704,0.003207547029327808,0.0036990877390579474,1.2779636594393586e-05,0.000282896339208944
2013,0.0015150003066043017,0.0019041062715463818,0.002834845446943084,0.0032624085896516175,1.1836746255098755e-05,0.00035714406657924553
2014,0.0013968988016543823,0.0018424834358462137,0.0026134416835302994,0.0031757678395371047,1.1385551843349824e-05,0.0003240139806375258
