Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-0.00014944262179187847,-0.00011764481912773502,-0.00021165582547786807,-0.00014967152220782758,5.9777034370909636e-05,3.5686537165777405e-05,0.24950736556257178,0.23066741325287954,0.2745539576716006,0.2555662250918298,0.1764920119932419,0.1580828659434745,-0.004217593221633648,-0.0031574877062295337,-0.006188180308426772,-0.004651003955231492,0.0015270251382228928,0.0011963827328193843,-0.0005989507422152677,-0.0005100192414208139,-0.0007709079383624612,-0.000585646722895593,0.0003386954100404191,0.00022574576284907307,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0030562290881068406,0.002270092560805976,0.0038485984090970097,0.0029492234541107862,0.0035807397152291913,0.0026448519395565447
2,-0.00018360714722735454,-0.00015104220470219725,-0.0002503286251058983,-0.00020453642965488123,4.516708120577907e-05,3.929049570666288e-05,0.1314529054481133,0.1344066693801383,0.15359957487032383,0.15555243413652445,0.06689135187600652,0.07276293423802935,-0.005126185266924682,-0.004139979027138807,-0.007537881795705137,-0.006065332190131334,0.0019043470300161708,0.0014727742500247332,-0.0013967522939219278,-0.0011237701625877595,-0.0016297481638034338,-0.001314903432982378,0.0006752305034812758,0.0005399795392820733,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.003351761446110697,0.0028218015806500706,0.004470315568709306,0.0037740637307728244,0.002734643703596673,0.0022739663444022507
3,-0.00015065969533594725,-0.00013831485278458915,-0.00021449602626406422,-0.0001925612923074711,2.9922862398309383e-05,3.0265756703426843e-05,0.07516286238893903,0.08480754604486165,0.09135723547623908,0.1001944307474714,0.02795333098220494,0.03995198956831519,-0.004615655654713363,-0.0040334175371316006,-0.006629792200691292,-0.0058315003156580725,0.0012559172683141162,0.0012083195123452767,-0.002004443292171884,-0.0016309262469571175,-0.0023478821917707004,-0.0019218762048042349,0.0010704578433732368,0.0007575531789643281,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0030014169739198343,0.0027679363242512542,0.004005257393621143,0.0037131579021466242,0.0016611548086752786,0.001788519962741503
4,-0.00012569346556009332,-0.00012177601745369624,-0.00017579104879167926,-0.00017176812043269776,8.840327148791076e-06,1.9354352151155365e-05,0.04497665578582642,0.05479521404208876,0.05654658659997889,0.06594620211298288,0.01124821139344542,0.022288063644162474,-0.0038815364399918256,-0.0037228224693125964,-0.005393279451468197,-0.0052590756560252985,0.0005254683137255797,0.0007556338856101637,-0.0027946378707796975,-0.002222384191439764,-0.0031087826756946084,-0.0026046703969155737,0.0007859318108070524,0.0008683729757844852,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.002483287368229821,0.002528332121015055,0.0032979431890356983,0.003391940096294996,0.0009268130152702761,0.0012718842325788252
5,-0.00010110140838776499,-0.00010163871521758059,-0.00013543130185518702,-0.00014172828767388993,-2.59435937869647e-07,1.0929964081586397e-05,0.028072807599998934,0.03586417672295023,0.03624681971116111,0.043966635179231904,0.0042440814492127514,0.01224404243917471,-0.0031355273909231436,-0.0033003623204997806,-0.004254243009010034,-0.004585253954471284,0.00012573130816749024,0.00044532957020993955,-0.0036013999678382305,-0.00283398991709016,-0.003736363712303429,-0.003223541831120994,-6.112887817404415e-05,0.000892676102348034,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.001985676898573123,0.002180550918851555,0.0026332527296789162,0.0029257250557261556,0.0004766987600741111,0.0008520847342247183
6,-7.55313528756864e-05,-8.483692759131493e-05,-0.0001010105274057568,-0.00011517911347835375,-7.663148121241466e-07,8.790838696126667e-06,0.018206224520202693,0.02372391739769422,0.023939037143567217,0.029591259243052576,0.001494037136802642,0.006619552960165268,-0.0023752996907937737,-0.002789986606595282,-0.003206736018166567,-0.0038787887052761094,4.8487830847829825e-05,0.00038406876413712987,-0.004148655466259486,-0.003576008387196645,-0.0042194899819895165,-0.0038923356566988765,-0.0005129155047404785,0.0013280109320112138,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0015357543790505016,0.001810541407598051,0.0020463012691574606,0.002421215949781809,0.00024511047229746155,0.000595439943317164
7,-5.6558203018366275e-05,-6.531458156096322e-05,-7.551511006761039e-05,-9.01839474976154e-05,-5.054556943749849e-08,5.5969353936412926e-06,0.012211946708721645,0.01584290843490041,0.016230719511474784,0.020065317689733634,0.0004964959268146555,0.0035338205033361783,-0.0018213700534380865,-0.002289810096785567,-0.002456040378898095,-0.0031731396530210072,2.8808925470609936e-05,0.0002852555882389401,-0.004631383051972623,-0.004122638329278067,-0.004652603972006464,-0.004494518795670889,-0.00010180460041592126,0.0015838199445493586,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0012090646101218267,0.0014675038866621784,0.001618248724055365,0.001958401017243396,0.00011859447748001804,0.0004068568196297029
8,-4.408188925203125e-05,-5.038516212130386e-05,-5.881576268714648e-05,-7.005963841767233e-05,-8.254128661739113e-08,3.910354828312968e-06,0.008417505922721284,0.010660038371029159,0.011250758932312158,0.013671418306915588,0.00015806011284310095,0.0018813203005946756,-0.00141873039937073,-0.001860993628794598,-0.0019032268672942686,-0.0025623224130656205,-6.3354214616196454e-06,0.00018350683374278006,-0.005236929995266351,-0.0047265460374172645,-0.005227715129352539,-0.005124533303339359,-0.0005222145241622477,0.002078516256416797,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0009429548434796793,0.0011883621369614455,0.0012641464992692918,0.0015827287713595386,4.925856470062827e-05,0.0002843405941383079
9,-3.1495474110842866e-05,-3.8264438521894366e-05,-4.233446383109924e-05,-5.4476054037726284e-05,-3.889667186438407e-09,2.006883744012623e-06,0.005939748830473256,0.007218878255648474,0.007961982599025379,0.009354853854932291,4.4571036706892236e-05,0.0009921224192347687,-0.0011006443662601,-0.0014811175154464794,-0.001476965829733939,-0.0020278218963524913,-3.599123870912792e-06,0.00011262479871712008,-0.00530249258171636,-0.005300607264287082,-0.005317075653528981,-0.005823292900402084,-8.72689413086263e-05,0.002022818661391149,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0007390848727059547,0.0009575184696596703,0.000992388644797725,0.001277780767414975,2.02210306374831e-05,0.00018568309450615726
10,-2.3647477646159874e-05,-3.0964681586822806e-05,-3.191929137534755e-05,-4.225514688311707e-05,9.344150171964873e-08,1.0771424989607173e-06,0.004256536750929385,0.004916127640393684,0.005712759087975274,0.0064290646613918145,1.1384821592411449e-05,0.0005056421326073556,-0.0008379627018175392,-0.0011758029447275203,-0.00112566894157776,-0.001596800825914491,7.531094493652943e-07,5.148214910858002e-05,-0.005555567596355562,-0.006298591869828496,-0.005587368709899588,-0.0065725185713047946,0.008207550813262823,0.002130246728860205,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0005818734917532719,0.0007683368730339608,0.0007816810310924563,0.001028369052877814,8.86661500668762e-06,0.00011712330073350953
