Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-0.00018493349308406888,-0.0001490563898630193,-0.00032386126604004237,-0.0002478739431581377,0.00022161722085857342,0.00010091330484789694,0.2406211317661548,0.22108555223389262,0.2697567445840798,0.24886840723100218,0.1561278502516331,0.14051526860135863,-0.006387808577226706,-0.004886414559235219,-0.010786212084232694,-0.0077746744280275115,0.00636756224865434,0.0034895394907454302,-0.0007685671317671077,-0.0006742023092731467,-0.0012005678172732355,-0.000996004056585851,0.0014194598881710747,0.0007181661171227425,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.003349859838556604,0.0026948032690331516,0.004984123221808454,0.0038934448479809266,0.00485208893896813,0.0033182792063527647
2,-0.0002431712144645459,-0.00021259698165296877,-0.00037827806229024047,-0.00031888835928303564,0.00012874283578013818,0.00012159263613168362,0.12297459501649759,0.1253932038024828,0.14621757007649705,0.14742794252447197,0.055569963878232514,0.061492458224529964,-0.008322008010987605,-0.007090633922554129,-0.012557607846232832,-0.010832058974704184,0.003961232142521663,0.0037594992863246093,-0.00197741016696923,-0.001695442617351478,-0.0025870903345769983,-0.0021630116640208993,0.0023167701901380656,0.0019773585191163994,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.003925699186814677,0.0033760845442910572,0.005673020271185421,0.004904034443587455,0.003057198723759884,0.0026840789915589217
3,-0.00021177010365597287,-0.00020940398905117236,-0.00031918411769861797,-0.00031013686560192296,6.943469315508789e-05,9.979058509444348e-05,0.0680459824619034,0.07790028463411391,0.08391412302942433,0.09350214052705855,0.022028372451013772,0.03265490021918409,-0.007250516651737815,-0.007195000520169054,-0.01053120404724435,-0.010757462544784935,0.00226347728420365,0.003136139882186778,-0.0031121617470147582,-0.0026881030028928885,-0.0038036996178425968,-0.003316895889802358,0.0031520573437504424,0.003055914561815704,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.00343106694201257,0.003284033787198945,0.004849460986144058,0.004740423311378028,0.0018100275810324197,0.0020379112634572013
4,-0.00016397273308223318,-0.00018172134581390963,-0.00023978375023181778,-0.00026616093624213654,3.6018203592412534e-05,7.817179217919139e-05,0.039741146142590646,0.04996143237108932,0.050417547152430214,0.06092408258668745,0.00877958162278368,0.018169745111918285,-0.005644911115561646,-0.006149982630539175,-0.007985769496614982,-0.009140539940792558,0.0011435785383881302,0.002522634014925553,-0.00412601922687135,-0.003637232504948447,-0.00475595826799876,-0.004368731131296435,0.004102496581265622,0.004302305381703747,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.002666990151298432,0.0028242230639917475,0.0037188457072243573,0.004059686101158646,0.0010165471985954654,0.0015138973129602766
5,-0.00012825760507389767,-0.00014465927790798278,-0.0001789771102359409,-0.0002146563071921624,1.573267804233859e-05,5.615163528193149e-05,0.024429356454177795,0.032488472118628736,0.03166187873450594,0.040149835189409656,0.003455040763249513,0.010270518071470423,-0.0042820766034708906,-0.004922129002397933,-0.005932961360229763,-0.0072573367536133485,0.0005054894371870795,0.0018499738241795002,-0.0052501426025884385,-0.004452634072164811,-0.005652763430013614,-0.0053463807803819435,0.0045535433936651415,0.005467264152712046,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0020372934833997143,0.0023137271874312327,0.0027977276177743628,0.0032942599116897006,0.0005314385065844116,0.0011066231785007172
6,-9.727304645610954e-05,-0.00011254858344809571,-0.00013367105380133727,-0.00016512801760719924,8.501733710988882e-06,3.757414993219506e-05,0.015654973928523046,0.021258544360939095,0.020588695220918666,0.026568623977993443,0.0013471814452255201,0.00585931268003669,-0.0032452678417942814,-0.003816569404411576,-0.004449285108947241,-0.005571329189561637,0.00024638241240295994,0.0012722342340631089,-0.006213555314766766,-0.0052942751647142355,-0.006492449005001731,-0.006215151290634145,0.006310756239346571,0.006412723127102303,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.001540443102371216,0.0018500721293259236,0.002097679360417787,0.0026059560376303632,0.00028640031783012026,0.0007978746095786465
7,-7.406133023578015e-05,-8.636838070021035e-05,-9.969493700363089e-05,-0.00012479657735892184,4.062878093694803e-06,2.425000162248028e-05,0.010344410195561527,0.01393596239614747,0.013733784614866972,0.01758751144645164,0.00051522387440386,0.003346469606017498,-0.0024802598273204485,-0.0029157100275503875,-0.003372363981104222,-0.004216044284856222,0.00010684235161685987,0.0008552595124459808,-0.007159550794646332,-0.00619751820829299,-0.007259101536783242,-0.007095749602715972,0.007885655722758884,0.007246443110935424,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0011745075984828305,0.001446974624517749,0.0015885300880773632,0.0020232852396220033,0.00013362463721121667,0.0005611067202512996
8,-5.462627493670177e-05,-6.473493401535686e-05,-7.322502944507242e-05,-9.242532353394158e-05,1.2574331289666659e-06,1.598441303905996e-05,0.0069861444948681765,0.009121294467602025,0.009329623235039997,0.011612112531713282,0.00019005579908435574,0.0018979217104335333,-0.00190411053783338,-0.002226543865016112,-0.0025729125936695815,-0.003176882118054539,3.5415523773750404e-05,0.0005294372104392591,-0.007819230618093954,-0.007097121383953694,-0.007848658793642967,-0.007959389239599877,0.006616126079944331,0.008422061326970497,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0009045954020997061,0.0011225795817966823,0.0012183678254216504,0.0015568297976620003,5.790024785720561e-05,0.0003794548762435604
9,-4.150060053460355e-05,-4.9200515946280244e-05,-5.5952030031590735e-05,-6.830398012941848e-05,3.6379028280292865e-07,9.648922568884148e-06,0.004787679694993951,0.005954532839544224,0.0064149018781325924,0.007641890268402201,6.873512136136254e-05,0.0010611960443626602,-0.0014645425576917106,-0.001687991715769721,-0.0019734323837411593,-0.0023731928745398083,1.1238013699648298e-05,0.0002990917467899202,-0.008668207394491537,-0.008262699572254971,-0.008722195770807118,-0.008938100094402398,0.0052926404376354656,0.009092497677636141,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0007008270469336502,0.0008668823096204619,0.0009423132813604953,0.0011922298772091926,2.6207637192235944e-05,0.0002461046361022666
10,-3.110538499479899e-05,-3.551650888977856e-05,-4.201238182279031e-05,-4.986751831278607e-05,1.6302708114630424e-07,5.923854569794048e-06,0.003301548238325965,0.0038749180502057,0.004431847487540707,0.00501381292054385,2.368024713694811e-05,0.0005721227564776356,-0.0011189785687519497,-0.0012608250418957405,-0.00150642532413776,-0.0017574221731384392,4.617079614284112e-06,0.00017930671272374011,-0.009421454041989352,-0.009165744521459794,-0.00947965423920839,-0.009946026926624324,0.006884517724983297,0.010354167008257453,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0005418893751954762,0.0006629090503098525,0.00072852631044053,0.0009081558597984942,1.2796923699052592e-05,0.00015712278718513217
