year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.003996368478084924,0.004707615152572174,0.005358869081425058,0.0061224940492079095,4.511652532361151e-05,0.0006044661414468534
1971,0.0036121817974849296,0.004113798994329255,0.004852579784692711,0.005358044065103061,1.502744970631524e-05,0.0005054881036357793
1972,0.0036212901912959306,0.004713585874355342,0.004863406271886616,0.006158038976421164,1.9153372450818587e-05,0.0005246716630748637
1973,0.00402544453182832,0.004637278766842838,0.005395925991260121,0.006049979240561046,5.1048095211659164e-05,0.0005404471825030281
1974,0.004540719146656271,0.005376686830483277,0.00609965063175773,0.007017489233902539,1.9817607509919642e-05,0.000618359616012794
1975,0.004365643298633711,0.004461606727070088,0.005863262418935695,0.005842727224852609,2.2547626544197847e-05,0.00045635707765064065
1976,0.0032556193607863404,0.004088724536982877,0.004375368073684344,0.005358270076278387,8.347926488341682e-06,0.0004070422838055275
1977,0.003384964920941614,0.0038847564768652574,0.004546950331507942,0.005011173222910407,1.5207057110273455e-05,0.0006181477454466928
1978,0.003254676065898526,0.003649427939584365,0.004372726366597795,0.004757871707787344,1.2330027229997952e-05,0.00043494084658689177
1979,0.003581765414655366,0.004098369145727225,0.004811746829296084,0.005325857320893079,1.4819128873781472e-05,0.000538653254794351
1980,0.003617719298235716,0.004561001871816312,0.004858613546651722,0.005958900829829787,1.912579287928728e-05,0.0005070946852263362
1981,0.003407517455947617,0.0037841223628897218,0.004576146541283399,0.004912984361879929,1.8492934294648885e-05,0.0005104223975660354
1982,0.0032943214569698775,0.004238344105140462,0.004427422660013357,0.005613234452802853,8.327799259868938e-06,0.00025116189199796206
1983,0.0039046625514134086,0.004579719789559236,0.005246340044730096,0.005993909635984796,1.379762082368695e-05,0.00047856902414612534
1984,0.0036335734295739153,0.004111310443293993,0.004882694198868135,0.005437634086482697,1.112301244453496e-05,0.0002649716803638451
