Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-5.888318809550094e-05,-6.860853560688761e-05,-7.314079741634264e-05,-8.332745948077967e-05,-1.379162583597144e-06,-3.212580257384665e-05,0.297734206828155,0.26533035295272134,0.30760041062839766,0.2771907954932598,0.2688776317992826,0.23064104823369067,-0.002159791575190806,-0.0022595724097345116,-0.0030067649427947263,-0.0028457151037449835,0.0003174277306902673,-0.0005452280712438806,-0.0001977709874951886,-0.00025857778743886424,-0.00023777860785986312,-0.00030061409265953016,-5.129331786984386e-06,-0.0001392891803947061,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00208624481843724,0.0016163767239007827,0.002643346366199625,0.00190268246308215,0.0033736141522344018,0.0026729969495273777
2,-6.141813820166948e-05,-5.753385351735679e-05,-8.798435421691184e-05,-8.045399777272742e-05,2.61363712141725e-05,2.4035660332203403e-05,0.15748517493904338,0.15502395707930827,0.1721110000086487,0.16740318012566904,0.11470770682411893,0.11881732828174904,-0.0025422217331706742,-0.0021417620156186923,-0.0037370634397835556,-0.0031223423138258544,0.0009524394407301184,0.0007262295158710075,-0.00038999314205570237,-0.00037112878939042437,-0.0005112070362294714,-0.00048060017564977475,0.00022785191978641278,0.00020229086682716974,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0021251669985424483,0.0018079434786841013,0.0028253810924375065,0.002350394576863173,0.002738208873804691,0.0025348667596453997
3,-5.327688143970246e-05,-4.565671226853262e-05,-7.584855412478175e-05,-6.442042384404711e-05,4.093997207211564e-05,3.204033481394683e-05,0.084831346207364,0.09574477487638386,0.09878852366152857,0.10651242512329201,0.04400953200690346,0.06425165822021706,-0.0025611457462609843,-0.0018692459388236632,-0.003843285475365346,-0.002939755970573374,0.0011888438180624045,0.0012617711854713137,-0.0006280329597678555,-0.0004768585265094626,-0.0007677871002977608,-0.0006048160462920465,0.0009302523840901939,0.0004986693838177892,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,increasing,no trend,0.001970843099387571,0.0018155442378596622,0.002723362783870886,0.0024411119049569776,0.0017338883044647029,0.0019711982017719255
4,-4.690595047504154e-05,-3.430966739672133e-05,-6.89671052160056e-05,-5.202199703109326e-05,1.8786895769966506e-05,2.7016228397438444e-05,0.048030326752812165,0.061035376708269515,0.05927055199902615,0.07007205588735999,0.015155027425342296,0.03460498706470078,-0.00237497560399319,-0.0018619734004695285,-0.003401594065322054,-0.002858366872852486,0.0006276678904208605,0.001052268346025731,-0.0009765902846433417,-0.0005621275602297185,-0.00116359815945596,-0.0007424071746191951,0.0012396477579810238,0.0007807033231056069,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0018447089154181,0.001745778503167358,0.0025254415669115795,0.0023728746051238825,0.0008404430387881339,0.0014504442364798838
5,-4.3424913728840464e-05,-3.0378757002737712e-05,-6.123698074632651e-05,-4.9478571875390646e-05,1.0367612051296639e-05,2.448671964705256e-05,0.028999654158708185,0.03976998056658249,0.03729832589298144,0.04717395931820035,0.004727781370701559,0.018114896941309924,-0.002062753742271762,-0.0017800232196941573,-0.0029067703941159997,-0.002662433615734476,0.0004058177906780796,0.0008008419555183312,-0.001497428675914074,-0.0007638614998032978,-0.0016418157995088379,-0.001048853490156404,0.002192912750903746,0.001351744905112437,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0015894834045856788,0.0015901518460438768,0.0021695448206623764,0.0021590490761441332,0.00043003075772712467,0.0010706345202049865
6,-3.476407641962113e-05,-2.76313652085796e-05,-4.849373041821697e-05,-4.262074647941394e-05,4.858365786627767e-06,1.3130723263553264e-05,0.01858546158871125,0.026474843445833528,0.024471287111916627,0.03234409231153508,0.0013706574699224687,0.009308522570516274,-0.001697180731287662,-0.0016634891337635287,-0.002344357754586742,-0.002376931517918443,0.00019567620821046958,0.00042318007599245755,-0.0018704984137029297,-0.001043683799872595,-0.0019816583490862762,-0.001317728940076449,0.003544551350894823,0.0014106130338173526,True,False,True,False,True,False,decreasing,no trend,decreasing,no trend,increasing,no trend,0.0013528358508807087,0.001408536150980702,0.0018269085736730066,0.001908994438319109,0.00018675690087582768,0.0007373487421515988
7,-2.6412006706122925e-05,-2.598569027761491e-05,-3.703637797052752e-05,-3.6171148059838413e-05,2.821447241618255e-06,8.144413828921275e-06,0.012473340361856567,0.018013752686390796,0.01660892884264335,0.02253382069114288,0.0003776121871123355,0.004793502612950641,-0.0013003035089621095,-0.0014378800988488934,-0.001778837986173322,-0.002026882662655341,9.930938421648009e-05,0.0002848287584585104,-0.0021174766293470797,-0.0014425472987228713,-0.0022299076792620595,-0.0016051937465738249,0.007471811922158395,0.0016990527567289635,True,False,True,False,True,False,decreasing,no trend,decreasing,no trend,increasing,no trend,0.001112900373137366,0.001219733551661675,0.0014945727831865508,0.0016551841882951183,7.983801164609016e-05,0.0004968934329055621
8,-1.8746849884887502e-05,-2.4985176213942694e-05,-2.5811612005209708e-05,-3.38465478865519e-05,9.51593356229346e-07,4.865437563742402e-06,0.008623725710404746,0.012499732053299302,0.011538127453647235,0.015910155063686444,9.97123947579872e-05,0.0025249606546983243,-0.0010177023826097396,-0.0012713232978772485,-0.0013762334989760108,-0.0017611239255952305,3.092587087851159e-05,0.00016124072057375994,-0.002173868988234279,-0.0019988569440852824,-0.0022370711459813683,-0.002127354997551452,0.009543380825813744,0.0019269359919288375,False,False,False,True,True,False,no trend,no trend,no trend,decreasing,increasing,no trend,0.0009230572206199915,0.0010649655529226176,0.0012388188401256728,0.0014353639150426782,3.7288265570980665e-05,0.00033939421400628765
9,-1.5805790386592308e-05,-1.9517505312559878e-05,-2.1253232453519454e-05,-2.701058013710766e-05,3.5472404416736793e-07,1.7491853509553754e-06,0.006063200838806711,0.008833065601231462,0.008127012061918508,0.01138704890858316,2.6986240879082836e-05,0.0013632005525012621,-0.00078007656005789,-0.00104005853528937,-0.0010504004965118012,-0.0014251993610096287,1.0564208399521783e-05,8.639753222104978e-05,-0.0026068393257616417,-0.0022095958746008687,-0.0026151348480344568,-0.0023720439205936867,0.013144626024676013,0.00128314601086824,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0007630990674099273,0.0008980196433522905,0.0010234194777804229,0.00120564353062432,1.593728746166235e-05,0.00023177883469830147
10,-9.527770930372158e-06,-1.590938876054564e-05,-1.2715907411732154e-05,-2.1893793551570445e-05,4.1100348690634795e-21,1.2471741778393655e-06,0.004289457563086816,0.006302711702615617,0.005753748558171967,0.008210665423915343,6.71378247115869e-06,0.0007223475803026691,-0.0005868269749461493,-0.0008400804092608908,-0.0007877826576211597,-0.0011544318446604718,9.262128043881291e-07,7.933155147908004e-05,-0.0022212064789646044,-0.0025242133086847787,-0.0022100213944302328,-0.0026665066010119016,6.121787363113887e-16,0.0017265568707474455,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0006182988351986575,0.0007528377609137913,0.0008294687304498345,0.0010088649416657536,6.5581967242101105e-06,0.0001543926854762356
