Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,3.8032444951029436e-05,-1.6179629408221345e-06,2.332577844711491e-05,-2.045275136658911e-05,8.12948570741255e-05,6.65263488691724e-05,0.2683862187398426,0.242363939602237,0.2861839957384937,0.26231414527535907,0.21609328165615274,0.18374679600333116,0.0010962682603683493,-0.0006665568011889056,0.0009336017568702948,-0.0014482707132494332,0.0015742104906644183,0.0016302534366246235,0.00014170789070170475,-6.675757719888131e-06,8.150622953922728e-05,-7.797044778168269e-05,0.0003762026123675688,0.0003620544701523195,False,False,False,False,True,True,no trend,no trend,no trend,no trend,increasing,increasing,0.0021297098403288096,0.0016313487750576334,0.0023303088626987723,0.0018351575251233105,0.0035623139890719486,0.0025114773969182273
2,-7.095598145500162e-06,-6.524064857085843e-06,-2.0659108682567516e-05,-2.4629783457136417e-05,2.9806797147135328e-05,2.8255710151247418e-05,0.14053819558905445,0.14171273592814193,0.15622825568445073,0.15744664280448098,0.09443809412862789,0.09548380506630559,-0.0005695754493358351,-0.0007532843743597029,-0.0007526901139496278,-0.0011061470626850811,-3.155299650499377e-05,0.0002834870359786079,-5.0488752297975205e-05,-4.603725144643309e-05,-0.0001322366981059733,-0.00015643257308269165,0.0003156226035919092,0.00029592149298644067,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0020237038545581933,0.001667356126886797,0.002452160747945054,0.0020514976054323603,0.0026383720338581857,0.001971214237870772
3,-2.838532625012136e-05,-1.6758612188939466e-05,-4.499640362050542e-05,-2.7164078832235884e-05,1.84262814065363e-05,1.9172934033194856e-05,0.07682989541327472,0.08800312244348246,0.08821264414655139,0.09874845853578333,0.04338541729705857,0.05643147255370286,-0.0012401038878518122,-0.0007262990081357418,-0.0016946615852084929,-0.0009922353973390169,9.546499081107551e-05,5.506794965475653e-05,-0.00036945678628656477,-0.00019043201790598072,-0.0005100901810147646,-0.000275083573303501,0.00042471140199879003,0.00033975604685752234,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0017485975437028867,0.0015627317689052497,0.0023097989816053617,0.0020498571465567984,0.0019312231021244095,0.0017045578385893655
4,-3.737412078315842e-05,-1.868803610958425e-05,-5.214679013429072e-05,-3.0412637164405424e-05,1.4761404878442198e-05,1.8447084461782703e-05,0.04336721331769333,0.055958590625618164,0.051399881219519085,0.06312487075924601,0.019765850224078882,0.03490282415656436,-0.0013080378018414524,-0.0007054187258094813,-0.0018499670937660306,-0.0010364992246701121,0.00028424388415599147,0.00026735285672400966,-0.0008618059110547047,-0.0003339618796801641,-0.0010145313354243315,-0.00048178533751613,0.0007468135552529768,0.000528526986212755,False,False,True,False,False,False,no trend,no trend,decreasing,no trend,no trend,no trend,0.001446384178084707,0.0014238929313186556,0.0019921360982710994,0.00190136992496426,0.0012951699483164604,0.001480640463407365
5,-3.478086659647901e-05,-2.180046252491885e-05,-5.034116919331002e-05,-3.8179380024238133e-05,1.1270548239883001e-05,1.9642195245084954e-05,0.025369341664858255,0.03591426954415534,0.031033514041773725,0.040709682436671495,0.008727026742064223,0.02182451975699564,-0.0012208287731953378,-0.0007223767312503834,-0.0017506734403054877,-0.0010767101504368173,0.0003359462017591703,0.00031871593990559846,-0.0013709802586110323,-0.000607013947425993,-0.0016221549749585744,-0.000937845194042731,0.0012914533864734272,0.0009000058403937542,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0011639434486124612,0.001237184166182259,0.0016179172519015345,0.0016762426543202639,0.0007532966097866125,0.0011553364413677718
6,-3.001490107594867e-05,-2.0620669207059324e-05,-4.2413029412801705e-05,-3.312586499936854e-05,5.119032927312115e-06,1.4734702117121663e-05,0.015413812522835826,0.02309398807627077,0.01939955821399953,0.02631866275314021,0.003703004556458567,0.013619337955321402,-0.0010518251812973202,-0.0006227833531384785,-0.001484046416679742,-0.0009249220434565386,0.00021811532137355066,0.00026495220645134966,-0.001947273007990793,-0.0008929020461497164,-0.002186288416722536,-0.0012586454452521956,0.0013823998456560884,0.00108189562264034,True,False,True,True,False,False,decreasing,no trend,decreasing,decreasing,no trend,no trend,0.0009020374172771856,0.0010350515360647461,0.001252430093860266,0.001415832811733264,0.0003985142712820495,0.000873793288760223
7,-2.3924787183013607e-05,-1.8377383350473527e-05,-3.330767780117608e-05,-2.9494556024648805e-05,1.970378479801131e-06,1.0068147196524991e-05,0.009701678465732435,0.01483170744250545,0.012486407974314868,0.01700485429685626,0.0015196630939008243,0.008446627343075212,-0.0008389495574471009,-0.0005167137072084084,-0.0011602449374607596,-0.0007733533783859485,0.00010507165900070013,0.00023733789030751067,-0.0024660461864943273,-0.0012390605344470794,-0.0026675147784448136,-0.001734478608858269,0.0012965890187826865,0.0011919724628054235,True,False,True,True,False,False,decreasing,no trend,decreasing,decreasing,no trend,no trend,0.0006882050582828585,0.000847678615141814,0.0009474266932353388,0.0011586302089635731,0.00020659332448568247,0.0006389240493917739
8,-2.074168653250152e-05,-1.4966300466147895e-05,-2.8257998077825107e-05,-2.3921327684459987e-05,9.757611630157572e-07,9.58506486242631e-06,0.006277451766511932,0.009472742829250435,0.008212597546346895,0.01094164077176861,0.0005916598543902266,0.005156867442325159,-0.0006836974579789209,-0.00041319300776726,-0.0009322002309634283,-0.000631288796481411,4.644652987898987e-05,0.00022761001826857984,-0.003304157053527891,-0.0015799331551506037,-0.0034408112559216725,-0.0021862651300142565,0.0016491927849683011,0.0018586990977810627,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.000528113429544381,0.0006571320514496699,0.0007217110103045712,0.0009022208135745434,0.00010491020854242032,0.00046909170690872295
9,-1.735545732184273e-05,-1.3238096892312054e-05,-2.35428814361129e-05,-1.884658160192543e-05,1.2130945740037512e-07,4.95016455489823e-06,0.004150059543640163,0.006023986862660331,0.005489451158659514,0.0070178960972053705,0.0002146960732507866,0.0031037101858089715,-0.0005299335209362193,-0.00035799808755630075,-0.00071687656025994,-0.0005257160955086998,1.933735678797996e-05,0.00013478633368471963,-0.004181977906422917,-0.0021975640375925067,-0.004288749595480855,-0.0026855030825307337,0.0005650287663094494,0.0015949184229673771,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00041144391405317283,0.0005131217521416971,0.0005578846984396765,0.0006973329944617125,5.1468028154796334e-05,0.00034299186835893365
10,-1.4570953548976666e-05,-1.0629755147870243e-05,-2.0041612319472734e-05,-1.5003969988785574e-05,2.187227635223108e-07,2.5699208615715316e-06,0.002786809222660238,0.003812726758269004,0.003710084930525253,0.004480349412263825,7.406602411684339e-05,0.0018511363055038644,-0.0004288811596746601,-0.0002762722371796593,-0.0005774535446256795,-0.00040641163232496905,7.650120563634783e-06,0.00010609974123982052,-0.005228543608402263,-0.002787966676294475,-0.0054019281754381174,-0.0033488392551964796,0.002953078231622952,0.0013882936950296697,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00031954812535755654,0.000391172162858931,0.00043023240858167285,0.0005278776668386721,2.5872675825407283e-05,0.00025744468373896644
