Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,3.6635001885405966e-05,2.3388432925962386e-05,3.02217356393694e-05,2.1979685833723818e-05,7.236035635441597e-05,5.298564556826593e-05,0.2584543013194555,0.23217124410840742,0.2759343490263449,0.2464764489389022,0.2073196975094632,0.19032404816855678,0.0022968390260327265,0.0015208816217288368,0.0019739683706159195,0.00131395720700897,0.003241336622575669,0.002126200219408708,0.00014174653584164674,0.00010073785414631992,0.0001095250944509412,8.917560249000606e-05,0.00034902788892557135,0.00027839700804041447,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.002508210571253593,0.0016792902406818173,0.002952108002332967,0.0019634327961957324,0.004313551266229345,0.002947371249326982
2,1.5194864386633939e-05,1.6313484627175336e-05,-7.460532466097999e-06,5.505730402976312e-06,8.591008544777167e-05,4.6922911262796425e-05,0.12251392235163616,0.12298037840103579,0.1416361748778942,0.1394551885592167,0.06657535609134799,0.07478640865852822,0.001433219180869666,0.0011297840782701352,0.0009339133364783814,0.0008350502881995514,0.0028938448588475413,0.0019919725480840728,0.0001240256135382071,0.00013265111751386462,-5.2673919445578005e-05,3.94802836657341e-05,0.001290418714845393,0.0006274256526616297,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0023300553605884325,0.0017734337352364596,0.0030063088755394487,0.002214161923446088,0.003034389814941913,0.0027122257655614675
3,-9.961495206466763e-06,7.859632689098584e-07,-2.029035441628193e-05,-1.3015545980645643e-05,3.9257370235449456e-05,4.044761098366021e-05,0.06385986876279467,0.07274786093628896,0.07881054646292453,0.08667507796098776,0.020124462904278852,0.03200639748747535,0.0001657585773057746,0.0004675592173377374,-0.00028031147184819083,7.689733405086274e-05,0.0014706529126914704,0.001610367346955445,-0.00015598991040004172,1.0803936484100727e-05,-0.00025745734964326486,-0.00015016480269569422,0.0019507288429100175,0.0012637351954242289,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0018166063882601798,0.0016020411063176676,0.0024933288854174047,0.002088493568972919,0.0016798775088869827,0.0020867848792902417
4,-1.9029177306193772e-05,-8.668072931571016e-06,-3.327522505255214e-05,-2.3146097753300038e-05,1.6226202218472063e-05,3.6777714143979186e-05,0.03708786558214154,0.04632732371420715,0.04768978598210721,0.057118829216245025,0.006073934249239488,0.014758796693392973,-0.0006291232457557305,6.166185872462371e-05,-0.0010469048825378982,-0.00036307193682991873,0.00059301864047761,0.001304140982613708,-0.0005130836462952631,-0.00018710497901938564,-0.0006977432246191398,-0.00040522710410732847,0.0026714484471911646,0.0024919182036326416,False,False,False,False,False,True,no trend,no trend,no trend,no trend,no trend,increasing,0.0013682289051074547,0.0013860673059037014,0.001949898891941116,0.001871212748174499,0.0008792659647500657,0.0014758458740907795
5,-2.420557126111345e-05,-1.6153519113081872e-05,-3.3013991004533633e-05,-2.5847271936728667e-05,7.752857755695772e-06,2.503743521606103e-05,0.023360152978929676,0.03090952864376755,0.03071765146452419,0.03903127896376287,0.0018371699526754937,0.007150870096574049,-0.0008644296937144087,-0.00030433175378022717,-0.001256370442629308,-0.0006824026069267297,0.00028211951763897005,0.0008016436767176892,-0.0010361906141173956,-0.0005226064525037327,-0.0010747563511703194,-0.0006622194461197543,0.004220000302315629,0.003501313109862862,False,False,False,False,False,True,no trend,no trend,no trend,no trend,no trend,increasing,0.0010701929338936735,0.0011742779629466517,0.0015042529813227923,0.0016179299506529313,0.0004092082303363023,0.000966115781531409
6,-2.33766840060709e-05,-1.763965705969675e-05,-3.1209197547054146e-05,-2.6611913194145953e-05,3.0071981830659157e-06,1.257889388885234e-05,0.015450435753567346,0.021268748162277085,0.02055022400137149,0.027326361324237172,0.0005319609336422133,0.003548336052135018,-0.0008859500728716583,-0.0005537821103975306,-0.0012279759739085294,-0.0008816872938927668,0.00011458260504449005,0.0004054430545694294,-0.0015130113078314614,-0.000829369783548568,-0.001518679190308159,-0.0009738549848765434,0.005653043283604167,0.0035450120011275917,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.000841108078118751,0.001000782114574551,0.0011601910991736262,0.0013802400273852209,0.0001838206562834217,0.0005850268815188573
7,-2.3223007658568906e-05,-1.638256382752e-05,-3.145672683676736e-05,-2.2490201239023695e-05,1.1378445565512319e-06,7.557584319796845e-06,0.010509376460258981,0.014947716849023388,0.014050261605429666,0.019451250205458046,0.0001511805290414606,0.001773473975784007,-0.000781889355384752,-0.0006673542671755614,-0.0010626838501409976,-0.0009664260717249587,3.952231820737495e-05,0.00020752425105326992,-0.002209741724105735,-0.0010959910461904659,-0.0022388712552235354,-0.0011562342266674928,0.007526396181873282,0.0042614576943289136,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006420290385450128,0.0008479355160900705,0.0008733990587634987,0.0011691676153096557,7.403891243374316e-05,0.00034137676577818723
8,-1.7684781319779276e-05,-1.674158018634494e-05,-2.381940744270575e-05,-2.37510701016899e-05,3.345827183179384e-07,4.693714601865535e-06,0.007218212711645322,0.010665136529912423,0.00967232079762919,0.014018675301882604,3.917940533323468e-05,0.000854987304830111,-0.0006421337624652095,-0.0006546040624938274,-0.0008663562413913778,-0.0009194714480021387,1.378708039743628e-05,0.00012021583772966994,-0.0024500221905691386,-0.00156974832337026,-0.0024626362112125347,-0.0016942449689593929,0.008539759995645524,0.005489806194020849,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0004852182596070959,0.0007135533182230128,0.000654751432214678,0.0009786542605776558,3.1029616857915324e-05,0.00020601754665216344
9,-1.543617391801584e-05,-1.6651801571310406e-05,-2.0979818081123247e-05,-2.3035517158012492e-05,8.965362942023697e-08,1.9314786228316837e-06,0.004978799174674789,0.007714212091995897,0.00667746907969079,0.010217603898421277,9.658697860477047e-06,0.0003910084972888556,-0.0005217857137590591,-0.0006225976091981415,-0.0007015329628809602,-0.0008527759116259779,4.031178958092277e-06,5.0745879198720056e-05,-0.003100380910427888,-0.002158587471115548,-0.0031418817265560068,-0.0022544930677506213,0.009282165227167478,0.004939735673838345,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0003859153963957298,0.0006116787822128409,0.0005187609920895219,0.0008295836653005979,1.2399245429902399e-05,0.0001139406348847423
10,-1.2103534143663168e-05,-1.5674688309386656e-05,-1.6300698882384998e-05,-2.080631473138683e-05,0.0,5.237799324459457e-07,0.003428032888759585,0.005634279237005969,0.00459924435481349,0.007500650493375473,1.8732295510127528e-06,0.0001745598839976737,-0.0003943867884195402,-0.000557078134677199,-0.0005294066707482413,-0.0007522728515399193,5.885746412703322e-07,1.3927430064172538e-05,-0.0035307520483103547,-0.002782021914433214,-0.0035442124020492556,-0.0027739347073647593,0.0,0.003000574475937014,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00030475619361195014,0.000521734821197308,0.0004090334724166434,0.0007039824771701336,3.4382611937042223e-06,6.810282237677065e-05
11,-9.265455699906856e-06,-1.3806900888491427e-05,-1.2432794362821404e-05,-1.8824742602758303e-05,0.0,3.386924867677038e-07,0.0023542921172421977,0.00414500759805273,0.003159068798587762,0.0055356078499748905,6.87509120493083e-08,7.706715918949207e-05,-0.00028069871935973,-0.0004604654665731002,-0.0003767595979269002,-0.0006213283031280001,3.0937910422188734e-07,1.0108616113416557e-05,-0.00393555907189646,-0.0033309711892875004,-0.0039355883507125235,-0.003400664048636265,0.0,0.004394770617338179,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00024143735249787442,0.0004368709307674291,0.0003240310188630526,0.0005875397319243284,4.6119513857208824e-07,4.300429395799703e-05
12,-7.280369974154653e-06,-1.0438281553828094e-05,-9.76911937260207e-06,-1.4078683679937299e-05,0.0,3.2204429125977774e-07,0.0016067953380925067,0.003063185307335629,0.002156068375768353,0.004098306547538919,0.0,3.5132100579202e-05,-0.0002119076214910302,-0.00036620480184300017,-0.0002843469298482405,-0.0004948673344407494,0.0,1.0173325945734252e-05,-0.00453098773786429,-0.0034076559223599023,-0.00453098773786368,-0.0034352441713740795,,0.009166667689959482,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00019171922225729937,0.0003676188037956785,0.0002572572513351906,0.0004942391889906111,0.0,2.4045493479998738e-05
13,-5.6905047467624136e-06,-9.720695721081758e-06,-7.635768561057946e-06,-1.3085273229647855e-05,0.0,1.5362581493878977e-07,0.0010921513351629779,0.0022653143266510092,0.0014654965069126446,0.0030346103040936956,0.0,1.4883110513786566e-05,-0.00015692191041000994,-0.0002945526765288195,-0.00021056469388434028,-0.00039622605539333007,0.0,2.8737397737959097e-06,-0.0052103628531601255,-0.0042911023899507225,-0.005210362853163115,-0.004312011071733262,,0.010322157777198701,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00014716488826744796,0.00030589088393883837,0.00019747229413399217,0.0004110709259565532,0.0,1.3915578106877414e-05
14,-4.126462819550218e-06,-7.61698473653834e-06,-5.537068584962067e-06,-1.0299690852420014e-05,0.0,0.0,0.0007400394644605378,0.0016683451464752444,0.00099301737335018,0.002236670191413678,0.0,5.816731477388951e-06,-0.00011393664873736995,-0.0002241769359117502,-0.00015288518665686017,-0.0003009582888357297,0.0,4.325232613611618e-07,-0.005576003737257799,-0.004565592888636347,-0.005576003737257335,-0.00460492158922641,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00011111553147591212,0.00025170062993381224,0.00014909968792684776,0.0003384408839920481,0.0,8.672733295683948e-06
15,-3.122438126339999e-06,-5.453081322325718e-06,-4.1898242669099995e-06,-7.336219302821426e-06,0.0,0.0,0.0004968287065914244,0.0012240846022118666,0.0006666665237698311,0.0016417079960622178,0.0,2.4056260209806217e-06,-8.459388482402004e-05,-0.00017281241340192017,-0.00011351178057871999,-0.00023255277244779997,0.0,1.9468116586485374e-06,-0.0062847377474663305,-0.004454823884290548,-0.0062847377474687036,-0.004468650527632197,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,8.238317463645924e-05,0.00020130157180778241,0.00011054535280139069,0.0002704677111041865,0.0,5.054441466876161e-06
16,-2.3540909672475865e-06,-4.133518958071873e-06,-3.15882238878967e-06,-5.5738962756076465e-06,0.0,0.0,0.00033162507020719785,0.0008936031010189089,0.00044498904716423776,0.0011986936576960914,0.0,1.117851352895616e-06,-6.658930563901001e-05,-0.00013183486913716008,-8.935244747669004e-05,-0.00017712847996719005,0.0,6.631013349659257e-07,-0.007098651998103645,-0.004625676604477681,-0.007098651998110423,-0.004649975612885752,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,6.152137969789872e-05,0.00016016189693464464,8.255208243121065e-05,0.00021505385590974338,0.0,3.6610750587242995e-06
17,-1.5790725680656881e-06,-3.3725932691513874e-06,-2.1188687484586187e-06,-4.529762661733332e-06,0.0,0.0,0.00022072052410726224,0.0006468706740589134,0.00029617246865779333,0.0008677439627755532,0.0,7.472595167710425e-07,-4.724159951279003e-05,-0.00010644228504069005,-6.339084780466e-05,-0.00014282892113264987,0.0,0.0,-0.007154171885249401,-0.005213705620614098,-0.007154171885256573,-0.005220160388375966,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,4.614149285178203e-05,0.0001256170133168045,6.191467649301393e-05,0.00016867730529771744,0.0,3.3566178083815104e-06
