Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-1.9530186801149288e-05,-2.2516602451212384e-05,-4.857457616372489e-05,-3.682296177746162e-05,8.445108259766186e-05,3.477059499672847e-05,0.2373750658385037,0.21448693347310552,0.25993290985985085,0.23684461562210904,0.1711400657806292,0.14883965454734432,-0.0003449822510641076,-0.0005114068453379028,-0.001344658073703875,-0.001189698740861611,0.002590295078974486,0.0014802136170058433,-8.227564564189105e-05,-0.00010497890051673351,-0.00018687351359208441,-0.00015547307960005937,0.0004934617864756051,0.00023361109713989768,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0024954023383527875,0.001874094393122109,0.0028072751024166938,0.002082902726834071,0.004793618754590736,0.003584063500794005
2,-3.5093961290329616e-05,-2.8902169416220387e-05,-7.211787667142519e-05,-5.7175511198458734e-05,5.566628855409577e-05,4.6069779993148035e-05,0.11959551506710772,0.12111172376685576,0.13606904122810307,0.13802035195911116,0.07122546670635291,0.0714641161216935,-0.0010886265662013173,-0.0009236881248465972,-0.002063940711211687,-0.001894293258683094,0.0017751192948868705,0.0019262310001812305,-0.00029343877377540126,-0.00023864055862880836,-0.0005300094424162834,-0.0004142542051725611,0.0007815503516964762,0.0006446561224474893,False,False,True,True,False,False,no trend,no trend,decreasing,decreasing,no trend,no trend,0.0024716729199929445,0.0018719539143570193,0.0030036826794785005,0.002355352516247093,0.0035217016568104592,0.0028744046422097902
3,-4.746004347228496e-05,-3.4170679978669325e-05,-7.845536648848957e-05,-6.250479342505012e-05,2.4498121278297594e-05,4.326081563882706e-05,0.06468752650985632,0.07490131703814502,0.07658858948277959,0.08712445170911212,0.029743278027847944,0.03901139223536831,-0.0014410512890877664,-0.0011330318021998131,-0.002273934804333508,-0.002073918161148172,0.0010044855994685957,0.0016296261885382357,-0.0007336815307825003,-0.0004562093342266226,-0.0010243740878153882,-0.000717419647399777,0.0008236523645900955,0.001108927755713526,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0019367630128797712,0.0016871890859558644,0.0024909981279301226,0.00220171333805023,0.0022113272237970143,0.002147184936583743
4,-4.3973066638088704e-05,-3.605935196915454e-05,-6.596638927197677e-05,-5.963899894787439e-05,1.153050715130554e-05,3.124658790012637e-05,0.038038309048440265,0.04872137736872868,0.04683766127416922,0.05762173858335018,0.012201394198383187,0.022587876977127278,-0.0012794474073729509,-0.0011445752031047918,-0.001874407999548272,-0.001928198766965629,0.0004674932497160389,0.0011563231783431986,-0.0011560205418724256,-0.0007401135582898949,-0.0014084048493761359,-0.0010350086688482375,0.0009450155419807232,0.0013833344289844946,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0014667266903969011,0.0014836611176078332,0.0019423544379889278,0.0019469808141232502,0.0012321690818945413,0.001541793908665054
5,-3.624882471187914e-05,-3.088783197337235e-05,-4.981281913913977e-05,-5.217525443854793e-05,2.0066255540921116e-06,2.6864691244009534e-05,0.02408317764747059,0.03257179388656336,0.03062218407528761,0.03907632765667755,0.004883156106624949,0.013472991969489437,-0.0010876818917179912,-0.0010448558587038068,-0.0014876191354779612,-0.0016829885531073271,8.662551720460022e-05,0.000828847985101161,-0.0015051512405252006,-0.0009482999948036118,-0.0016266906049767751,-0.001335213863926949,0.00041092799621329627,0.0019939662477975618,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.001106431688924501,0.0012738955182580195,0.001493415917427286,0.0016753027813786858,0.000612496756044237,0.0010991220056605045
6,-2.6092209141911458e-05,-2.9044344395830873e-05,-3.455506420606833e-05,-4.662289447913322e-05,-8.955710039834301e-07,1.9769720486217298e-05,0.01609182206852677,0.022072510372064726,0.020926943219030103,0.026828794509574146,0.0018947982137491558,0.008106970056018585,-0.0008694647212396014,-0.000900956551588266,-0.0011547813534098922,-0.0013966399450067897,-3.170969773533998e-05,0.0005544834967023708,-0.0016214577212448783,-0.00131586049372027,-0.0016512236806111927,-0.0017377931186023038,-0.0004726471650041311,0.002438607809034687,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0008615604232331707,0.0010488625413348498,0.0011643612689561068,0.0013796434059996374,0.00030663822938774884,0.0008115460299876752
7,-1.881296873476911e-05,-2.2509305698333486e-05,-2.639873740459738e-05,-3.430835759019172e-05,-8.794174801208317e-07,1.2739825373031353e-05,0.011139110835586222,0.015063566745257818,0.014690073721395915,0.01854442972756619,0.0007126699609821977,0.0048429552534651294,-0.0006510961133337993,-0.0006835896421904242,-0.0008635732485433104,-0.001036891729683631,-2.7214546922609863e-05,0.0003537862596649597,-0.0016889111718564774,-0.0014942879119528363,-0.0017970459444426026,-0.0018500626923669992,-0.0012339757928183524,0.002630589114759221,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006809845867894495,0.0008547343535705052,0.0009169345792398052,0.0011240605014646954,0.00014833231926417848,0.000598245469520363
8,-1.5172531070848457e-05,-1.726869330688305e-05,-2.0098494153653733e-05,-2.658797286084264e-05,-1.3334642290481479e-06,6.720326998062594e-06,0.007854405329871673,0.010295989076808554,0.010442629243466449,0.012826162552719008,0.0002547867269363644,0.0028668198634400595,-0.0005334079306347989,-0.0005376269659155882,-0.0006980653908451318,-0.0007975306295613088,-4.9935889767789993e-05,0.00022550975762615022,-0.0019317224453829337,-0.0016772252940497312,-0.0019246584059496882,-0.0020729483780950737,-0.005233648726847511,0.002344174841176973,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0005466174014112117,0.0006942460947984265,0.0007328080128566,0.0009150828573760057,7.731286440840138e-05,0.0004204445529350212
9,-1.1298350912466788e-05,-1.3015113340242175e-05,-1.4839827800702607e-05,-1.968329423480237e-05,-9.987141562045012e-07,4.248245702635211e-06,0.005575677555280043,0.007048402868101073,0.00744495988705327,0.008876904578691253,8.703621012243937e-05,0.0016795027732092978,-0.0003974745484284503,-0.0003941905524265706,-0.0005206589289642322,-0.0005783640847132083,-3.5776974662359424e-05,0.00014658514892689997,-0.002026363755875284,-0.0018465336876733619,-0.001993271693311465,-0.002217360123713793,-0.011474697195564312,0.00252946632205757,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,decreasing,no trend,0.000430589222957971,0.0005588914952985876,0.0005773937431345542,0.0007393013368169654,3.731851453402352e-05,0.0002982739883914691
10,-9.201071170113865e-06,-1.0449583297208629e-05,-1.170109811080839e-05,-1.4657172616881586e-05,-3.896984584340103e-07,1.6839914073898378e-06,0.0039616463398755575,0.004826785444585987,0.005301125364125826,0.0061403159455635506,2.8628930730485335e-05,0.000969958846887349,-0.00029828812150105126,-0.00028296770934603966,-0.0003940108245067495,-0.0004053030901350115,-1.7224326879386785e-05,7.623700658198002e-05,-0.0023225372435447854,-0.0021649156394406366,-0.0022072856812617447,-0.0023870388342918354,-0.013612050764405335,0.001736147273457898,True,True,True,True,True,False,decreasing,decreasing,decreasing,decreasing,decreasing,no trend,0.0003357468109013508,0.00044583822957729,0.0004497204895147938,0.0005910245480353045,1.8035875703738137e-05,0.00020587089829051316
