Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-5.8709164922672656e-05,-6.993854121590848e-05,-0.0001159714580235606,-0.0001034432056847701,0.0001305947253759193,3.0695227996946426e-05,0.2448141208918407,0.22134595373230745,0.26794170972396747,0.24480756864720266,0.18253632976127937,0.1572026108900605,-0.0030625723981183572,-0.002697294618804691,-0.004992195847433212,-0.0036784513401569574,0.0026614884356840063,0.00018375218870511634,-0.0002398111869887214,-0.00031596936847777724,-0.00043282346053189684,-0.00042254905049052743,0.0007154451146613432,0.00019525902161009976,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0025144317819323692,0.001698439984308966,0.002710985581948259,0.0019661818110662766,0.0053463690782513725,0.0032837988580236856
2,-8.302000307184515e-05,-8.27746565810397e-05,-0.00013585671595321404,-0.00012645652759121317,6.919873735219418e-05,5.724886784982254e-05,0.13029939479991678,0.1304386399802655,0.1496755584692813,0.1496226899335266,0.07649069343099384,0.07717942587822044,-0.0036814944373803338,-0.0034295989144164096,-0.005426047324596395,-0.005019326075721836,0.0014407774944409923,0.0012147149398388096,-0.0006371480328003654,-0.0006345869336997301,-0.0009076746887909333,-0.0008451694569011857,0.0009046687152159484,0.000741763328741965,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0021344716378258037,0.0018543282493238347,0.002691904559594157,0.002380754285598275,0.003890722066418781,0.0031870341762001977
3,-7.530481901230494e-05,-6.980345610134726e-05,-0.00012064899529012308,-0.00011441963569990351,3.504424620877465e-05,5.2252326632747854e-05,0.07474348036096455,0.0838227390886063,0.08972593232909848,0.09826569440593413,0.03230014603884861,0.043308324053523375,-0.0033444476695617675,-0.0031914392621998078,-0.004725683238434988,-0.004739211287691711,0.0006909945778308876,0.0013470348627148757,-0.0010075102022093362,-0.0008327508365905378,-0.0013446390821285023,-0.0011643904456344416,0.0010849562774925417,0.0012065192494673973,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0017516428263011402,0.0017965693588252066,0.0023303367809847913,0.002373418347047284,0.0023946905090928604,0.0027404978883919873
4,-6.826288753794603e-05,-5.7638480832013196e-05,-0.0001042958300103682,-9.399408998756373e-05,1.583692172969531e-05,4.214791902756157e-05,0.045777889105804416,0.056345106370354586,0.057239175835458116,0.06727791861601047,0.012918718621073135,0.025437400435736807,-0.0029869758761565113,-0.0027699317691370143,-0.004114681639882371,-0.0041192002188332605,0.0002983855233096959,0.0011876262042897837,-0.0014911759557146252,-0.0010229545127336756,-0.001822105725459446,-0.001397101633361105,0.0012258895169263906,0.0016569271350679485,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.001444818172766619,0.0016048057673092272,0.0019792182790522098,0.0021530816662833413,0.0013224658382594006,0.0021315073737543885
5,-5.7884920423888186e-05,-4.725608020553131e-05,-8.225188678340185e-05,-7.7627198477733e-05,3.4379499837598033e-06,3.801033664522595e-05,0.029926018630079328,0.03898468976664387,0.03860181914622521,0.04739434825259721,0.004889954307917244,0.015060296750506966,-0.0024587636338211684,-0.0023170727476575365,-0.0033260585210881377,-0.0034593296637848783,6.23745285926805e-05,0.0010350837377062598,-0.0019342673390474576,-0.0012121702260143319,-0.0021307774763626676,-0.001637899904520346,0.0007030638258098803,0.002523877004212844,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0011677414459322127,0.0013471129973291686,0.0015885928689345526,0.0018283056484542986,0.00064747883568854,0.0015901536278514325
6,-4.771265748819363e-05,-3.842570933919811e-05,-6.376164811380759e-05,-6.438449873410036e-05,2.2024181804781727e-06,2.8973438446130322e-05,0.020687417304339126,0.027481634544815472,0.02721222092201598,0.03398978185376488,0.0017959029314489113,0.008874197625384543,-0.0019985324437361597,-0.0019510070321651814,-0.0026850277717105006,-0.00289863172205259,-4.762858842360246e-06,0.0008289762998511998,-0.0023063612429854176,-0.0013982323095278655,-0.002343125476473748,-0.0018942310077511959,0.0012263570273819255,0.0032649079577912626,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0009689992127250106,0.0011280898124483795,0.0013070658240729824,0.0015306565963496116,0.0002987654040920207,0.0011257797621012737
7,-3.3972224492729506e-05,-3.119312067737388e-05,-4.678536794283483e-05,-5.0320327879092535e-05,1.1441581282178153e-06,2.154817434092585e-05,0.014888687570102765,0.019656717497520522,0.019798658940726833,0.024684696721873494,0.00064927804391418,0.0052269861927503845,-0.001603376656903209,-0.001638271842778729,-0.0021578014227239123,-0.0023964138109087985,7.191567533330152e-06,0.0005831732725567716,-0.0022817474228519273,-0.0015868936754729547,-0.0023630574213587257,-0.0020385232375370005,0.0017622005532795244,0.004122485414408074,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0008072981138697557,0.0009430502071910057,0.0010845110302438584,0.0012779958512361112,0.00015068182118986687,0.0007896076694139022
8,-2.8472330633581966e-05,-2.8128789576928226e-05,-3.716935357064168e-05,-4.339428326669393e-05,-4.974169448502103e-07,1.5258851522360394e-05,0.011009105012876575,0.014192633059725308,0.014721673432179545,0.018064120616552652,0.00023371908421361114,0.0030494257384731044,-0.0013078989585888611,-0.0013811313758409806,-0.0017487167292086735,-0.00200221983439635,-2.8490849673330006e-05,0.00043738679790849937,-0.002586252978809802,-0.0019819288963899024,-0.0025248049239697578,-0.0024022361335945992,-0.0021282684147246977,0.005003844274627504,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0006864522420910303,0.0007853191988759801,0.0009194984530392886,0.0010682789301491584,7.217097158365722e-05,0.0005397954221291483
9,-2.2607892584550043e-05,-2.3565509967576633e-05,-3.0038415585273344e-05,-3.4630446482947685e-05,-2.845108261540959e-07,1.0111681912318669e-05,0.008286777550022113,0.010323471434938556,0.011109382150360437,0.013293884853792428,9.156107829482212e-05,0.0017543114012236222,-0.00107815537260382,-0.0011530371245799895,-0.0014433424721978297,-0.0016361413280556007,-1.8069814806905465e-05,0.00025875711239051994,-0.0027281886653865487,-0.002282711790902233,-0.0027038781436012414,-0.0026049907054120787,-0.003107333721409278,0.005763903663435026,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0005881022121529337,0.0006763460802456432,0.0007878090152595112,0.0009134373660680384,3.663227539336651e-05,0.00036466513983839316
10,-1.8623799437179935e-05,-2.069056410303026e-05,-2.5372667995920528e-05,-2.9198389380887126e-05,-2.684338841890472e-07,5.537308179317259e-06,0.006295379130465383,0.00753965630548654,0.00844968758405777,0.009808256798126374,3.949759866081424e-05,0.0009832386301073712,-0.0008769192901435302,-0.0010099610076490084,-0.0011743925461574298,-0.0013989861800123415,-1.3351731060268997e-05,0.00012409628857915013,-0.002958328490027443,-0.0027442317348038694,-0.0030027936232567645,-0.0029769193427383305,-0.006796207700985169,0.00563170324045606,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0005078951214572468,0.0005851183885138433,0.0006809905841013038,0.0007826131531065054,1.9478627997300625e-05,0.00024630769933866415
