year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.006546636428004811,0.008527376709438638,0.008784120534461332,0.011169135438114833,4.95041148272198e-05,0.0008838086729513009
1971,0.006845576267430397,0.0074799912944341984,0.00918087719846315,0.009817070277706768,6.484548068176426e-05,0.0007157712340024955
1972,0.00752385863857371,0.008629630893685469,0.010104423091202092,0.011199567570343866,2.9584922885108442e-05,0.0012053781666558256
1973,0.00630264261099661,0.0073377412647896495,0.008460158708088373,0.009557984266456062,3.737374505082366e-05,0.0009196610368490465
1974,0.006163928591881678,0.007917315438212462,0.008273373829424084,0.010335502081972706,3.8312988470488724e-05,0.000924467220665148
1975,0.007014113285847293,0.008189221229089374,0.009414454584848575,0.010731506152836235,4.3770748684489766e-05,0.0008328793326710156
1976,0.007455725938626043,0.0087255665453562,0.009994817557879126,0.01135818523583724,8.371260890045384e-05,0.0011162870479889916
1977,0.00701166381134399,0.008090987692296034,0.009421473842484554,0.010632737452464918,1.2787603760005458e-05,0.0007328699831112879
1978,0.0061805489880369414,0.007605116903990278,0.008297229152328748,0.009862172662040557,3.376817644855154e-05,0.0010856408287892687
1979,0.007212939212699862,0.008518326758615021,0.009673744149016863,0.011089303624968405,6.777927716706166e-05,0.001087114760210194
1980,0.006256084606067497,0.007315453229928448,0.008398762582057902,0.009477071500163832,3.3793912612571864e-05,0.0010727463133302665
1981,0.006035321500672483,0.007287126861178498,0.008095477547456615,0.009520581152827109,5.336784092246601e-05,0.0008276091711349264
1982,0.005865419419366145,0.0072820420502153526,0.007872097514586875,0.009610284080508557,3.8290610289483745e-05,0.0005375545391554949
1983,0.0064080620398843085,0.007239172708592644,0.008603168077326384,0.009578999383659036,3.348351493192545e-05,0.00045840186059635497
1984,0.006462587765922393,0.007805121662895084,0.008672558658378142,0.01019747240367595,4.522520012560527e-05,0.0008860341420292229
1985,0.006528050101100945,0.007806699172949053,0.008770557990820306,0.010316243108736007,1.5183348737585905e-05,0.0005355529663694876
1986,0.005686052919356667,0.007074263405340168,0.007639140590317651,0.009195098196594923,1.3760880876374388e-05,0.0009457845708251854
1987,0.006686660145887495,0.007783296651495954,0.008979341206355492,0.010100340025575645,2.8508963978891474e-05,0.0010897222329638188
1988,0.006584276958328464,0.008619467495015926,0.008835721886897636,0.011246262697148672,4.649519275688693e-05,0.0010240302961210205
1989,0.005892502251424535,0.006960406458081775,0.007900313683548706,0.008963579782440263,6.290116458221324e-05,0.0011815256937399935
1990,0.006255837286981919,0.00789385969471952,0.008405385444251103,0.010270009328519377,1.2896258913279029e-05,0.0010265058974575194
1991,0.006342853474235388,0.007661231905357599,0.008510151094678902,0.010022684241090745,4.9580612838177886e-05,0.0008300238352256944
1992,0.0060754482348472074,0.006921972477923515,0.008149022378884338,0.009040823645268191,5.456140710448912e-05,0.0007942077509835812
1993,0.006378912048642828,0.0076393865467690655,0.008566630311737326,0.010022872537877474,2.5526377612934197e-05,0.0007412247354876689
1994,0.006081829264486649,0.007006824416583269,0.008140554313225528,0.00909123162534193,0.00010577711278192859,0.0009854711459301784
1995,0.006093822988224369,0.007465202901236909,0.008180748283826818,0.009591630313405427,3.345486841270966e-05,0.0013333869978427932
1996,0.005989620731417609,0.007396937112032377,0.008031636107075725,0.009560990850859426,6.0597454990107544e-05,0.0011497194869638635
1997,0.005468850469089576,0.006946777773628739,0.007342865069882871,0.008919401108467173,2.665583855614647e-05,0.0012592165832689955
1998,0.0062942968140475225,0.007603956722356052,0.008452295557670277,0.009948689672154117,2.7290333379474185e-05,0.000821010019845326
1999,0.005851855118782385,0.007077958216097627,0.007852042960548226,0.009236695529437651,4.375937826429263e-05,0.0008357265617805781
2000,0.006406494938680158,0.007770618714112867,0.008595052612902577,0.010032119683323385,5.153733003224759e-05,0.0012434876252694876
2001,0.006539806130662447,0.007993981090881019,0.008781005274475881,0.010294522592803642,3.127651980406533e-05,0.0013572446103772414
2002,0.006977048200249735,0.008020777577315326,0.009372579738970058,0.010532511959678853,1.9880097921535205e-05,0.0007504241770305163
2003,0.0064846919669297575,0.007828893754496954,0.008703863219036849,0.010083923164139332,4.0447842421130406e-05,0.0013232141359273352
2004,0.005899600850208721,0.006940165764368429,0.007919549342870143,0.009001049606632281,3.377785374090298e-05,0.0009871935515971613
2005,0.006838408009115515,0.00805486851128616,0.009177972604268248,0.010529112055077209,4.461990580122342e-05,0.0008983325691465474
2006,0.005479469369390334,0.00702247455682161,0.007361846687718736,0.008976737792504961,1.2514298115285834e-05,0.0013926846767470182
2007,0.005418760021386984,0.0063366160670697315,0.007278918544159582,0.008274308057303814,1.6471285985675376e-05,0.0007329903611549726
2008,0.005706308913946059,0.0062029624068666665,0.007662302320679483,0.008134360120732417,2.598417715354168e-05,0.0006136443639569106
2009,0.0058210280776380035,0.0069014852746545965,0.007814669183706009,0.008906381390148502,3.154047941782564e-05,0.001115398703799552
2010,0.005785465199286311,0.007202842379433607,0.007769437617375825,0.009158664421342333,2.3802680668830056e-05,0.0015745819115507511
2011,0.005575320583995675,0.006929593812233243,0.0074849303797056765,0.008992200263981946,2.9845802220797136e-05,0.0009710817699729728
2012,0.006490681652781171,0.007514812258247358,0.008706606283390443,0.009775249645126976,5.639849065052561e-05,0.0009820652821575229
2013,0.0064296594448213455,0.007809120682185879,0.008622224289422825,0.010085202502411163,6.346000674221733e-05,0.001239506904968838
2014,0.005943339599644593,0.0069468887046183255,0.007981839276195696,0.008931086713988864,2.328522951735513e-05,0.0012245546262308821
