Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-8.778627755199074e-05,-7.080454469129827e-05,-0.00013649878643023602,-0.00010504737898116086,7.580013528288103e-05,4.042119791052084e-05,0.25747703526336646,0.23381770571740737,0.2801479452660439,0.25375952604546304,0.1906464338908362,0.1750320705210472,-0.0042289585414784225,-0.0029701249127345453,-0.005762535866370211,-0.00413309376996196,0.00029180815300719476,0.0004581410058743518,-0.0003409479896418586,-0.00030281943137733464,-0.0004872382208643695,-0.0004139642779847437,0.0003975953482889906,0.000230935952423989,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00275581121257158,0.00189301380451606,0.003213435495191471,0.0022882234247566997,0.004034257299048675,0.0027146939773266673
2,-9.920177693847818e-05,-7.074701244243419e-05,-0.00015151335127369227,-0.00010844433727488342,4.4579925136313254e-05,4.6462621272302216e-05,0.13454489100504544,0.13550584911854668,0.15561659371438052,0.15386763138062395,0.07242852409071666,0.08137794023879008,-0.004852687013568641,-0.003445783171863087,-0.00630050121624251,-0.0047658698119580345,-0.0005847377416181854,0.000445643507126392,-0.0007373135924927697,-0.0005220956357429374,-0.0009736323592314367,-0.0007047898008296725,0.0006155023272388781,0.0005709486027290117,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0027145061555941545,0.002241609088529622,0.003416053836354998,0.0027745981790966213,0.0027113510556511134,0.0023490962898464686
3,-8.005072648069766e-05,-5.749313001575066e-05,-0.00011675775713501894,-9.079750211502305e-05,2.368384830232919e-05,3.281177893671798e-05,0.07645058219021865,0.08618369029982845,0.09224355743319652,0.10075352333079962,0.0298951491341549,0.043233905609131644,-0.003720043182910346,-0.003331139497756555,-0.004965559459052735,-0.004437250660408787,-4.8439275346024574e-05,-7.048193367170663e-05,-0.0010470911298166624,-0.0006670998864835695,-0.0012657551419737447,-0.0009011843865440974,0.0007922304784648369,0.0007589362671363108,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.002225858709775976,0.0021739096850485295,0.0029025852014934917,0.0026950360567386117,0.0019070124541658412,0.0018771275212719999
4,-5.846681609903933e-05,-5.344995261967437e-05,-8.739482481480345e-05,-8.261851314606488e-05,1.9155056576368968e-05,3.19303275506758e-05,0.04616976554393318,0.057547738534927326,0.05763920007783278,0.06872529434513709,0.012359512351059417,0.02459790208887734,-0.0027360812266731815,-0.0028946231588425353,-0.003669995080529717,-0.003876585159798829,1.6963290551673046e-05,6.042647147236346e-08,-0.001266344227877978,-0.0009287932763375941,-0.0015162393769655082,-0.0012021558282625364,0.001549823005332978,0.0012980914972059356,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0017603712097120005,0.0019293355890460933,0.0023242251552627363,0.0024312350419159476,0.0012852875248252709,0.0014829507355465861
5,-4.0979865583160366e-05,-4.6465561824258973e-05,-5.834404599251715e-05,-7.049507501383478e-05,9.724571753410732e-06,2.117525290646129e-05,0.02939122831094816,0.03942617501939133,0.037602231379629265,0.047894265392218076,0.005186365211635298,0.014463455303856726,-0.0019742177895628217,-0.0024061151602628728,-0.0026210970203491765,-0.003211509678942369,-6.731030310796072e-05,-3.1927268416716975e-05,-0.001394288974574617,-0.0011785460243456383,-0.0015516112701791577,-0.001471889681082548,0.0018750264118682274,0.0014640521550071677,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0013430438775557897,0.0016552387644666016,0.0017825086449322959,0.00212671648833914,0.000779259161725405,0.0011142037165428266
6,-3.0624715698928186e-05,-3.828711716132986e-05,-4.176254995708119e-05,-5.398454923295858e-05,3.962522514840294e-06,1.540724541102864e-05,0.019502739294813127,0.02737033748069159,0.025363630004388744,0.03372725347884709,0.002225671428840553,0.008631057981932234,-0.0014527268286526791,-0.001930335732083198,-0.001932421602066508,-0.002597957333681254,-3.8655219761899937e-05,3.771729793721791e-05,-0.0015702776536152035,-0.0013988544053700294,-0.001646552561674133,-0.0016006209716073196,0.0017803717401829345,0.0017850934894981926,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.001036859510364886,0.0013924742048345407,0.0013861055314976988,0.0018260778700913457,0.00044968869833689104,0.0008372812170720197
7,-2.225165846439198e-05,-2.918352822217048e-05,-3.226861342967128e-05,-4.308663625295565e-05,2.4595826330632286e-06,1.1230718782144857e-05,0.013356640802908526,0.01912911836329921,0.01755782220078489,0.023885332020535884,0.0009721586951322355,0.005108480509246139,-0.0011006847383993011,-0.0015226990290026013,-0.0014829553509039493,-0.002058932306722109,2.6194373101370112e-05,5.80400071333604e-05,-0.001665962182613048,-0.0015256075929856487,-0.001837848285548123,-0.0018038952197068504,0.002530021739638578,0.00219844604708146,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0008168298515633728,0.0011536794446371423,0.0010981425522663916,0.001531256062568898,0.0002597137553871398,0.0005943884274437739
8,-1.9450745761903415e-05,-2.321937676277084e-05,-2.617311129791363e-05,-3.276125974648161e-05,1.3149319718837886e-06,8.404103723252182e-06,0.00934593549358401,0.01338358827650139,0.012374567678637554,0.016921958803558644,0.00041796082298524884,0.0029529778522111483,-0.0008950748741283002,-0.0011974362029438298,-0.0012026734556073691,-0.001634531510229499,1.1681765951749982e-05,9.105827035082005e-05,-0.002081198374978766,-0.001734914156283402,-0.0021150727829544105,-0.0019360205356126975,0.0031460651323537963,0.002845975873797803,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006545406143567502,0.0009524342649773907,0.0008791285587664651,0.0012653713992821906,0.0001388839270662742,0.0004215010294061715
9,-1.6485392680761865e-05,-1.8738280542986258e-05,-2.173285220313588e-05,-2.7839553427837912e-05,9.707586196389157e-07,4.463586746170871e-06,0.006647588253245994,0.009381968081933126,0.008842761378221355,0.011998802829424941,0.0001765317300806577,0.0016679133815810934,-0.0007159629476152993,-0.0009327504288946711,-0.0009624890857409512,-0.0012588709352348397,1.0760861135130094e-05,2.8606197550970188e-05,-0.002479905802335472,-0.0019972654329394493,-0.0024576997245070132,-0.0023201942580110017,0.005499060249369188,0.0026761502098745847,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.000536707122437952,0.0007635475743475454,0.0007209840559549614,0.001016270747329278,7.457321436137475e-05,0.0002735716126754718
10,-1.3297256673673697e-05,-1.529661686435498e-05,-1.7131136047598333e-05,-2.1126734152583473e-05,4.2688240116787674e-07,2.2799761661971443e-06,0.004779102539636531,0.006570249893880629,0.006375452485306959,0.008493444953195217,7.329113384999843e-05,0.0009009458229150933,-0.0005501161603902608,-0.0007428071339810882,-0.0007365926148264297,-0.0009940562772640703,-4.1023370642971505e-07,-2.1605812863799987e-06,-0.0027823752604992243,-0.002328163633258741,-0.002687046305666808,-0.0024874163862845357,0.005824475332057997,0.0025306473577068945,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.00043746920985840974,0.0006058645553770103,0.000586661744293873,0.0008074073035145861,4.0588268216114756e-05,0.00017173864218612074
