Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,4.9708076595162476e-05,3.829215288490884e-05,1.1042046141894776e-05,1.8227765735045948e-05,0.0001288538638887405,0.00010755233847437951,0.25031808670498135,0.2305807483934332,0.2712214260235087,0.2514072519315588,0.18856816762454642,0.1690578075555647,0.0006564898543687248,0.000867446370085373,0.00016743936316870878,9.008355025236225e-05,0.002101179040037815,0.0031638302391585604,0.00019857964420184776,0.0001660682999413813,4.071229291795584e-05,7.250294331210516e-05,0.0006833277615832719,0.0006361867578285609,False,False,False,False,False,True,no trend,no trend,no trend,no trend,no trend,increasing,0.0030005289500178826,0.002258928878369457,0.003113713238903983,0.0023619021256710004,0.005251892169821985,0.003776662809975777
2,4.5740935836948664e-05,2.641120758585502e-05,2.551213000229526e-05,1.1608308686393005e-05,7.69151845175407e-05,7.386091985905098e-05,0.12458287918791018,0.1267978176694188,0.14245039322345088,0.14380174017274044,0.07180099926668329,0.07656704723459853,0.000916813695183108,0.0004980370764716135,0.0005801786456674785,-2.725237907230671e-05,0.0019112570590143624,0.002049778684803674,0.0003671526628306362,0.0002082938655514802,0.00017909483733243449,8.072439646730726e-05,0.0010712272155414201,0.0009646567619715557,False,False,False,False,False,True,no trend,no trend,no trend,no trend,no trend,increasing,0.0023652631141129836,0.0020827866376810006,0.0026207025172868045,0.002363432935573582,0.003592345589069102,0.002995274489923995
3,2.3772267735327115e-05,1.3802515091215707e-05,5.381225211048493e-06,-1.3200991226568258e-06,6.0577165923728166e-05,4.699399767085288e-05,0.06674464790502745,0.07558478684763743,0.07898923349519002,0.0872167200565936,0.030573289929900542,0.041223246643128715,0.0005918364994463299,6.724798817898947e-05,0.00021604859322979508,-0.00027024205172926363,0.0017019401267510392,0.0010642170531319425,0.0003561674004056961,0.00018260969788852602,6.81260593746131e-05,-1.5135849201852966e-05,0.0019813754444687345,0.0011399877859616877,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0018163841009524282,0.0017408205765512938,0.002203002667259276,0.002133342906956944,0.0021752221131032864,0.0022474489895271056
4,2.34842208098639e-06,-2.0371579528085934e-06,-1.3125583017499233e-05,-7.5879055067447665e-06,3.773413164614652e-05,2.7453563885395188e-05,0.03715237081405413,0.04663919570142153,0.04530793114125974,0.05439648412379501,0.013060278034687116,0.023723625846006527,0.00019293740566844048,-0.00028363648798920144,-0.00015251474421269784,-0.0005069317007390245,0.0012134270975912784,0.00037599311033666843,6.321055775256261e-05,-4.367909699494458e-05,-0.000289697249176456,-0.00013949257252502352,0.0028892288162570127,0.0011572246191876498,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0014399029960748368,0.001464351641269202,0.0018398163465596239,0.0018595174147353164,0.0011897763600983544,0.001695245115597633
5,-1.0733641123587339e-05,-7.182534040143364e-06,-2.06219027867617e-05,-1.3230677771846582e-05,1.9842822925985826e-05,2.079784921855294e-05,0.02137539986758179,0.02932593687561075,0.026772397107474595,0.03451435150691842,0.0054322944257958455,0.013998998975548745,-0.00022330915700551415,-0.000366582944114624,-0.0005200343695555346,-0.0005939449595941254,0.0006532377709702192,0.000305060272497288,-0.0005021492552224072,-0.00024492087228479304,-0.000770267328098322,-0.00038333844311675634,0.003652751741834906,0.0014856668862451778,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.0011085063616028748,0.0011687635684735234,0.0014454568338555943,0.0015052165622941598,0.0006678251189479533,0.0012353259142591922
6,-1.4218408298071004e-05,-6.699919109037351e-06,-2.20536381142172e-05,-1.4995751008917216e-05,8.317378126655708e-06,1.595584957106807e-05,0.012639190282830736,0.01860878357346475,0.016187110571286877,0.02208702713969448,0.0021583868390566063,0.008333810016184336,-0.00039429333537724896,-0.00039229831712031885,-0.0006206722862495684,-0.0006073495492881706,0.00027444583997022955,0.0002429779888401904,-0.0011249461381545541,-0.0003600406809282859,-0.001362419686768343,-0.0006789393119351528,0.003853515957450468,0.0019145924301227964,False,False,False,False,True,False,no trend,no trend,no trend,no trend,increasing,no trend,0.000841663251969968,0.0009420360480258222,0.001111574741304906,0.001224173468043372,0.0003493474028579768,0.0009211296616901566
7,-1.5845196103398282e-05,-5.6040255050647156e-06,-2.2595960994667292e-05,-1.1165911002362223e-05,4.207861744450761e-06,1.3736712552493106e-05,0.007660259035717759,0.011843838820332207,0.009979405211876662,0.014182746433670578,0.0008093398341821667,0.0049345429581038195,-0.00044833417045624015,-0.0003290659758416817,-0.0006375622754946891,-0.0005414223384646397,0.00011065882084601,0.0002982494979383004,-0.002068493510404326,-0.0004731595549446635,-0.0022642592935073376,-0.0007872883474708234,0.005199128433734862,0.0027837861923835938,True,False,True,False,True,False,decreasing,no trend,decreasing,no trend,increasing,no trend,0.0006252763962660855,0.0007400697163303423,0.0008320624303751181,0.0009624749061185422,0.00017341649459302555,0.0006584148229681197
8,-1.4813268152999993e-05,-6.248364659987916e-06,-2.1167701705873914e-05,-1.2116685133420648e-05,2.013242072633336e-06,1.0120887245335261e-05,0.004729947949594291,0.0075421586819907245,0.006235842576895044,0.009111870781849041,0.00028143042028907556,0.00290511989747848,-0.0003969867271145502,-0.0003089750813012101,-0.0005462711163128509,-0.0004875016460586263,4.4009747778659975e-05,0.00021840481525461962,-0.003131803628889953,-0.0008284583928083947,-0.0033945215012810273,-0.001329769201463791,0.007153605038735343,0.003483810514712236,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.000466211931063729,0.0005637199665606502,0.0006218958834554471,0.0007288230679342979,9.050395344459796e-05,0.00047196481948721546
9,-1.2932975255347069e-05,-8.1095707397719e-06,-1.7582675453447496e-05,-1.1926499407144222e-05,8.414691610951183e-07,7.0723172482029905e-06,0.002959740754749724,0.004784122841452663,0.0039306104470199785,0.005828437449261677,9.172411770468577e-05,0.0016991448126279958,-0.0003687138005163599,-0.00029145215167788053,-0.0005014540075357491,-0.00044550749865946045,2.3410008855120556e-05,0.0001636380645339598,-0.004369631101843135,-0.0016951008593478112,-0.004473268386791658,-0.0020462601702373974,0.009173913929641772,0.004162280457581797,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0003545737369209451,0.0004281693490876791,0.0004740391525032196,0.0005548328488240439,3.85882433531211e-05,0.00032973891266453443
10,-9.896529957548834e-06,-7.723610346991098e-06,-1.3338307006883128e-05,-1.1381707002859816e-05,9.9707585427341e-08,4.127427596839001e-06,0.00187405905095782,0.003006028844201798,0.0024996692074500462,0.0036914352093695714,2.5963110370360033e-05,0.0009812907417679731,-0.0003171415496394294,-0.00026180108364316,-0.00042444671380064943,-0.00038946858826994016,-1.54626980764987e-07,0.00011533760983420014,-0.005280799424378212,-0.0025693733318257555,-0.005336028850189244,-0.0030832742164811286,0.0038403559513874356,0.004206121000798083,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0002763209277746361,0.0003236371883992039,0.0003695484601622971,0.0004214403335356111,1.4947221024715036e-05,0.0002279566787668575
