year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.003003112752202241,0.004125341835641643,0.0037027953925266753,0.0048519387902073675,3.3048564866070686e-05,0.0010410297932812267
1971,0.00286574838376328,0.0034435608877014783,0.0035377422757866296,0.003935582571325135,1.3219425946428277e-05,0.0013549911595088983
1972,0.002677344960996081,0.0032564176884979394,0.003301062334800905,0.00378065063627198,2.9743708379463625e-05,0.0010311152238214054
1973,0.0037107282831974394,0.004537434940958525,0.004579445437098802,0.005332305644115897,2.3133995406249485e-05,0.0011633094832856883
1974,0.003059192700785119,0.003188995727842119,0.003777536426522167,0.003777536426522167,9.914569459821209e-06,0.0006907150057008774
1975,0.00260488210608562,0.003512873183702789,0.003212307356931258,0.004130220680688397,2.6438851892856553e-05,0.0008923112513839087
1976,0.0033647969149727163,0.004412672808156166,0.004143456072125098,0.005231093827246999,5.948741675892724e-05,0.0009385792421964076
1977,0.0038449420927272487,0.004441657950120351,0.004742941448963941,0.00520306593949869,3.3048564866070686e-05,0.0012095774740981872
1978,0.003657798893523711,0.004636362490705852,0.0045093757177280275,0.005528500858354063,4.2963134325891896e-05,0.0008493481170580166
1979,0.00286763871910877,0.0038254086274905168,0.0035416350379738953,0.004487576249479343,6.609712973214138e-06,0.0010145909413883701
1980,0.0036155814041410952,0.0041335332888054336,0.004462662571480845,0.004952372054638809,1.9829138919642414e-05,0.0006576664408348068
1981,0.003107711307986037,0.004121561164950663,0.0038382635166435046,0.004857388657269539,6.609712973214138e-06,0.0009980666589553349
1982,0.003350934455772454,0.004131642953459943,0.0041341134428756615,0.004805225643960184,2.6438851892856553e-05,0.0012723697473437216
1983,0.0028506257009993574,0.0035424884374488036,0.003515164255100492,0.00416447698793633,2.974370837946362e-05,0.0009022258208437298
1984,0.003378029262391148,0.004277828886844527,0.00417226251231086,0.00509562570313017,6.609712973214138e-06,0.000806384982732125
1985,0.0031083414197678664,0.003966553666620458,0.003828142334956615,0.0047234776380276145,5.287770378571311e-05,0.0007535072789464117
1986,0.003422137087119255,0.0036376353165051474,0.0042267611829325735,0.004288266825491364,6.609712973214138e-06,0.0008757869689508733
1987,0.0021675845294955327,0.0033150180842081386,0.0026680992031515804,0.003897433501889936,4.2963134325891896e-05,0.0008427384040848026
1988,0.0032614585827525798,0.004023263726985167,0.004018887682132611,0.004631608450408157,4.626799081249897e-05,0.0014409174281606821
1989,0.0027409862509609204,0.003940719083565424,0.0033812532358585678,0.004594237933410411,2.3133995406249485e-05,0.0011666143397722952
1990,0.0031675719272598957,0.004153066754042168,0.003909111788451732,0.0048963162791421915,1.9829138919642418e-05,0.0009980666589553349
1991,0.002876460284054391,0.0033931519451550706,0.0035509776672233316,0.004013437815070438,1.3219425946428277e-05,0.0007601169919196259
1992,0.0029331703444190997,0.003222391652279114,0.0036155975195319343,0.0038476061458929413,3.635342135267776e-05,0.000568435315696416
1993,0.003701906718251818,0.004218598379352497,0.004565431493224647,0.004983514152136932,3.635342135267776e-05,0.0009716278070624783
1994,0.0038884198056735263,0.004722057693034743,0.004793547357398389,0.005565092822914355,4.626799081249897e-05,0.001143480344366046
1995,0.002570225958084964,0.0038052450504719535,0.0031757153923709647,0.004529618081101808,0.0,0.0007303732835401624
