Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,7.558268095234477e-05,4.280592245084729e-05,3.9985341276191244e-05,7.81779663614063e-06,0.00016827846058710925,0.000136442914467243,0.26977970426887,0.24202764288007236,0.28706935472396733,0.26016161659192366,0.21915828430782275,0.1889341751310135,0.0018851261906382977,0.0011345034325573045,0.0006765652121520915,-0.0002128905989693397,0.005423605641068918,0.005079464569860803,0.00028016444438317334,0.00017686377449066074,0.00013928808707094252,3.0049769595348223e-05,0.0007678398337466024,0.0007221717001311635,True,False,False,False,False,True,increasing,no trend,no trend,no trend,no trend,increasing,0.003504419834799445,0.002270008232934996,0.00288487048232719,0.002002708663283771,0.007024882622556141,0.004754052174998454
2,4.77131766829878e-05,4.4729904271322764e-05,4.598442442405963e-07,6.58961349821941e-06,0.00012288486359314003,0.00014051383883613357,0.13378527704975296,0.13707016875945324,0.14935839914257534,0.1519919818822588,0.08818958640159373,0.09338140994784243,0.0008438333253861785,0.0010033709959729187,4.4402335242083035e-05,4.857317936118877e-06,0.0031844435064340287,0.003926864467632185,0.0003566399661843501,0.0003263285124410989,3.078797355089724e-06,4.335500739324579e-05,0.001393416939654899,0.0015047303196066182,False,False,False,False,True,True,no trend,no trend,no trend,no trend,increasing,increasing,0.0025197747025745526,0.0023536551630208044,0.002435222016084233,0.0022987667726058515,0.0047440180786240665,0.004294138035190766
3,7.208561233598281e-06,1.9017155484900818e-05,-1.8134348173066278e-05,-1.9365859236000387e-06,6.3486004250057e-05,8.624072484508722e-05,0.06893122462032004,0.08246016395292642,0.07996143508341237,0.09293523800675511,0.03663647594618961,0.0517907687457146,0.00019841147094726286,0.0006034975339255927,-0.00023545941183206187,8.417867500909448e-05,0.0014687182491601725,0.0021239827582610893,0.00010457613764014412,0.00023062233414618283,-0.00022678867824407224,-2.0838015430264196e-05,0.0017328632902166422,0.001665175608196068,False,False,False,False,False,True,no trend,no trend,no trend,no trend,no trend,increasing,0.0016939361799626408,0.0020214869366297185,0.0020267230633426426,0.0022534362789894745,0.002622662575852633,0.003129241479751065
4,-9.310721909043316e-06,8.477975829229381e-06,-2.368992729856555e-05,-9.991547536588978e-06,2.881929463461406e-05,4.431261272790243e-05,0.037230640948097346,0.05102277182784505,0.044768003098582386,0.058076832942907025,0.01516241141337506,0.030369572906106996,-0.0001782788781644548,0.00032142788507109193,-0.0004083490048044161,7.032544307215838e-05,0.0004953308360041604,0.0010566169626459662,-0.00025008223527559593,0.00016616062839225506,-0.0005291709627163538,-0.0001720401583607574,0.0019007065465320373,0.0014591121470460863,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0012858794769917638,0.0016664289744683736,0.0017184463114651427,0.002002497919849851,0.0012983488633768014,0.0022680326523780796
5,-1.2907357050650785e-05,-5.633056240280777e-06,-2.3183560861851328e-05,-1.4074608596911818e-05,1.095915057540281e-05,2.510771904795287e-05,0.021331136509384716,0.0321223259897524,0.026492024150670958,0.03680339190719015,0.0062208564409807175,0.018416889648666643,-0.0003171637223586231,0.0001306095885378472,-0.0004788628497098095,3.0778338733605803e-05,0.00015626629025148036,0.00042290003331583656,-0.0006050946720523843,-0.00017536265095117407,-0.0008751147413273124,-0.0003824269413103229,0.001761678746226637,0.0013632985551265782,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0010449298102118197,0.0013312730233297266,0.0014325643736103639,0.001680788547774933,0.0006004372751042874,0.0015893721394695845
6,-1.2256711995953195e-05,-9.811816896955657e-06,-1.8379052479267976e-05,-1.3394306334404001e-05,4.9640950070748835e-06,1.474731653919162e-05,0.012936392003708072,0.02045224011782044,0.016487439959812403,0.023534587119396495,0.0025394733178951334,0.011427605268337162,-0.00032565061012274944,-4.939999297129752e-05,-0.00046451103348594744,-0.00010822941758823965,8.091121281816058e-05,0.000122843455057621,-0.000947459847571096,-0.00047974289566483366,-0.0011147305175373688,-0.0005691328369795286,0.001954773445380958,0.0012904992947255966,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.000831233223531166,0.0010324141840205214,0.0011417056854725028,0.0013411235431856486,0.0002847218350438016,0.0011370160721026058
7,-1.0381922645712213e-05,-8.418156738873728e-06,-1.5134210866291299e-05,-1.4191960727372834e-05,2.600455427151254e-06,9.413379941949409e-06,0.008231919043292811,0.01312696918854668,0.010688275364677039,0.01515732450821081,0.0010400879972172175,0.007182403127260986,-0.0002600167314924396,-0.00016956035066054143,-0.00036247944901190987,-0.0002132225129430291,3.997824338418995e-05,-4.1724298737512953e-05,-0.001261178905078176,-0.0006412871560800642,-0.0014159637874139482,-0.0009363104101706715,0.0025002263597972865,0.0013106170421179363,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0006487850840526411,0.000790033557486834,0.000887242259484248,0.0010538030414750314,0.0001356143740959575,0.0007920361027133634
8,-9.412007972263133e-06,-8.941082579592193e-06,-1.3229467939098152e-05,-1.4300617231406638e-05,9.133198290008696e-07,5.14402530296872e-06,0.0054184382726012136,0.008457156783590563,0.0071246466413690075,0.009797268443704467,0.00042292430308751324,0.00453351730241631,-0.00019718149534143914,-0.0002443850729956492,-0.00027047954545840035,-0.00030829698312147095,1.7423848296570005e-05,-5.7260894204799566e-05,-0.0017370333477555219,-0.001057220861382231,-0.0018568595194997765,-0.0014596535058295698,0.0021595349861270132,0.0011346654175615513,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0005094252349765161,0.0006013595542603247,0.0006908189301670439,0.0008164182765946059,7.414377132166989e-05,0.0005650208064613017
9,-6.808060950892625e-06,-9.070349604822894e-06,-8.698087660699131e-06,-1.2952575491067902e-05,4.068522291654482e-07,2.4930345366897063e-06,0.003647487363951869,0.005464133411075983,0.004834397441011758,0.006353152489575768,0.00017239840117102084,0.0028612231762509153,-0.00013482618099758953,-0.0002501582919114103,-0.00018442366045252033,-0.0003123937200217794,1.0387560773460295e-05,-6.79425929293099e-05,-0.0018665070695451109,-0.0016599795287642483,-0.001799208229532483,-0.002038763513440051,0.0023599536097892635,0.0008713177487805584,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0003980845300709591,0.0004565316603429135,0.0005369903942073437,0.000625072448329433,4.410581915870555e-05,0.0003981275805787181
10,-5.054093227769911e-06,-8.873519852093984e-06,-6.644168493149986e-06,-1.1140566931775946e-05,1.8945907200228278e-07,1.5075752868993284e-06,0.002483739178804262,0.0035247704663350873,0.0033077794427738214,0.004116604452157408,7.10768537011783e-05,0.0017919721763211157,-9.322274260965997e-05,-0.00023488750484223012,-0.00012626237388570997,-0.0002989193070238802,3.512182976469225e-06,-4.741230067220018e-05,-0.0020348727720287786,-0.0025174745240419323,-0.002008649188404881,-0.0027062514898504413,0.0026655523160719475,0.0008412939145039358,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0003077896159330265,0.0003483872495719173,0.0004133295840605947,0.0004754859850060807,2.283306850807344e-05,0.0002789377322326306
