Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-3.298756012831e-06,-2.042233476991392e-05,1.3654755680117164e-05,-1.4774805924537426e-05,-4.906252088962962e-05,-3.925939954191847e-05,0.24417570853819756,0.22219282277431565,0.2669405735279051,0.24581195207381942,0.17768813512359488,0.15321026592630643,-0.0006872054925777249,-0.0014290781132411112,8.443701465560283e-05,-0.0011782176716144122,-0.0029408818430722017,-0.0021617467250257816,-1.350976324622791e-05,-9.191266628201205e-05,5.11527921726359e-05,-6.01061331635348e-05,-0.00027611590867056545,-0.00025624522811547166,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.002740118515998464,0.0020968315668302207,0.0027964509078317293,0.0021558259622563927,0.0044914502790929095,0.003513253213864748
2,-6.913770341157125e-06,-2.6120001233233914e-05,-2.251464709956998e-06,-2.4987752613024144e-05,-1.455147864617641e-05,-5.6124412646805304e-06,0.12691926605020837,0.1287432176475036,0.1448047389513257,0.1459065311426907,0.07468255420915111,0.07861566070547774,-0.000607653112837836,-0.0012029840793236768,-0.0005552865895156744,-0.0012459658190233647,-0.0007605959510855603,-0.0010774506498453518,-5.44737655386542e-05,-0.0002028844836296539,-1.5548280576050756e-05,-0.00017125862987303243,-0.0001948444158112815,-7.139088082852517e-05,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0024870117994760794,0.0021833959245520724,0.0028826160884785406,0.0025553615717647804,0.003098934782854734,0.0026725397307828095
3,-1.6257000856641445e-05,-2.0142079045420208e-05,-1.8251349524307858e-05,-2.2721535744411753e-05,8.060317338478487e-07,-1.2465999117076018e-06,0.06959392719558062,0.07943656572561196,0.08196009305275331,0.09086168477299145,0.03347702684683466,0.046068107719088945,-0.0009919807261918878,-0.001048728586788103,-0.0012474949125913098,-0.0012298379207572596,-0.0002457202834269673,-0.0005197766187536382,-0.0002335979806248641,-0.0002535618057179679,-0.0002226858077450015,-0.0002500672951550389,2.4077160063694876e-05,-2.7059933073636022e-05,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.002094023713300297,0.0020013887971495558,0.002666032742097133,0.002506111850269486,0.001854452337071362,0.001881237353292363
4,-2.562448705308971e-05,-1.2843503822445303e-05,-3.018205135444358e-05,-1.4987715331237218e-05,5.740800621517741e-07,-1.200836702159681e-05,0.03929942239807501,0.0500992101801183,0.047717583533486665,0.05771130587194315,0.014713152865631398,0.02786715339533147,-0.0012081131665606093,-0.0008443454701791142,-0.0015426643002111953,-0.0010127483625897438,-0.000231015649417899,-0.0003525042193110277,-0.000652032154405019,-0.00025636140322911127,-0.0006325142456818414,-0.0002597015455601331,3.901815385149525e-05,-0.00043091473503743474,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.001711602390863381,0.0017272576761042367,0.002254299900046227,0.0022190642883163428,0.0011419227949624278,0.0014055776096047875
5,-2.2963794662654297e-05,-1.3532973367476879e-05,-3.288710323477373e-05,-1.836821220065465e-05,-1.494624810394036e-06,-2.5202545239312963e-06,0.022984922936972272,0.03197144683475023,0.028701948805391838,0.03710651434273973,0.006287649427483613,0.01697385391773735,-0.0011434798210188286,-0.0006846635940323566,-0.0014657559001282003,-0.0008860947646686865,-0.0002022331024794004,-9.635921569629835e-05,-0.0009990807768041725,-0.00042328310749977367,-0.0011458142949720433,-0.0004950131405767187,-0.00023770803821551506,-0.00014847862696035574,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0013085592129186913,0.0014105796353572559,0.0017598981725518263,0.0018433260575749695,0.0006510045779944874,0.0010938840251385146
6,-2.154860066855503e-05,-1.457133864137135e-05,-2.9595354400406012e-05,-1.6003794315955257e-05,-2.2578258888087323e-06,-3.1782653962761357e-06,0.013940140012743242,0.020533752611407816,0.01782159693509171,0.024035197874240428,0.0026038701865466088,0.010307353330100806,-0.0009883572873245327,-0.0005413800550282122,-0.0012837502954211912,-0.0007063841295649118,-0.00012562586674003942,-5.946546759597049e-05,-0.0015457951389911857,-0.0007096286254698539,-0.0016606454802112105,-0.0006658482447156062,-0.0008671038596602164,-0.0003083493205762698,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0009763890003974981,0.001099631864374722,0.0013219670518487521,0.0014697448689465265,0.0003687082983440388,0.0008483318715110265
7,-1.7154851173664163e-05,-1.122982535723612e-05,-2.4079917340990053e-05,-1.5196186226583104e-05,-3.917729297561903e-07,-1.9565966661943983e-06,0.008732238924158574,0.013234199965271887,0.011359023591750386,0.01563680359404126,0.0010603929233223756,0.006217102116186531,-0.0007973842908550709,-0.00043073378694176954,-0.0010547793012535295,-0.0005603194533990684,-4.563067148779989e-05,-5.226299364017011e-05,-0.0019645421206013532,-0.0008485458423406414,-0.0021198932413943002,-0.0009718217751595946,-0.00036946015117557076,-0.0003147120040219868,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0007325921161384648,0.0008388160357312654,0.0009890615287169945,0.0011394425796818705,0.00021385357314326824,0.0006376163949166709
8,-1.4472430402522195e-05,-1.0091178627364989e-05,-1.950495051553566e-05,-1.06231592723e-05,-1.566761392133675e-07,-1.1115213812220876e-07,0.005605968926650262,0.008519571993102866,0.007378721051092006,0.010171277972800121,0.0004284294563743222,0.0036955625981817705,-0.0006261500098480701,-0.00035348372971055926,-0.0008317363559288381,-0.0004661577770129991,-2.5709933253450113e-05,-2.440538923597019e-05,-0.0025816108850909947,-0.0011844701395251356,-0.0026434053246462063,-0.0010444271900451735,-0.0003656988026436686,-3.0077189918767982e-05,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.0005495001459374537,0.0006502591857108201,0.0007394205373978584,0.0008909229862548964,0.00011600303096923157,0.00047699370904457825
9,-1.0684852096900568e-05,-7.267087055445658e-06,-1.4131462344329889e-05,-7.992173161117668e-06,-4.253327281954933e-07,-8.192984220970928e-07,0.0036702049826174334,0.005484017549355973,0.004869293463742289,0.006619069956090171,0.00016812036865474902,0.002168958125270582,-0.0004802882199449396,-0.00027959376049313967,-0.00063836980417099,-0.0003539751602893099,-1.8591612410469977e-05,-6.235378204988993e-05,-0.0029112412378887315,-0.0013251392779184458,-0.002902158690897462,-0.0012074465467409228,-0.002529929785420314,-0.00037773823871997697,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.000410827506230558,0.0005075496433347118,0.0005510584994283757,0.0007019719924875273,6.135929244401152e-05,0.00035360559752903477
10,-8.213221278846369e-06,-6.500815361936719e-06,-1.1073640533020434e-05,-6.124044551287502e-06,-2.900476376067067e-07,-1.5036883479261156e-06,0.002435922772487365,0.0035246098589715334,0.0032492627841040653,0.004302005572964535,6.046375887813935e-05,0.0012541305642479732,-0.0003704806353737704,-0.00022134897907980042,-0.0004939143992133102,-0.0002706813782128699,-9.977226333865728e-06,-7.72676717423499e-05,-0.003371708402093429,-0.0018444070754071007,-0.0034080470767690837,-0.0014235324542053974,-0.004797049389391722,-0.0011989886785254988,True,False,True,False,False,False,decreasing,no trend,decreasing,no trend,no trend,no trend,0.00030296038689445263,0.00039539219774785075,0.00040574389896971705,0.0005500121986618186,3.0290861032164685e-05,0.00025946671874153024
