year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0037294886252377075,0.0046571782168638885,0.004594097250871634,0.0053911852126175535,0.00012092915233469346,0.0015937020738148345
1971,0.003363397204547583,0.004716774494650653,0.0041550656532609795,0.0055214747470483366,5.926329319713454e-05,0.0013582506116532455
1972,0.003485424294602177,0.004250494841331223,0.004307708676346429,0.004933647776356609,5.3510701341601136e-05,0.0013992649067236596
1973,0.004033661835240286,0.004346194003685682,0.0049715339433979286,0.005044450030413684,0.00011932744170774389,0.0014319293004929263
1974,0.004504085440938927,0.005067076771615453,0.005574242967915003,0.006078707159400322,3.764019973331518e-05,0.0008449023557159045
1975,0.003638314060000294,0.004335822703395516,0.004493549804565698,0.0050876240293045915,6.887355695883203e-05,0.0011980795489582871
1976,0.003657704102945522,0.0040203253124424,0.00452968646785111,0.004693490769168357,1.8369345236669046e-05,0.001210779451251751
1977,0.004026231649957779,0.004758724082391467,0.004976331054385806,0.005470625370576823,6.0865003824084123e-05,0.0017875090596757338
1978,0.0034488443352963982,0.004157188665561942,0.004260026441675765,0.004752018144592601,6.326756976450848e-05,0.0016745884604757882
1979,0.003671904689298288,0.004224215128631212,0.004533845536863878,0.004893053207636233,7.447954415315558e-05,0.0014327301558064013
1980,0.0032578790997114158,0.003894666025711681,0.004024112911682692,0.0044898835535123385,5.9900038815225156e-05,0.0014104462473025015
1981,0.003438627830532953,0.004671883791902181,0.004244291917635523,0.00547273609941149,7.608125478010515e-05,0.001329419820368153
1982,0.003932115969712708,0.004760272037658655,0.004859857199600114,0.005673255338704819,6.0064148510609334e-05,0.0009498144017811023
1983,0.0037319653536652094,0.004330869246540513,0.0046086804682747865,0.005085129531590894,7.2877833526206e-05,0.0011828632980022665
1984,0.0038556097609169977,0.004906578340846647,0.004745540734072902,0.005722817097188767,0.00014136409160393136,0.0014998969719332378
1985,0.0039172555991476956,0.004621730041245268,0.004848152248789689,0.005309826210263131,3.203421253899165e-05,0.0017498688599424186
1986,0.004703926465932986,0.0055070056585504795,0.005809877059639602,0.006556883182672068,8.809408448222701e-05,0.0011252017154320814
1987,0.003632122238931539,0.004317711626769408,0.004493741689005213,0.005038501612788713,3.60384891063656e-05,0.0013093984375312838
1988,0.0033713429519805545,0.004194920709607562,0.004166867594840012,0.004863801316098671,5.111469978899213e-05,0.0014032582426446746
1989,0.004168333943485701,0.005151904720257394,0.005148067627751863,0.006080626003795475,7.928467603400431e-05,0.0012757625143653421
1990,0.0032994666520126904,0.00414790093395881,0.004077352455257346,0.004839901217890538,5.285645068933621e-05,0.0012597454080958462
1991,0.004079016924568914,0.004560121421611158,0.005039652919425806,0.005330933498609797,6.967441227230683e-05,0.0013430343606972244
1992,0.003582679025118581,0.003917821913929873,0.004425586538042018,0.004574464746482227,6.469204192044316e-05,0.001177235429515225
1993,0.0031894070325155744,0.0036836691493289226,0.003934590432258077,0.004212439100676009,7.928467603400431e-05,0.001476777198047515
1994,0.0034347579423649813,0.004342478911044429,0.00423930292220813,0.005030442466329078,7.688211009357994e-05,0.001471171210853191
1995,0.004633339705749182,0.005351436154198016,0.005733123283833544,0.00627807509205656,4.324618692763872e-05,0.0014839848958687878
1996,0.00385591850609324,0.005133351672796801,0.004772713877515716,0.006052339301474162,2.9550685815511074e-05,0.0012978341743298783
1997,0.004340621364723803,0.005313511250151893,0.005373339959742645,0.006411434777519586,3.0432501912042062e-05,0.0007311809012024842
1998,0.004240623454463414,0.005587189741390854,0.0052296185145458,0.006638817838345035,0.00011292059919994554,0.0011980795489582874
1999,0.004142018703943494,0.005323263368335182,0.005123506419493924,0.006371522814100436,4.564875286806309e-05,0.0009482126911541526
2000,0.0032421330957230457,0.0039806515572952325,0.003972445667108326,0.004526433345044575,0.0001940761257613295,0.0017027584367208005
2001,0.0032717582527300123,0.004039544065255602,0.004036097300761589,0.004626909490028725,8.16872419744287e-05,0.0015880960866205107
2002,0.004132421381286924,0.004977140570591791,0.005096066944643258,0.005742717505809302,0.00011051803325952117,0.0017819030724814105
2003,0.003734906468672869,0.0048742015453237435,0.004612710041504604,0.005680355062966879,7.12761228992564e-05,0.0015096122658999809
2004,0.0035105870264659452,0.004021405920559248,0.004344832548373936,0.004663447223249189,2.8752018631308077e-05,0.0013417608694610433
2005,0.0028299718194743605,0.0037833574685358735,0.0034942156435708157,0.004468604827428729,5.7661582570184966e-05,0.0009233861764364341
2006,0.0038784019219412595,0.004034126221820442,0.0047836790771126,0.004736283620552359,0.00010010691418434886,0.001103578621968262
2007,0.003499772063586907,0.004077314173775007,0.004323540191155279,0.004721316634270177,6.16658591375589e-05,0.0013894839688787628
2008,0.003088069252778012,0.003920909365692298,0.0038189748147059526,0.004588242678368724,3.75373576575411e-05,0.0011357047359366688
2009,0.0029861605059336997,0.003511226932564103,0.003681878625416629,0.004000406795011772,8.248809728790348e-05,0.0014695695002262415
2010,0.0034643238879682858,0.004857948015018262,0.004282285036659522,0.005755189994377786,5.045388474891184e-05,0.0011131888857299596
2011,0.003368195865875868,0.003860755231895309,0.004165619297434314,0.004462848294243275,4.0042765673739554e-05,0.0013478394925780734
2012,0.003001466230841976,0.00422594959981994,0.0037079859189536124,0.004712626785677381,5.271203415739814e-05,0.0021947374221898495
2013,0.00351587079836567,0.004789218801155084,0.004348101399413219,0.005605712015995487,4.244533161416392e-05,0.0013814754157440144
2014,0.002850250033474533,0.004077159378248288,0.0035241496161351788,0.004813996818555993,3.764019973331518e-05,0.0010018699971569636
