Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-8.136854585306514e-05,-9.217005935490132e-05,-0.00011511417075577666,-0.00013350314669630683,5.128817848558574e-05,1.729213786727196e-05,0.24293980163178025,0.22229996543400468,0.2706031871267936,0.24909869651381988,0.1611545814890525,0.14307104671386026,-0.003588324271206783,-0.003653053969920883,-0.005237953998375011,-0.005249930663595692,0.0012887118534843645,0.0010680208224801702,-0.0003349329558455558,-0.0004146202145148975,-0.00042539842925737184,-0.0005359447823882938,0.00031825454797305795,0.00012086399215248598,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.002252369365698271,0.002122051000334328,0.002980648108912155,0.0029726806663179506,0.0038038111241725675,0.002712894785814548
2,-0.00011605676047888336,-0.0001078557234911422,-0.00015896563769014833,-0.0001597024460362411,2.7545879651876688e-05,3.504095109199584e-05,0.12411816856573105,0.12626251313817435,0.1463068556013411,0.14709412255666557,0.058518581913093164,0.06467504899624064,-0.0046646127930276005,-0.0041573813147593175,-0.006389575198116115,-0.005841373560600105,0.0004351400938173086,0.0008212456349161457,-0.0009350505394979423,-0.0008542180953828407,-0.0010865221389440565,-0.0010857160249534673,0.00047072021828528746,0.0005418001475968369,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0027205046856569387,0.002480285322678386,0.003664211026403871,0.0033734836977648325,0.0027141667510184714,0.0025740800759946362
3,-0.00011784077397908722,-0.00011149812330176319,-0.00015922063084283675,-0.00015334336692265856,1.0182637731959053e-05,1.706354003666196e-05,0.0687077052960264,0.07790795093412572,0.083778820758107,0.09216366254156518,0.024150812717389655,0.03576175330709128,-0.004482447308150853,-0.004035767302621368,-0.006000025654171015,-0.005486990687469537,4.18644589438022e-06,0.00025469179637353095,-0.0017151027453379724,-0.00143115204500808,-0.0019004878488627986,-0.001663815897653826,0.00042162712497981913,0.00047714495120345203,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0025369309303484014,0.0024238458465689616,0.0034383660012771524,0.0032428595583706954,0.0017297979552441975,0.002103635390103302
4,-0.00010710515185555333,-9.963591876283319e-05,-0.00014701180351950083,-0.00013429624316270563,-1.485888464237439e-06,7.449844521214993e-06,0.03955120050524116,0.04940473610905877,0.0496162705516747,0.059182193558386775,0.009794395444344826,0.020498241274086747,-0.0037907325418855414,-0.0036097560936033737,-0.005065734143020341,-0.004840703594975876,-2.1263087398980945e-05,2.9469929619108104e-05,-0.002708012664277035,-0.0020167280833742604,-0.002962975690935697,-0.002269200161197377,-0.00015170803268877347,0.0003634382297291456,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0021279589404901212,0.0021554768930000636,0.0028877642678545833,0.0028769994279634614,0.0009856243131471688,0.0015500628020616374
5,-9.219280320127525e-05,-8.375872219546111e-05,-0.00012458253145707126,-0.00011222426055096358,-2.9545781213428957e-06,4.270795732009701e-06,0.023599987311825287,0.0317882204306202,0.030293283847994113,0.03854090879426061,0.003811638167437215,0.01182428273849939,-0.0031138334285929076,-0.0030122554897116655,-0.004159411518063108,-0.004047223534059348,-2.264149045691109e-05,4.756845565900836e-05,-0.003906476812175236,-0.0026348981182595555,-0.004112546268744006,-0.0029118218553184625,-0.0007751465358343364,0.0003611885664831205,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0017285109403992079,0.0018328483832299597,0.0023343873449815566,0.002444164175506424,0.0005035207548348685,0.0011430932123997267
6,-7.133007896616586e-05,-6.633275438998513e-05,-9.469033271480997e-05,-8.728739044451634e-05,-4.5073639612166546e-07,3.4168955213943315e-06,0.014564763217601492,0.020661217627594725,0.01900561701122957,0.02534683124955852,0.0014356324682573912,0.006808468417084987,-0.0024097501781559696,-0.002406955039977881,-0.0032089811079868587,-0.0032478813313244585,-4.6869555577019884e-05,7.919553887974964e-05,-0.0048974417160427015,-0.003210495895527105,-0.004982228814716286,-0.0034437200289498386,-0.00031396364047741357,0.0005018596418572004,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0013720133963482381,0.0014804911473659387,0.001843776371541767,0.0019831529938211336,0.00027316953872043824,0.000823240959617915
7,-5.5104450405822644e-05,-5.133497818864187e-05,-7.287797948602105e-05,-7.010301908098983e-05,-8.016021702629496e-07,4.021593117038431e-06,0.009271802349925749,0.01353375622692323,0.012233297045495759,0.01678750770688771,0.00051631232964696,0.0039142257060985645,-0.001823767617786222,-0.0018657418194960584,-0.002429904655611232,-0.0025186069844437727,-3.175806479362002e-05,6.441677401352892e-05,-0.005943229625280346,-0.0037931064611995296,-0.005957345694704141,-0.004175903910514806,-0.0015525528333035605,0.001027430051050092,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0010674593362766983,0.001173110907127818,0.0014303710682790052,0.0015774082445123518,0.00012730784166625934,0.000594018120577838
8,-4.015893320105703e-05,-4.040560674677334e-05,-5.2907418109401797e-05,-5.528005066162012e-05,-1.369349917959634e-09,1.1100473802816244e-06,0.00605805328687894,0.008883849102084854,0.008045464576726022,0.01113265348491155,0.00018238525327599265,0.0022353873098517113,-0.0013129391463455806,-0.0014519127213755492,-0.0017529904665399805,-0.0019523221597278484,-1.1952537071605664e-05,2.7519218887929638e-05,-0.0066290161705967075,-0.004548209484703088,-0.006576055068647342,-0.004965577230670387,-7.508007875436503e-06,0.0004965794407928626,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0008114123265661532,0.0009245460362230629,0.0010874775130866017,0.0012463379577004245,5.897535500150665e-05,0.00042465734338423077
9,-2.8022661574321425e-05,-2.9954225509158278e-05,-3.754891502764499e-05,-4.151435116495235e-05,1.705258913185378e-07,7.663685578266857e-07,0.0040412236756213445,0.005844036025287458,0.005387513133756208,0.007394276040095297,6.0995741146734826e-05,0.001260839911855131,-0.0009188098568573399,-0.0010907774912514807,-0.0012275595636211112,-0.0014687609397421785,-6.008972770841527e-06,2.6708998270650024e-05,-0.006934202069380111,-0.0051256058962581225,-0.006969619209348571,-0.005614390231016763,0.0027957016033022864,0.0006078238407753867,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006132677292430637,0.0007201008775057677,0.0008211586505517132,0.0009699411314705119,2.904724732479377e-05,0.0003016266368393567
10,-1.9009203098879634e-05,-2.2483399533169957e-05,-2.4963147259659102e-05,-2.99014194268577e-05,8.12202823063897e-08,-6.482035381071157e-08,0.0027348463996067843,0.00384241886910152,0.0036536148535277,0.004904996993648653,1.8559910461781023e-05,0.000700967297651611,-0.0006239585037680403,-0.0008042993599226499,-0.0008353573174552198,-0.0010824199601236102,1.0300218928805904e-06,1.7948318972739984e-05,-0.0069507388428150015,-0.005851366105337519,-0.0068324517663804285,-0.006096113711298138,0.004376113908180769,-9.247272166315532e-05,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0004598703234183037,0.0005554222300169272,0.0006155524135680067,0.0007482599973522541,1.3703305054953971e-05,0.00019994582148212498
