Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,9.094116024425413e-06,1.0913606942724951e-05,-1.3542682720296163e-05,-9.03818876845811e-06,6.391353289127266e-05,6.548844447770889e-05,0.2566996079354523,0.23242249464846917,0.2732469885425818,0.24787420311066405,0.20827505190522036,0.1872043335415703,0.0003146085625470585,0.0005059230378226254,-0.0005452306856819078,-6.532029679207074e-05,0.0028308578011070062,0.0021776199378157335,3.542707407138755e-05,4.695589796173299e-05,-4.95620566306286e-05,-3.646280514484595e-05,0.0003068708052482338,0.000349823336024252,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.002955703665990641,0.002213917997770445,0.003004520547783506,0.0022769769279685115,0.005019453240457072,0.003493901688509256
2,-1.9051088286434327e-05,-1.5322734171948035e-05,-4.802709927966692e-05,-3.5456261292087184e-05,5.023027027397951e-05,3.8549476882151064e-05,0.12648294690900275,0.12755150251486658,0.1441404062528797,0.14353883385581748,0.07480983624273164,0.08076588485884903,-0.0008646078099599774,-0.0004527093145772765,-0.001732422385991611,-0.0010571703245762787,0.0016749805731577638,0.001316196395742708,-0.000150621793308947,-0.00012012978185154751,-0.00033319664158159966,-0.00024701511319022174,0.0006714393827972023,0.00047729900996593155,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.002363097288201069,0.0020730745960534525,0.00274110051239497,0.0023326832364652926,0.0033961873835491848,0.003012675373601729
3,-3.146112486897279e-05,-2.597481559730346e-05,-5.418089765681246e-05,-4.015624153059472e-05,2.2790191181353175e-05,2.616934241286492e-05,0.06774623841451335,0.07717295986252024,0.0813424296816596,0.08977388703949282,0.027958096626682385,0.040297377037569866,-0.0011961853782422455,-0.0008887706380500959,-0.0018372378427333885,-0.0014315662045183974,0.0006798022310411204,0.0006996761950443797,-0.0004643966307985129,-0.00033657923246142553,-0.0006660840826719085,-0.0004473042535512516,0.00081515531925027,0.000649405602465561,False,False,True,False,False,False,no trend,no trend,decreasing,no trend,no trend,no trend,0.00184480806548335,0.0017468205669422254,0.0024208879465833564,0.002136347331665017,0.0017729766291955963,0.0020785368119922115
4,-3.176247461129777e-05,-2.5350038367387537e-05,-4.7299632365081044e-05,-3.911672407659085e-05,7.078325693970466e-06,1.2363375452747824e-05,0.03847041468768153,0.04891226978578538,0.047989047549152945,0.05820515776545714,0.010614914093651978,0.021717393125947254,-0.0009899927217170146,-0.0008793369939649257,-0.0013889616565222335,-0.0013456752902328076,0.00017755723658112975,0.00048536389089524554,-0.0008256337985737469,-0.0005182756490019735,-0.000985633905666376,-0.00067204910317768,0.0006668283540988342,0.0005692845076316482,False,False,True,False,False,False,no trend,no trend,decreasing,no trend,no trend,no trend,0.001396803003710574,0.0014762980871468872,0.0018777350900011517,0.0018787587593736422,0.0008891985157631651,0.001475617334390664
5,-2.1986753848007143e-05,-2.120734959054686e-05,-3.115372065267897e-05,-3.401394703309107e-05,-2.2294927206349444e-07,9.807348226612096e-06,0.02277248072077713,0.0316415870129947,0.029221592375146422,0.03836163595917909,0.0038996829005787173,0.01197591336672587,-0.0006670141133871856,-0.000702695220893966,-0.0008862102663163805,-0.00108400413970864,-2.5554498651719423e-05,0.0004131741449205587,-0.0009654966499959266,-0.0006702365965979309,-0.001066119883294788,-0.000886665706052932,-5.717112846031879e-05,0.0008189227766009931,True,False,False,False,False,False,decreasing,no trend,no trend,no trend,no trend,no trend,0.0010419064575852483,0.001209494731137532,0.0013953154900326781,0.001558341274520898,0.0004200904848624765,0.0010598874715605664
6,-1.4671238703660613e-05,-1.9914887896953734e-05,-2.0222591375137076e-05,-2.9954220717102305e-05,5.672808719074995e-07,7.14031916735667e-06,0.013961895428645423,0.020667157692049798,0.018265221247579306,0.02547512904602673,0.0013685643641794,0.00659702274138009,-0.00039848780130670447,-0.0005365083110699144,-0.0005364378156885174,-0.0008197472983380825,5.2116336314500175e-06,0.00029236742065798065,-0.0010508056573436183,-0.0009636007134456885,-0.0011071637786931917,-0.0011758221386428723,0.00041450799593751274,0.0010823547905282683,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0007699457505703757,0.000967503454356259,0.0010352661934438017,0.0012613002474844933,0.00020516782427488643,0.0007364664156784981
7,-1.1550640744099312e-05,-1.7136325875060362e-05,-1.5466642624659795e-05,-2.3430435757022863e-05,6.712054248097055e-07,3.7593495903254257e-06,0.008826920610707447,0.013560095758393469,0.011683725638655476,0.01696308776413979,0.00046671433831931106,0.00360151796501783,-0.00021520444625871236,-0.00041991253524453764,-0.0002916814334984908,-0.0006117932461739591,8.59920227878002e-06,0.0001416106724537701,-0.0013085696873820153,-0.0012637319219853788,-0.0013237766020017263,-0.0013812600679078686,0.0014381504267188126,0.0010438236395988142,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0005758989977427633,0.0007888300213009078,0.0007748410501782614,0.0010379261126099244,9.783366543075662e-05,0.0005004989223430785
8,-7.5421361035595275e-06,-1.3846114923292924e-05,-9.663035698058618e-06,-1.8365230936316783e-05,1.4634684610401724e-08,9.899671750381782e-07,0.005701626955828554,0.008903237043825573,0.007597155751993946,0.011295348954615288,0.00015451695841416142,0.0019029171741832998,-0.00011480791056102044,-0.0003357239093245822,-0.0001535048245193812,-0.0004610754806964098,-1.5645566633735596e-06,3.110721250004973e-05,-0.0013228042034299512,-0.001555177611821001,-0.0012719280759147873,-0.0016259108957242738,9.471248179229277e-05,0.0005202366074934688,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0004469358092955927,0.0006403703490571819,0.00060136757714786,0.0008471875390056691,4.428523508140694e-05,0.00032812816805849666
9,-4.55714535746672e-06,-9.872115265432588e-06,-6.124252847703285e-06,-1.34774292575621e-05,-3.6027297462485724e-07,-6.503239391296092e-07,0.0037390302393854893,0.005852551924269054,0.004999174089624567,0.0075206884600295095,5.132232168872158e-05,0.0009708867798047022,-7.412426279278846e-05,-0.00025339965169289026,-9.650819778580979e-05,-0.00032688195805860056,-8.619507690937955e-06,-3.835969181541991e-05,-0.0012188040924257645,-0.0016868052420851527,-0.0012250529263251183,-0.0017920472745535342,-0.007019810537995003,-0.0006698246929064423,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.00035577624898830814,0.0005079424178999643,0.00047798383383719603,0.0006747053678985625,2.3008742906559462e-05,0.00021411097405903378
10,-3.101728507550484e-06,-8.268588454107546e-06,-4.1504937477121554e-06,-1.0441944437593873e-05,-1.359511831124165e-07,-6.105969317515627e-07,0.0024655386999885,0.0038551939261570836,0.003302228588953378,0.005009339777260298,1.703416805966108e-05,0.0004776804839553667,-4.828330495244967e-05,-0.00020004009679970005,-6.270270837595987e-05,-0.0002536036703217198,-6.086100114875858e-06,-4.3290679548790097e-05,-0.001258032781057118,-0.002144791834726146,-0.0012568765716572123,-0.0020844951434507743,-0.007981087343758509,-0.0012782538794459423,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0002795095140273315,0.000409779597011056,0.0003751514186202757,0.0005446862683627904,1.0677827452734999e-05,0.00013691014652150244
