Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-2.174627035274335e-05,-1.1814398303877648e-05,-6.772838807007542e-05,-4.787187516823259e-05,0.00010603449236355379,7.540255604510352e-05,0.26002078196545625,0.23244505912905125,0.2805222944922345,0.25128949606849643,0.20002478225842518,0.17729835560552418,-0.0011602069837373663,-0.0007536609862969501,-0.00277952878155191,-0.0019232706043821879,0.0035786058224089035,0.002669105905283936,-8.363281653245832e-05,-5.0826626937759124e-05,-0.00024143673925335835,-0.00019050487950035002,0.0005301067756022394,0.0004252862683784201,False,False,False,False,True,True,no trend,no trend,no trend,no trend,increasing,increasing,0.002913739550099942,0.0019657877898949815,0.003556802325885222,0.002472049169213117,0.0035972943194068252,0.00280881521738697
2,-6.387331064818173e-05,-4.759672356672996e-05,-0.00010093675242967324,-8.382938820214636e-05,5.0175717851615756e-05,7.492723485893411e-05,0.13449513761111506,0.13452046016137592,0.15508554105389208,0.1527555860328473,0.074239005908298,0.08115685564617295,-0.0026440588466196124,-0.0019440927064341695,-0.004202215227144035,-0.0033498936921336764,0.001915758368200557,0.002169868905715591,-0.0004749116717726088,-0.0003538251616864163,-0.0006508456671315208,-0.0005487811632899656,0.0006758673185036198,0.0009232397468132736,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0024648172356092285,0.001912659671647215,0.0031273895938791732,0.0025551108383054556,0.002546992614113794,0.002287740848654019
3,-7.077296613577818e-05,-5.355105839314748e-05,-0.00010564545061698663,-8.504002098784854e-05,2.4780136196966577e-05,4.6995719536568857e-05,0.0751473420759235,0.08516124776224805,0.09101432396989018,0.09974229370406121,0.028713917233805654,0.042491009314689805,-0.002886766132962376,-0.0023341192162951996,-0.004167820647641957,-0.0036134447306050005,0.0008621351340547811,0.001409722272544954,-0.0009417893458463807,-0.0006288195605429662,-0.0011607563074570197,-0.0008525974070755299,0.0008630008923962582,0.0011060156088201394,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0020011032537785925,0.0018328787977908735,0.002653977649385817,0.0024548616402593573,0.0016034460425701455,0.001740401914457517
4,-6.215210038014782e-05,-5.307259318530489e-05,-8.698477870604979e-05,-8.660186210306082e-05,1.1990665624586569e-05,2.232753623212702e-05,0.04460532930732665,0.05616424359114351,0.05609063275165857,0.0673380777475815,0.01099452809540319,0.023464931776932835,-0.0025238366026344716,-0.002283805779684976,-0.003531687848917643,-0.003346917502030214,0.0004255576431684803,0.0008273037298721884,-0.0013933783551271536,-0.0009449534043697841,-0.0015507897564852786,-0.001286075649912225,0.0010906030273004498,0.0009515278563083686,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0016731578574550744,0.001711585658703443,0.0022498739481234533,0.002303015945831718,0.0008797085357505068,0.0012257045998796626
5,-5.55530605996322e-05,-5.025323348575691e-05,-7.441494391470224e-05,-7.148608869054785e-05,3.2543946395349964e-06,1.3064945620210625e-05,0.0280055120780731,0.03787259917968387,0.03619413482114186,0.04633554080599731,0.004042177321554726,0.013106492646337547,-0.0021671546657800744,-0.0020425773286818147,-0.0029729141612419574,-0.0029486395046891684,0.00019083459918391946,0.0006089395277104111,-0.0019836473778719953,-0.001326902155495956,-0.002055994549460392,-0.0015427917198561163,0.0008051093212019883,0.000996830042388302,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0014080666666355078,0.0015188306457539474,0.0018916025994023312,0.002038708390090816,0.000442020456019482,0.0009082825039961554
6,-4.853560794822888e-05,-4.300865043653274e-05,-6.570408939452738e-05,-6.102385970154168e-05,2.491988269304264e-06,8.185311047082456e-06,0.018459592447915715,0.025916963073066478,0.024277905132728192,0.0322775444931512,0.0014327762226505375,0.007303241743115416,-0.0018595064874759697,-0.0017809346304048929,-0.002523842511541391,-0.002552622091170645,8.461855467092991e-05,0.0004773456115795315,-0.002629289248133377,-0.001659478786742122,-0.0027063327348599777,-0.0018905979577997331,0.0017392724906435543,0.0011207777771834741,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0011880817947768363,0.0013172809092725922,0.0015947716517069727,0.0017659407847360833,0.0002208899583143232,0.0006834225018337932
7,-3.989527065899578e-05,-3.5455612191546675e-05,-5.4612413043687494e-05,-4.911315636316735e-05,1.0578250388645524e-06,4.772202708355018e-06,0.01261144294091447,0.017948756312331816,0.016752168336975577,0.02269417862311298,0.0004939487158179889,0.004061666021042607,-0.001545468696209841,-0.0015682155974090055,-0.0020861923108493607,-0.0022158889467732215,3.691473931106986e-05,0.00032714748997060995,-0.0031634184007260733,-0.0019753798856351206,-0.0032600205504827906,-0.0021641301577289894,0.0021415685576037444,0.001174937250781151,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0009968871084280017,0.0011371911291048577,0.0013377757689808575,0.0015251990189364111,0.00010389020090654541,0.0005146847893921952
8,-3.354440089881609e-05,-2.975781274377676e-05,-4.596448994745561e-05,-4.1535031214039994e-05,2.1593969899178948e-07,2.0965639795120944e-06,0.008818912722901402,0.012545192468520067,0.011776934536974471,0.01606064735216488,0.00016250380386598854,0.0022575012606763267,-0.0012528509545081876,-0.001360912125119771,-0.0016841116849660095,-0.0018981992565900024,9.198302804222915e-06,0.00021141472345675982,-0.00380368895268759,-0.0023720491190907357,-0.003902924806378691,-0.0025861368040337,0.001328828580344296,0.0009287099927837839,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0008230386501534848,0.0009755073022194762,0.0011049082393735793,0.0013081721803669044,4.7173459920249024e-05,0.00037848383372124757
9,-2.6428803636839263e-05,-2.5736703735385625e-05,-3.567589880045789e-05,-3.595288506729744e-05,-8.536621621303936e-08,1.4023014911580658e-06,0.0062540778655518735,0.00884249212078672,0.008373609182960953,0.0114392086788228,5.144280961526658e-05,0.0012434134844331443,-0.00099810189571844,-0.001158821566239721,-0.0013393922382888591,-0.001599385685066958,6.563796100559632e-07,0.0001304532962643002,-0.00422585138928505,-0.0029105712941360044,-0.004260516346171616,-0.003142952111176743,-0.0016594392268128645,0.0011277837249749278,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0006754623143296073,0.0008304752808373175,0.0009063439440766817,0.001114376324546242,1.8439083220235855e-05,0.0002621454808915868
10,-2.2295749158859828e-05,-2.208359487933309e-05,-3.0266779267841666e-05,-2.923796166554359e-05,3.814286186397924e-08,2.994717678066675e-07,0.0044595775494708535,0.006265677894065723,0.005978161532386482,0.008177264661186682,1.5565719850737193e-05,0.0006715755579403312,-0.0007986813874484499,-0.0009694158355830406,-0.0010732938268261999,-0.001329826943007862,4.9494573945809605e-06,8.529779431265983e-05,-0.004999520450430402,-0.00352453401734051,-0.005062890840916968,-0.003575518572160362,0.002450439955860621,0.0004459241618696243,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.000552494763949309,0.0007000290648381084,0.0007414440331592624,0.0009397818104199273,9.640026651909665e-06,0.00017659322752273533
