year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.004867419229998216,0.006348203135459371,0.006527020430397018,0.008362020905230756,1.0732046413032702e-05,0.0004549301309721851
1971,0.0045402521834503546,0.006395990714010478,0.0060902234943750015,0.008256699451111613,4.387905403580921e-06,0.0009507787717122275
1972,0.004431520496684321,0.006097243022410852,0.005937275278272568,0.00797723061000852,2.5052275521044144e-05,0.0005956131008424892
1973,0.004680310137145207,0.0058932025602455975,0.006275720348744064,0.007639333240501102,1.1472632465672936e-05,0.0007832939306158063
1974,0.005035788853020798,0.00675310207091128,0.006753891239205279,0.008847343993473063,7.902733714447637e-06,0.00062447436071892
1975,0.0049459657500152045,0.006796576627080566,0.006626773640084664,0.008877600965899055,2.7218923483867304e-05,0.0007066290947216443
1976,0.003899561814098765,0.0056425006627937,0.005225021702621435,0.007366086801652654,2.0711852193818553e-05,0.000598566789770575
1977,0.004963260643119773,0.007134230363848029,0.006656352011940158,0.009437011349622219,8.567220620007925e-06,0.0003953301403933345
1978,0.004594383527676829,0.00662262849405042,0.00616014583099225,0.008792487957233164,1.2308201854278968e-05,0.0002727122355611455
1979,0.005283507010946728,0.007247924717324721,0.007085224381458351,0.009525799175517024,1.092847840295263e-05,0.0005819114098745972
1980,0.0045435101897217224,0.006124729109788254,0.006094510220460985,0.007960548322603187,4.635447270641622e-06,0.0007523543247403681
1981,0.00501998004433502,0.006291337037122033,0.006728279385251671,0.008175261603772726,2.0781735269427344e-05,0.0007781858683382054
1982,0.0042009269133092665,0.005924340603440457,0.005625266457066812,0.007710446646205609,3.271372716638964e-05,0.0006974473447846618
1983,0.004054363154054909,0.006216182814136629,0.005436541107932234,0.00801230490956014,9.532412538864871e-06,0.0009599783965323521
1984,0.004775507166146453,0.0067267291822089145,0.006402975731411367,0.008733881942969167,1.2853511334366845e-05,0.0008529607814994654
1985,0.004607338167053208,0.006453630340834158,0.006178775876805512,0.008526024094616025,8.654228452472347e-06,0.000388939509738239
1986,0.0044103565535319866,0.006346864618709855,0.0059139798619580386,0.00834653941106151,1.0125914256759367e-05,0.0004949798809674926
1987,0.005413101999953896,0.007862249153971075,0.007253735686490614,0.010316174683213393,2.6638051307736784e-05,0.0006810367853129937
1988,0.005257129825459943,0.007554685017229747,0.007041731548887101,0.00992171861192026,3.463883431701841e-05,0.0006277547886383765
1989,0.004825710764767212,0.0065990799850036445,0.006471589284777933,0.008628085473526885,9.18188303744124e-06,0.0006613613637066376
1990,0.004587903561525864,0.006447989419672546,0.006151370791691717,0.008418193700200744,1.2544579574494827e-05,0.0006823477245552948
1991,0.004976319248182728,0.006959228117516141,0.006669261334034708,0.009078363230315597,2.2062690080985193e-05,0.0007577525219662558
1992,0.005445156653860538,0.007183251041675105,0.0073018822191753575,0.0093744492547187,1.160113803388737e-05,0.0007708886768935362
1993,0.003994858040311458,0.00600650360143944,0.0053573157790193955,0.007865135226393679,7.736895683927134e-06,0.0005673701579638538
1994,0.004147159050727032,0.006322832870401649,0.005561816860314972,0.00822238040696399,7.278667817302159e-06,0.0007639623578855979
1995,0.005342138302704477,0.007608515033640315,0.00716496968282917,0.009897992959448973,7.771347823304574e-06,0.0009085451271928238
1996,0.00519245304634178,0.007489335246308201,0.0069602496830662285,0.009735721007628899,1.9140767041484226e-05,0.0009154710349706758
1997,0.00442937212831251,0.005944740335798171,0.005938292822846371,0.007770920110372992,1.3639121835978873e-05,0.0006005745784049137
1998,0.004131594233349748,0.005313024546277915,0.005540410747181014,0.006957972439452792,8.80792474542917e-06,0.0004992190678725446
1999,0.0038364381126977424,0.0057988835362140796,0.005142576842012284,0.0075516372545872115,1.4129943047207541e-05,0.0006695931271938274
2000,0.00393443141917852,0.005263995493138317,0.0052714457500255135,0.006757648043859838,2.1768326783830697e-05,0.0008929434608335962
2001,0.0039267519454995944,0.006065411188353251,0.005263736140652281,0.007948370676372774,1.4177042749665614e-05,0.0005550842432552303
2002,0.004057638470677335,0.0062734801889966114,0.0054332716972796,0.008219826827577041,3.196033827558224e-05,0.0005776559318581043
2003,0.004498952080375642,0.006528131712487565,0.006034942263305604,0.00847909871901207,4.002429968055195e-06,0.0008187863264344464
2004,0.004574773236283818,0.006481308658155877,0.006135982734997656,0.008503254726629089,6.021320779703357e-06,0.0005642488522853008
2005,0.003620320812586175,0.005293489411429154,0.004851897915414971,0.006916725681844341,1.621114487307252e-05,0.0005432212213593725
2006,0.004650354204578876,0.005841128949691288,0.00623304826178823,0.007649523897220445,1.8729485737984235e-05,0.0005490090341269061
2007,0.0035158479341734113,0.004973425011033206,0.004710609836788434,0.006455597099915007,1.9474938979221186e-05,0.0006359696113804801
2008,0.00418615310777328,0.005291280646061152,0.0056029653393258215,0.0069495560368957425,3.9967985182107015e-05,0.00043847333573517614
2009,0.003215630187486604,0.005199815880739195,0.0043131682702436495,0.006714210444465335,3.7747497212497683e-06,0.0007680640437482194
2010,0.004075551418273403,0.005684165504282741,0.005456672325568166,0.0072646249429995586,3.381403713137735e-05,0.0010590802137034738
2011,0.0035629113787572744,0.005230544619547856,0.004769215528389173,0.006658327641520644,3.2760941643202585e-05,0.001052254376030645
2012,0.003915389395775003,0.006054038651118462,0.005249150620771221,0.007881127596700791,1.224625159950281e-05,0.0007072122791276864
2013,0.003857014734150545,0.005635235893722146,0.005172994273592565,0.007361259448515301,5.9082384860646435e-06,0.0005841691223100254
2014,0.004655982598117112,0.006034319444679475,0.006244987717946507,0.00793239223009345,5.889070664731206e-06,0.0004797646707875808
