Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-0.00022400027969145147,-0.00025320277782621924,-0.00023540376788082153,-0.0002354546124565443,-0.00018283428668212378,-0.00030013332000472206,0.32895159011770486,0.3004145822082384,0.3387906000296465,0.3109997932143614,0.30116416888284764,0.2705197330598507,-0.009180218348929625,-0.010716396588023314,-0.010015187080445354,-0.00981872175885573,-0.006822092067096663,-0.013251618000874432,-0.0006809521109513412,-0.0008428444983096947,-0.0006948355941995501,-0.0007570892894268054,-0.0006070917644696505,-0.001109469230247686,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.0038202786668040385,0.004260548671978771,0.003893903751028334,0.0037586360279957026,0.0049093271230405975,0.006231525267768777
2,-0.000249108251016585,-0.00021546803983542306,-0.00026943172653590624,-0.0002257073173168797,-0.00021064013175331464,-0.00018904635584071627,0.1956435587619494,0.18441597431237367,0.20831805451427174,0.19682675713992984,0.15984813264069522,0.14936532863052743,-0.010985416853668079,-0.009825043271087436,-0.011679066183334808,-0.009885857795559783,-0.009026406111201812,-0.009653290338237919,-0.0012732760157960997,-0.001168380562686244,-0.0012933671407604646,-0.0011467308642209547,-0.0013177515950517176,-0.0012656642446678137,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.0045510545497441865,0.004008514656553131,0.004569336896220777,0.0038449147176823507,0.00584027072606659,0.005362071318386381
3,-0.0001875269727088673,-0.0001500559464823708,-0.00021845613858784973,-0.00017973085021137677,-0.00012482629655281678,-7.485182437529034e-05,0.11504212141152112,0.11626526307897156,0.12624424879931528,0.12672221420005103,0.0834049714099372,0.08673264666387043,-0.00855911584190594,-0.0069073976899660244,-0.00944290841026696,-0.00784309185724108,-0.006063100836221455,-0.004264801716816924,-0.0016300722762061916,-0.0012906343864757556,-0.0017304244800499346,-0.0014183057907088273,-0.001496628971183179,-0.0008630178745193395,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.0036353160243835316,0.0029916563848947945,0.003820320946751303,0.0032235646251712203,0.004401550513246313,0.003515263158566989
4,-0.00013509699157318665,-0.00011253195203356361,-0.00016060697159841656,-0.0001363090020305533,-4.8091537177990956e-05,-9.317372556479443e-06,0.06786544498014377,0.07528460395773794,0.07664605721745371,0.08327903422410717,0.04306716007934872,0.052706661326063366,-0.005888331377706904,-0.004704331296866163,-0.006863387224471565,-0.006031398064930152,-0.0031345697915257653,-0.0009564172667950177,-0.001990659482343535,-0.0014947538556055232,-0.002095436835619033,-0.0016367745291538853,-0.0011166637662986163,-0.00017677789338312757,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0026063967899639983,0.0022171805572957838,0.002922868669854261,0.00266237671330841,0.002883439760459816,0.002359950269493702
5,-9.606888985963086e-05,-8.107779383971676e-05,-0.00011674136993241543,-0.0001068085246424364,-1.3765412548959883e-05,1.4600746512207115e-05,0.040450380957816105,0.049815575140990144,0.046986133783334876,0.055744900545215824,0.02199204841470354,0.03306992043382396,-0.003970455493824146,-0.003329138064479986,-0.004901224209039386,-0.004707379808789457,-0.001341770027157109,0.0005633047987101056,-0.0023749810900376145,-0.0016275591240339385,-0.002484591953675947,-0.0019160232343728343,-0.0006259268026964029,0.00044151138922225686,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0018436286041364966,0.0017210662951693174,0.0022169813257449976,0.0022369041171248216,0.0017931090508139927,0.0017362250569114997
6,-6.359873337211687e-05,-5.904121273503784e-05,-8.446245177321486e-05,-8.454472459356692e-05,1.6250330954478456e-06,2.668179647239729e-05,0.02444382652452837,0.03348977914468767,0.029178603530286375,0.03784940552403865,0.011071826263360706,0.021177282692926725,-0.0027163044864981258,-0.0024237188887557062,-0.0035310350054375064,-0.0036748535379763567,-0.0004153351485990612,0.0011097469610169275,-0.0026018321357459385,-0.0017629621407761142,-0.0028946708051173792,-0.0022337134077276715,0.0001467719106851834,0.0012599254049391847,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0013401763384134483,0.001385346128159946,0.0017146188885172444,0.0018818518962705384,0.001067690878596059,0.0013498380107482832
7,-4.592843387613331e-05,-4.4697072765374356e-05,-6.230258809262225e-05,-6.899209955295135e-05,5.2135626179931035e-06,2.692236695419996e-05,0.015021627934776786,0.022790306623554732,0.018393910368683795,0.02599643408795913,0.005497597229192095,0.013735532293271615,-0.0019091705236308192,-0.0018387367698625007,-0.00256866453121523,-0.002900127244498101,-4.6621552278630976e-05,0.0011588518571769395,-0.0030574871162801025,-0.0019612317422345723,-0.003387131221357605,-0.002653906274972793,0.0009483347725637711,0.0019600526852088544,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0010087448125026903,0.001144270039554877,0.0013430880627014691,0.001586004800213047,0.0006155122978009482,0.0010624554362752949
8,-3.399073404457689e-05,-3.535181270880546e-05,-4.716791766825831e-05,-5.438587214999573e-05,4.891614173991424e-06,2.4197451109242452e-05,0.009389148112287908,0.01564012173094617,0.011760890937019113,0.01800324420532485,0.0026908504663460866,0.008966169756833266,-0.0013795646824993502,-0.0014052319985010664,-0.001894739451705119,-0.0022670449907727618,7.539658388960001e-05,0.0010287080885864903,-0.003620214915993499,-0.002260328488291555,-0.004010573511891895,-0.0030208928751802376,0.0018178691960663873,0.0026987500533102414,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0007769873921960976,0.0009501149262791512,0.001057692243821503,0.0013227957020256614,0.00034600520444480747,0.0008337453775433035
9,-2.5742741025766643e-05,-2.7654717760434794e-05,-3.77149672808333e-05,-4.4554986589512486e-05,3.0716710101000213e-06,1.960936331542855e-05,0.0059781817584911735,0.01080738676300458,0.007634232749889941,0.01255378564606997,0.0013011474942457885,0.005875191161806522,-0.0010220826003089108,-0.001090078745072191,-0.0014119515864132598,-0.0017762976945709299,7.898893435225995e-05,0.0008479470501776588,-0.004306115482220437,-0.002558871850048092,-0.004940243311467943,-0.00354912755766709,0.002360740057283451,0.0033376553673530175,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0006078300396764897,0.0007903531066133038,0.0008336155298928108,0.0010990702683449328,0.00019196820418289264,0.0006520165561974288
10,-2.0028722441660882e-05,-2.1445675488519952e-05,-2.8321735347246655e-05,-3.5588932810199985e-05,1.9265929743466648e-06,1.5760977432554983e-05,0.0038682814310667312,0.007499931134599355,0.005018863012991784,0.008794120213492608,0.0006187984680283608,0.0038448705731589762,-0.0007723401593879506,-0.0008515943416295118,-0.0010676294121051803,-0.0013899634787765593,6.161843246394003e-05,0.0006688726695475889,-0.005177679752255691,-0.002859449654088801,-0.005643058053972237,-0.004046900877656498,0.0031134417324678396,0.004099221841843597,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0004756067281339301,0.0006518022088943003,0.0006533456193673379,0.000903970176403569,0.00010474139831408418,0.0004981755278629113
11,-1.5993911043561762e-05,-1.7360245123668877e-05,-2.2208697117063167e-05,-2.7482733092416e-05,1.1859642377500004e-06,1.1089821960776676e-05,0.002538678795660324,0.005218769501605665,0.0033355798775847757,0.0061802366591640545,0.0002880635158573824,0.0025033852150089,-0.0005907033520295402,-0.00066643043986408,-0.0008146983589267104,-0.0010836145080657788,4.1905382676890026e-05,0.0005117845979641703,-0.006300092422445141,-0.003326501605086722,-0.0066581218055386596,-0.00444687389950749,0.004117023407911054,0.0044299302777248565,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0003722864200937423,0.0005336275139543372,0.000510112235471889,0.0007379860248942481,5.5241023263558535e-05,0.0003718613329338106
