year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0021811627670111186,0.0028312732727382934,0.002921877228160465,0.0036370405945269006,2.676973122541332e-05,0.00048767179392894755
1971,0.002242390811111919,0.002921200955071133,0.0030095997866094273,0.0037851848920013934,1.0937585209721632e-05,0.0004082744842350626
1972,0.002555913569457145,0.003299658014731114,0.003429296001977614,0.004304081710654224,1.5651256662499203e-05,0.0003782577600132762
1973,0.0019034276481462579,0.002286887943653207,0.0025523711128917566,0.002881046456637561,1.5953655945556475e-05,0.0005587578345959823
1974,0.0016411497940352104,0.0023495650291640246,0.002204514548408977,0.0029907063979777992,2.584372284584429e-06,0.000484783696579766
1975,0.002125053082048249,0.0024160921260807646,0.00285208473429257,0.0031007340497396637,1.0456958245646231e-05,0.0004247879600341623
1976,0.0023943571136070415,0.0028406724962012422,0.0032121143806547628,0.0037372427916257554,1.5882473923256977e-05,0.00023296750073274492
1977,0.002137226507844596,0.0026852420408777977,0.0028644916468763214,0.0033946622356861894,2.1951279832323038e-05,0.0006218694360424509
1978,0.0019516231130297045,0.0024215123624870753,0.002620587696497604,0.003099182768120742,5.9170205980287684e-06,0.00045048509215425193
1979,0.0026476751614067737,0.003198100101009496,0.0035502357905575817,0.00416957846586734,2.254707790792569e-05,0.00037252245477499834
1980,0.0021718754509074873,0.0026207033348148432,0.0029104883421855656,0.0032700546413091257,2.3594902095307248e-05,0.0007320431211086001
1981,0.0015164837633376742,0.00200918407440488,0.00203582153907434,0.002452516645800527,5.972296433935323e-06,0.0007197363122135924
1982,0.002479348309055672,0.00296901644517144,0.003327374754692539,0.003778958901941398,1.2834740780935546e-05,0.0006132714452091137
1983,0.0019076979249612904,0.002233768506668424,0.0025590880219392587,0.0027780233872678555,1.310782025134654e-05,0.0006507847984303024
1984,0.0019856476113160747,0.002859752304924081,0.0026660162847041433,0.0036780466323276784,6.7723380567928715e-06,0.00047971560705028355
1985,0.0025007945036865323,0.002449115414165001,0.0033560883984918278,0.0031405102186890087,1.314331396979856e-05,0.0004381702659716347
1986,0.00204796582634089,0.0028037914850904204,0.0027429683209462766,0.003588454926191805,2.6527589657613595e-05,0.0005215713562685681
1987,0.0021292477185013846,0.0029448282920779083,0.002853670683012438,0.0037389725038179983,2.223905110725344e-05,0.0006350330215392118
1988,0.0022214377557553174,0.002890542464650608,0.0029775971869507967,0.0036693813266774756,2.2122502771805826e-05,0.0006252633208542871
1989,0.002433995735865432,0.003295375848882369,0.0032668812211399077,0.004250394536986106,1.1520162352173134e-05,0.0005176717285883678
1990,0.0026312647104819653,0.003372934772215343,0.0035235850834737627,0.00431159369633176,3.592075799549736e-05,0.0006428135782040144
1991,0.002299987057418413,0.0029943004457753976,0.003082562826955353,0.0038129605554053174,2.3838991875124553e-05,0.0006131998579381422
1992,0.002139500910234754,0.0026750589549157603,0.002873475015564217,0.0034276627839300907,4.712427078604237e-06,0.00048608529100451365
1993,0.0021695763899437326,0.002753204744079554,0.002912684028673289,0.003470798008998662,8.22271631088359e-06,0.0006660604886945567
