Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-0.000147648310874407,-0.00021607466169785706,-0.00013000822107653802,-0.00017008540485213624,0.0004670011180127956,0.00020356115317078823,0.30175510166211483,0.2808511583980368,0.30759443963532507,0.28711140602986923,0.2533691208095603,0.23008545477322365,-0.0069263802584856315,-0.009347636185753128,-0.006010361538102416,-0.007584657812691242,0.015399150675103973,0.007097183333441698,-0.0004892984743626098,-0.0007693564909268591,-0.00042266115483320166,-0.0005924021173663914,0.0018431650886289628,0.0008847197810544858,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0036854648188386313,0.004077494861673431,0.003706604541438326,0.0035602740430614455,0.012271421265228713,0.007416529060096041
2,-0.0002930318641289865,-0.00022432223495005366,-0.0002631491098010421,-0.00019530783547400707,0.00025198042838241175,0.00027053343520957036,0.17281806852574078,0.169544764976215,0.17860248310186005,0.17521289980342813,0.125191359938037,0.12310979376200791,-0.01245640308607912,-0.009620066910382252,-0.01121482366477658,-0.00845611760136003,0.007122248805243925,0.009328769468161677,-0.0016956089524015263,-0.0013230855873463461,-0.0014733787864022229,-0.0011146886769930952,0.0020127621307662806,0.00219749726599784,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.005566097315192975,0.004439951825588449,0.005409478554559053,0.0041979737478520475,0.009277093238636876,0.00812390377366721
3,-0.00022132805314770948,-0.00013477096819464114,-0.0001948507917779187,-0.00012944483817257525,0.00014620380147454236,0.00027891192058978345,0.09618441313426516,0.10254622099454228,0.10056920446815727,0.10669494442382196,0.060226215116872595,0.06829564167887797,-0.009317974906468185,-0.006065824796966018,-0.008237180244386133,-0.005374805561162682,0.004170732297095969,0.009335053736636276,-0.002301080247157661,-0.0013142460725277623,-0.0019374796967755008,-0.0012132237274372101,0.0024275774459813736,0.004083890475781905,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.004555799213003745,0.003478041718961349,0.004426821592251241,0.003481256700759608,0.005863476827892161,0.007034316505296393
4,-0.0001493971859983723,-8.914397828750955e-05,-0.00012767042590724895,-8.094822503297294e-05,8.598782751056619e-05,0.00021343495739109818,0.05507540766841082,0.06408527080259942,0.05822739228295268,0.06701151673754219,0.029348140749343082,0.03981895666584174,-0.006272968866818419,-0.00406306286393876,-0.0053997388780643515,-0.003592241885420469,0.0024970711954075617,0.007123580407313666,-0.002712593375574066,-0.001391021324729952,-0.002192617956971898,-0.001207974822447541,0.0029299241899162186,0.005360134349632296,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0034210790801632376,0.002847221772335218,0.003342312735093349,0.0029542390980880763,0.0034565997641674536,0.0053367627278618785
5,-9.323308706150523e-05,-5.7555576491566825e-05,-7.47379253583587e-05,-5.477073988010538e-05,5.759109755177475e-05,0.00016001761770600517,0.03148865907837575,0.03986328918998223,0.0336841530178751,0.041903444325340336,0.013661013884407557,0.0229011555567871,-0.00377624593265332,-0.0025566377819433994,-0.003085535874680183,-0.0022149977022049433,0.001536954328995959,0.005238460996279944,-0.002960846533015161,-0.001443824071246753,-0.002218785947169213,-0.0013070701170734976,0.004215726448935699,0.0069873163085249455,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.002457840685195404,0.0022656926567915362,0.0024284807841251227,0.0024135216021954997,0.001920641028224181,0.00387431861363318
6,-6.265751052371889e-05,-4.4511106538878164e-05,-5.20219057556329e-05,-4.072791038223905e-05,3.7312746805474934e-05,0.00010570430615852985,0.018864629582832575,0.025544473665036482,0.02038012592491692,0.026966932169336114,0.006588946875926605,0.013700451130133306,-0.002442537683386224,-0.0018366854851897332,-0.0019391694612266794,-0.0015843969034201356,0.0009793729337523125,0.003543980367414998,-0.003321428085751509,-0.0017424945654606265,-0.002552580192452612,-0.0015102908305064985,0.005662930284322202,0.007715388723663243,True,True,True,False,True,True,decreasing,decreasing,decreasing,no trend,increasing,increasing,0.0017965994595323504,0.001845452190773867,0.001801337118513446,0.001990636942770099,0.0010951010961111809,0.0026682287798778987
7,-4.5438362093174706e-05,-3.940103616499602e-05,-3.696230695520531e-05,-3.7525213783808856e-05,1.984165585870863e-05,7.586744333866951e-05,0.01163509713281179,0.016516760232724692,0.012684445958150827,0.01751579783957322,0.003153719630889899,0.00818442065820789,-0.001693171066623438,-0.0014110052223353896,-0.0013315367506893886,-0.0012321680929508229,0.0005457516739211525,0.0023731097252567383,-0.0039052842941066077,-0.0023855184436794487,-0.0029139867107442646,-0.002142363946392931,0.006291509132379603,0.009269738996441308,True,True,True,False,True,True,decreasing,decreasing,decreasing,no trend,increasing,increasing,0.0013401651320043442,0.0015149379777598458,0.0013562433209615156,0.0016406515119881415,0.0006083099862063856,0.001844252424850832
8,-3.329886733715995e-05,-3.146036821063405e-05,-2.767901564208939e-05,-2.860186397219747e-05,1.059019639879403e-05,4.842742649931544e-05,0.007185189042477401,0.01051669517802198,0.007894332468545186,0.011199524488597113,0.001458329099738069,0.004813410198211467,-0.0011602057877397112,-0.0009886151898932435,-0.0009064803098403056,-0.0008609542803418007,0.0002765452481218731,0.0015657989825770798,-0.004634375955914828,-0.002991469057349938,-0.0035061882372418303,-0.0025538462817165757,0.00726187004064867,0.010060939023503496,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0009847738547206126,0.0012039079526866808,0.0010061279322333104,0.0013081508895221477,0.00033145474910397,0.0012132770890231788
9,-2.4901862781087725e-05,-2.350881352461584e-05,-2.1753685133605245e-05,-2.290265665296456e-05,4.8294845074634345e-06,3.2394081454497114e-05,0.0045728692574087985,0.006775327641362398,0.0050539298816847985,0.007247242228340587,0.0006867882772440885,0.0028289708578721393,-0.0008541586861085491,-0.0007520990300010659,-0.0006843736880613521,-0.0006596717758054569,0.00013097302385659047,0.0009890281296571746,-0.00544556631282266,-0.0034697677764095013,-0.004304310831940816,-0.0031601892045781143,0.007031984481218814,0.011450836039669527,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.000734976858016981,0.0009489972920537198,0.0007542670436657587,0.0010322785168607814,0.00017865939809427078,0.000814313653698998
10,-1.932823306694531e-05,-2.1169309900268343e-05,-1.6988545071781592e-05,-2.113429449883364e-05,1.5679174334426358e-06,1.819172893675476e-05,0.0029172967300061326,0.004289052190126775,0.0032392126045371144,0.004612926953643255,0.0003153469118492018,0.001583563910430904,-0.0006305368135866669,-0.0006020390181365213,-0.0005193977845832569,-0.0005388405625597267,4.4181898935353526e-05,0.0005826744950150941,-0.006625391537358176,-0.0049356615312350915,-0.005244652681329408,-0.004581536779406821,0.004972039917081574,0.011487840065643202,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0005362154426216526,0.0007140926252794349,0.0005514262608844508,0.0007740752137340324,9.384894598367884e-05,0.0005105669260093651
