station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
89009090001,-90,0,12584,269,327,279,245,0.021376351,0.025985378,0.022171011,0.019469167,0.005343889
89208099999,-90,0,3751,120,130,113,67,0.031991469,0.034657425,0.0301253,0.017861903,
89009099999,-90,0,1183,29,30,29,22,0.024513948,0.025359256,0.024513948,0.018596788,
89799099999,-89,89.6666666,7041,115,179,134,86,0.016332907,0.025422525,0.019031388,0.012214174,
89108099999,-89,-1.0166666,7244,116,178,103,94,0.016013252,0.02457206,0.014218664,0.012976256,
89087099999,-85.2,-87.8833333,1001,4,4,4,1,0.003996004,0.003996004,0.003996004,0.000999001,
89314099999,-84.6,-115.8166666,8085,79,81,112,60,0.009771181,0.010018553,0.013852814,0.00742115,
89873099999,-83.1333333,174.1666666,5148,268,269,301,180,0.052059052,0.052253302,0.058469308,0.034965035,
89329099999,-83,-121.3833333,3389,76,79,80,61,0.022425494,0.023310711,0.023605783,0.01799941,
89528099999,-82.7666666,28.5833333,1379,20,71,33,79,0.014503263,0.051486584,0.023930384,0.05728789,
89013099999,-82.7666666,-13.05,4703,97,144,88,84,0.020625133,0.030618754,0.018711461,0.01786094,
89332099999,-82.6166666,-137.0833333,5661,196,246,171,138,0.034622858,0.04345522,0.030206677,0.024377318,
89377099999,-82.5166666,-174.45,6178,261,314,235,188,0.042246682,0.05082551,0.0380382,0.03043056,
89345099999,-81.65,-148.7833333,6442,120,156,160,133,0.018627755,0.024216082,0.024837007,0.020645762,
89577099999,-80.37,77.37,7186,77,186,89,149,0.01071528,0.025883663,0.012385193,0.020734762,
89863099999,-80.033,-178.633,1458,49,70,54,42,0.033607682,0.048010974,0.037037037,0.028806584,
89125068201,-80.017,-119.533,1083,0,4,5,10,0,0.003693444,0.004616805,0.00923361,
89324099999,-80,-119.4,5388,213,186,268,155,0.039532294,0.034521158,0.049740163,0.028767632,
89376099999,-79.9833333,-178.6,6507,206,240,181,162,0.031658214,0.036883356,0.027816198,0.024896266,
89869099999,-79.95,165.1166666,6728,155,153,207,123,0.02303805,0.022740785,0.030766944,0.018281807,
89868099999,-79.9,169.9833333,7557,242,283,264,190,0.03202329,0.037448723,0.034934498,0.025142252,
89768099999,-78.55,166.65,4325,18,22,40,32,0.00416185,0.005086705,0.009248555,0.007398844,
89769099999,-78.4666666,168.3833333,5866,133,138,206,113,0.022673031,0.023525401,0.035117627,0.019263553,
89606099999,-78.45,106.8666666,12720,251,379,176,262,0.019732704,0.029795597,0.013836478,0.020597484,
88967099999,-77.967,-38.8,1139,37,57,44,47,0.032484636,0.050043898,0.038630378,0.041264267,
89667099999,-77.95,166.5,5379,168,163,181,100,0.031232571,0.03030303,0.033649377,0.018590816,
89872099999,-77.9,170.8166666,5707,126,140,176,84,0.02207815,0.024531277,0.03083932,0.014718766,
99999987601,-77.88333,166.73333,4340,19,36,33,28,0.00437788,0.008294931,0.007603687,0.006451613,
89664087601,-77.88333,166.73333,5741,27,35,62,40,0.004703013,0.006096499,0.010799512,0.006967427,
89674099999,-77.867358,167.056572,1505,1,2,5,8,0.000664452,0.001328904,0.003322259,0.005315615,
89034099999,-77.8666666,-34.6166666,12790,72,101,144,191,0.005629398,0.007896794,0.011258796,0.014933542,
89664099999,-77.85,166.667,7571,25,38,56,51,0.003302074,0.005019152,0.007396645,0.00673623,
89866099999,-77.4333333,163.75,11282,51,105,66,35,0.004520475,0.00930686,0.005850027,0.003102287,
89734099999,-77.3166666,39.7,2021,48,81,45,45,0.023750619,0.040079169,0.022266205,0.022266205,
89666099999,-76.7166666,162.9666666,7225,15,42,19,20,0.002076125,0.005813149,0.002629758,0.002768166,
89578099999,-76.42,77.02,6826,27,30,29,18,0.003955464,0.00439496,0.004248462,0.002636976,
89865099999,-76.1333333,168.3833333,2711,13,16,16,8,0.004795278,0.005901881,0.005901881,0.002950941,
89568099999,-76.05,65.0166666,2868,20,35,30,18,0.006973501,0.012203626,0.010460251,0.006276151,
89083057801,-75.917,-83.917,2037,31,55,60,74,0.015218459,0.027000491,0.029455081,0.036327933,
89257099999,-75.8666666,-59.15,6775,212,248,283,213,0.031291513,0.036605166,0.041771218,0.031439114,
89022099999,-75.61,-26.2722222,15034,362,275,489,320,0.024078755,0.018291872,0.032526274,0.021285087,
89020099999,-75.58,-26.17,1967,43,49,71,37,0.021860702,0.024911032,0.036095577,0.018810371,
89648099999,-75.5333333,145.8666666,3733,35,51,25,34,0.009375837,0.013661934,0.006697027,0.009107956,
89828099999,-75.1166666,123.3666666,10881,291,406,250,302,0.026743865,0.037312747,0.022975829,0.027754802,
89625099999,-75.1,123.4,4717,128,171,111,90,0.027135891,0.036251855,0.023531906,0.019079924,
89268099999,-75.017,-62.533,1303,31,38,58,40,0.023791251,0.029163469,0.044512663,0.030698388,
89507099999,-75,0,4856,206,200,233,153,0.042421746,0.041186161,0.047981878,0.031507414,
89864099999,-74.95,163.6833333,8443,28,40,45,34,0.003316357,0.004737652,0.005329859,0.004027005,
89272099999,-74.8,-71.4833333,7520,153,151,280,204,0.020345745,0.020079787,0.037234043,0.02712766,
89132099999,-74.7666666,-136.8,2950,20,23,51,62,0.006779661,0.00779661,0.017288136,0.021016949,
89662099999,-74.7,164.1,5475,28,46,33,29,0.005114155,0.008401826,0.006027397,0.005296804,
89861099999,-74.483,160.483,1091,8,29,16,14,0.007332722,0.026581118,0.014665445,0.012832264,
89860099999,-74.233,160.283,1931,28,50,39,36,0.014500259,0.02589332,0.020196789,0.01864319,
89744099999,-74.0166666,43.05,5140,101,139,103,74,0.019649805,0.027042802,0.020038911,0.014396887,
89757099999,-73.8333333,55.6666666,2193,7,15,7,14,0.003191974,0.006839945,0.003191974,0.006383949,
89659099999,-73.6333333,160.65,5643,77,125,79,96,0.013645224,0.022151338,0.013999646,0.017012228,
