year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.005489892139766195,0.005909265044560583,0.006805855226046054,0.007204237115144439,1.6432878538204162e-05,0.0005231133001328324
1971,0.006695633478698245,0.007280278237112024,0.008302805354779376,0.008885342838893485,1.0955252358802772e-05,0.0006043647551272863
1972,0.007765653712998524,0.007449796904957182,0.009626574596185631,0.009142809481269465,2.556225550387314e-05,0.0004080831503654034
1973,0.006798087871894848,0.007002465806509836,0.00843142892889048,0.008562027950385541,4.564688482834489e-06,0.0005158097985602972
1974,0.006902842622797076,0.007756806183361512,0.008561808456231768,0.00948039148977267,2.7388130897006935e-06,0.0005879318765890822
1975,0.0071187223459401785,0.007638072335632806,0.008829371829681316,0.009405543983336003,3.651750786267591e-06,0.0002866624367220059
1976,0.0079484436752992,0.008483365317152972,0.009857701940108824,0.010380098026089078,7.303501572535182e-06,0.0005943224404650505
1977,0.006218043828892315,0.006493378951196142,0.0077064397389775535,0.007925055916135675,2.738813089700693e-05,0.0005386332409744697
1978,0.0064701984235471695,0.007370346088816811,0.008024925756102485,0.009069059445601666,3.651750786267591e-06,0.00030492119065334385
1979,0.008100267283870335,0.008827003368254533,0.010044710959123605,0.010788357152107254,1.278112775193657e-05,0.0006691833315835362
1980,0.006231492073940574,0.006600080158618511,0.0077281696602011,0.008045119218249623,6.390563875968285e-06,0.000589757751982216
1981,0.007640018792152949,0.00789199643621506,0.009474465147620792,0.009650938447254457,1.0042314662235875e-05,0.0005760636865337125
1982,0.007200827420971654,0.00706953008115839,0.008927046728110398,0.00866497070850518,2.0997567021038645e-05,0.0004336454058692765
1983,0.006895410697901986,0.007271961559253232,0.008552809195927068,0.00887875801428029,1.8258753931337956e-06,0.0005888448142856492
1984,0.007364683669849122,0.007543226817924034,0.009135346680041175,0.009265287219074918,0.0,0.0003806950194683963
1985,0.008252444793626947,0.009946038916743859,0.010235890367060073,0.012185876429181309,2.7388130897006935e-06,0.0006299270106311594
1986,0.006841794668301689,0.007631171262515937,0.008484985502411143,0.009317746321826718,7.303501572535182e-06,0.0006162329451826559
1987,0.006769952727649149,0.006845156729563755,0.008391042004596207,0.008362068776298142,2.7388130897006937e-05,0.000535894427884769
1988,0.006769598826463669,0.006901073116869673,0.008395651381825445,0.008420893209509365,6.390563875968285e-06,0.0005797154373199801
1989,0.007627809201253872,0.007702305400797516,0.009457125109472709,0.009476440595004753,1.9171691627904856e-05,0.00032317994458468184
1990,0.007371938644151474,0.007508013649968724,0.009142150998808147,0.009153784188958127,9.129376965668979e-06,0.0006627927677075678
1991,0.0065183289847725165,0.006952919640542566,0.008082872212698617,0.008461938616264956,1.0955252358802774e-05,0.0006764868331560714
1992,0.007217283826096497,0.0069768079705625,0.008951630073332996,0.008556760090694983,3.651750786267591e-06,0.0004053443372757027
1993,0.006502934283204115,0.005999509846858109,0.008063556727166571,0.007316618121876324,1.1868190055369673e-05,0.0005212874247396988
1994,0.008388873700629677,0.009442083628619634,0.010402266935620168,0.01155439174877577,1.4607003145070365e-05,0.0006564022038315993
1995,0.008140788969607852,0.008669871241901193,0.010095194614491442,0.010660611554611244,1.1868190055369672e-05,0.0003898243964340654
1996,0.006706604415448141,0.0067097895261174646,0.008315097027390675,0.008210837304348398,1.6432878538204162e-05,0.0004665111629456848
1997,0.007880494647686946,0.008177240791712342,0.009770782255214633,0.009985447537604837,1.8258753931337957e-05,0.0006564022038315995
1998,0.007101558138444374,0.006581146445195305,0.00880303253122853,0.00796785727612145,2.464931780730624e-05,0.0008134274876411059
1999,0.006231138172755095,0.006608396836477303,0.0077200483765114914,0.008089896025619358,3.834338325580971e-05,0.00044642653362121306
2000,0.005924305844943504,0.005668966139619326,0.0073475667975583464,0.006901554677091175,4.564688482834489e-06,0.0005422849917607373
2001,0.005584914608067708,0.005519796789939297,0.006925699034006228,0.006772711608826299,8.21643926910208e-06,0.00030857294143961145
2002,0.006946903320389397,0.007249665784567962,0.008615365029752431,0.008878319025972744,7.303501572535182e-06,0.00047564053991135374
2003,0.006359604303084514,0.006383669583697188,0.007884668991841403,0.007721365341434131,1.6432878538204162e-05,0.0008198180515170742
2004,0.0059726133567615915,0.0069171756208090355,0.007399806406156373,0.00842133219781691,3.6517507862675914e-05,0.0006609668923144341
2005,0.0052536630984579644,0.005359656503509372,0.006508440647683349,0.006476833489540006,3.4691632469542115e-05,0.0007130043410187473
2006,0.006242816911875951,0.006229722568013171,0.007740461332812401,0.0075743042584060765,1.3694065448503465e-05,0.0006372305122036947
2007,0.006075952502921896,0.00637836106591498,0.007535014804880671,0.0077681175961878245,7.303501572535182e-06,0.0005979741912513182
2008,0.006132753643191517,0.005699224690977909,0.007605252934088099,0.006958184168764665,8.21643926910208e-06,0.00046285941215941725
2009,0.005150323952297659,0.00536478807069884,0.006388157851415627,0.006533023992905948,1.8258753931337956e-06,0.0005057674838980614
2010,0.005932091671024075,0.005291353574711637,0.007354151622171544,0.006438641506783467,1.7345816234771058e-05,0.0005194615493465649
2011,0.005917404771826634,0.005652686685087224,0.007339226019714964,0.006891238451863835,3.651750786267591e-06,0.0005012027954152269
2012,0.005352578479799763,0.006027644991103809,0.006637942198409545,0.00736556531816775,6.390563875968284e-06,0.00046285941215941715
2013,0.006258211613444351,0.00635606529122971,0.0077593378300368976,0.007717633940819987,1.4607003145070365e-05,0.0006929197116942755
2014,0.004948600276573776,0.005641538797744587,0.006135300586268885,0.006888385027864782,1.278112775193657e-05,0.000455555910586882
