year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.007223107973359923,0.0076768850946746505,0.008924565154274554,0.009263731622984137,5.835116285531691e-05,0.0009947483953430215
1971,0.007477991009774069,0.00823997397846825,0.009239976773035605,0.010015308681077943,5.835116285531691e-05,0.0007641223707243879
1972,0.006577368732570106,0.006647221614934653,0.008128117824055743,0.007909045318974845,4.723665564478035e-05,0.0013337408652643863
1973,0.007063672768573669,0.00792483616566331,0.008735846068572332,0.009519756116873864,2.2229014421073107e-05,0.00120870265914585
1974,0.006452593354911299,0.007063139540464015,0.007982289439649484,0.008568902261989602,1.1114507210536554e-05,0.0007224429686848759
1975,0.006805057135391949,0.007586236316033636,0.008408557024837015,0.009115263810805819,5.279390925004863e-05,0.001147572869487899
1976,0.006329950889691101,0.007008217045169752,0.007814685776123735,0.008399319027634808,7.780155047375588e-05,0.0011503514962905332
1977,0.006894639457813659,0.006722940006505383,0.008527991131522685,0.008119539683796553,1.667176081580483e-05,0.0008419239211981439
1978,0.0067863941515540925,0.007406005214970913,0.008390740887375616,0.008925225011217569,3.056489482897552e-05,0.0010086415293561921
1979,0.0068605128587958635,0.006962892655849246,0.008475862433024521,0.008460025866392166,5.8351162855316896e-05,0.0006585345522242908
1980,0.005843646853687538,0.0069319654254893694,0.007224113812125532,0.008333333333333335,3.056489482897552e-05,0.001030870543777265
1981,0.0068167881538043155,0.007716343974788975,0.00842307387758334,0.009269670335471268,5.279390925004863e-05,0.0011753591375142404
1982,0.006177447650330335,0.0061966438622778446,0.007640483543167841,0.007410193470055692,1.667176081580483e-05,0.0010864430798299479
1983,0.0067591995179617885,0.0061241248393650305,0.008348510043022672,0.007358064771557526,6.668704326321932e-05,0.0009280613520798022
1984,0.007231106395004719,0.007746204748929543,0.008942381291735952,0.009358751022778262,2.5007641223707242e-05,0.0009558476201061436
1985,0.006984221780235368,0.007540911926713128,0.008636207670177105,0.009160793939873835,2.7786268026341384e-05,0.0007196643418822418
1986,0.006942629987682431,0.00791737097212817,0.00858803811333703,0.009505239264127536,1.389313401317069e-05,0.0012309316735669232
1987,0.007247636466403964,0.00741986914582189,0.008964156570855438,0.00897009528334257,1.945038761843897e-05,0.0008919392036455582
1988,0.006584833926105249,0.007064739224792975,0.008145274104574128,0.00857154168976166,1.3893134013170692e-05,0.0007196643418822418
1989,0.006534710483797864,0.00715218863477607,0.00808324755193074,0.008570881832818645,1.389313401317069e-05,0.0011781377643168747
1990,0.00673467102491775,0.007219375376592351,0.008329374191675244,0.0086896560825613,1.945038761843897e-05,0.0010280919169746313
1991,0.006142787823202888,0.006514981043740703,0.007589674558555706,0.007802148494206456,5.0015282447414484e-05,0.0010947789602378504
1992,0.006757066605523177,0.007079669611863258,0.008351149470794732,0.008526671417636656,4.4458028842146214e-05,0.0009864125149351192
1993,0.007598500562555655,0.007068471821560544,0.009392403726872013,0.008487739857998784,4.4458028842146214e-05,0.0010920003334352162
1994,0.006834384681422867,0.007076470243205341,0.00844946815530393,0.008568242405046585,3.334352163160966e-05,0.0007946872655533635
1995,0.007489722028186437,0.008122130566234929,0.009265711193813182,0.009703196347031965,1.1114507210536554e-05,0.0014643363249881905
1996,0.007661954707604365,0.00845486490665842,0.009475545701691875,0.010138042072478688,2.5007641223707246e-05,0.001367084386895996
1997,0.007739272783504054,0.008302361667297652,0.009569905244542981,0.010031145247710295,3.056489482897552e-05,0.0010225346633693628
1998,0.006818387838133276,0.0070092835013890594,0.008429012590070471,0.00847322300525246,3.6122148434243796e-05,0.000844702548000778
1999,0.005828183238507601,0.006221172355321883,0.007209596959379206,0.007460342597724812,1.1114507210536554e-05,0.0010030842757509238
2000,0.006881308755072332,0.006790659976431317,0.008511494707947317,0.00818024652255391,1.667176081580483e-05,0.0009391758592903386
2001,0.006373142366572996,0.006812522328927092,0.007878691899596167,0.008163090242035528,3.334352163160966e-05,0.001125343855066826
2002,0.0063992705439459945,0.006577368732570106,0.007908385462031832,0.007821284345553882,4.4458028842146214e-05,0.0013392981188696546
2003,0.0061358558577773985,0.006630691543535409,0.00758901470161269,0.007954575448042863,1.6671760815804827e-05,0.0010558781850009726
2004,0.006392338578520505,0.0070754037869860354,0.007907065748145802,0.008568902261989602,1.3893134013170692e-05,0.000786351385145461
2005,0.007082868980521176,0.007784063944714909,0.008762240346292924,0.009490062554438199,1.1114507210536554e-05,0.0006001833893689738
2006,0.006564571257938433,0.006899971738910189,0.008121519254625597,0.008289122918151343,8.335880407902415e-06,0.0010503209313957043
2007,0.006294224606344348,0.006687746951268283,0.0077863119275741015,0.007968432443846174,1.1114507210536554e-05,0.0012948400900275082
2008,0.006748534955768728,0.007025280344678649,0.008347850186079657,0.008494998284371948,1.389313401317069e-05,0.0008363666675928757
2009,0.006167316316246928,0.006483520585271174,0.007626626547364531,0.0077856520706310875,2.2229014421073107e-05,0.0010003056489482898
2010,0.006292091693905737,0.007517983117998049,0.007768495790112704,0.009064454826193682,7.502292367112173e-05,0.0010058629025535579
2011,0.0064104683342487085,0.00697409044615196,0.007928181170322275,0.008372924749914218,1.945038761843897e-05,0.001083664453027314
2012,0.006385939841204668,0.006521913009166192,0.007889249610684403,0.007726264945759758,5.557253605268277e-05,0.0014504431909750201
2013,0.00676986408015485,0.007469459360019624,0.008374904320743263,0.008895531448781904,1.1114507210536554e-05,0.0014643363249881908
2014,0.005683145192681978,0.005856977556428865,0.007028136300050149,0.00705321086388471,1.945038761843897e-05,0.0008196949067770708
