year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.004541375539472256,0.006522292621438648,0.005624791494798038,0.007949188090441473,1.1893049053421413e-05,0.0005568109329556389
1971,0.004450385247885936,0.006161253161703938,0.0055066062206314765,0.007525324492281751,3.459796088268048e-05,0.00045842298169551627
1972,0.003455961533645539,0.004655948177272462,0.004274065702736881,0.005710391769960251,3.567914716026424e-05,0.00024759165756668217
1973,0.0035158565191622214,0.004989022730877431,0.004352166255906032,0.006023569815946478,1.946135299650777e-05,0.0006638483744364316
1974,0.003828896513151854,0.006127236149023733,0.004740600132926108,0.00748239504914904,1.7298980441340243e-05,0.0004616665405282676
1975,0.0036055946507725822,0.005413504962727371,0.004462593196976319,0.006495535079303095,2.2704911829259062e-05,0.0008898163064514385
1976,0.004009416243019208,0.005070204435985408,0.004957057626312128,0.006142530923422667,4.757219621368565e-05,0.0005870841487279843
1977,0.003691576302455068,0.004908258412428105,0.004573795971356234,0.005941331485125982,3.2435588327512953e-06,0.0005892465212831518
1978,0.0033862579616505137,0.004188057732922625,0.004189499871987503,0.005086880400123099,2.8110843217177892e-05,0.0004303121384783384
1979,0.003822635713272061,0.005523277653953069,0.0047310315221073705,0.006721302572404643,2.4867284384426595e-05,0.000514644668129872
1980,0.0038224270199427343,0.005259697979013799,0.0047354279108619245,0.006398297304496472,5.405931387918824e-06,0.0004995080602436993
1981,0.00412357149416076,0.006069010710141661,0.0051034315107284815,0.007322573387365813,2.7029656939594122e-05,0.0008281886886291639
1982,0.00418367517300677,0.005756805489469334,0.005176618452936658,0.007006292008141077,3.243558832751295e-05,0.0005330248348487961
1983,0.003631890010267712,0.004910554039050696,0.004498281529219175,0.005988915928116458,9.730676498253885e-06,0.00040220129526116055
1984,0.0046311136710826175,0.006040211030694615,0.005731856491526607,0.007383346996619951,2.9192029494761652e-05,0.00042490620709041964
1985,0.004342490796624176,0.0054360438422946245,0.005380662613368644,0.006633633408416758,2.16237255516753e-06,0.0004292309522007547
1986,0.0035073000926598382,0.005109438781898776,0.004344407922809758,0.006241837587054963,7.568303943086355e-06,0.00037517163832156644
1987,0.00420934445251392,0.006413146010200931,0.00521359984069556,0.007839019760474396,1.0811862775837648e-05,0.0004519358640300137
1988,0.00424899618508594,0.005766614075947677,0.005259115394860363,0.007048445617964161,2.5948470662010362e-05,0.0004076072266490793
1989,0.003515647825832895,0.0055547903466813585,0.004350355978183567,0.006775352292975347,2.5948470662010362e-05,0.0004519358640300137
1990,0.003714323875351648,0.004868606679856085,0.004599398470573936,0.005891160931103415,1.4055421608588946e-05,0.0005935712663934869
1991,0.003448448573789787,0.004559949245782308,0.004270962369498372,0.005552121774796279,9.730676498253885e-06,0.00041193197175941446
1992,0.003954738590735686,0.005178933660564473,0.004896801239264406,0.0063406270284808415,1.6217794163756472e-05,0.00032219351071996195
1993,0.0038789829121901953,0.005323975524446336,0.004801115131077038,0.006500707301367276,2.378609810684283e-05,0.0004043636678163281
1994,0.003287546016879116,0.004603983538270182,0.004072349042233779,0.005610050661915118,6.4871176655025905e-06,0.0003978765501508254
1995,0.002670857228719541,0.004438281034785004,0.0033016879546706457,0.005289631505039038,3.3516774605096715e-05,0.0008790044436756008
1996,0.0035615603582847075,0.005308740911405507,0.004409836531921661,0.006404762582076698,1.513660788617271e-05,0.00072655717853629
1997,0.004427220288330703,0.005649119731536901,0.0054771245548656386,0.00684388423532576,3.7841519715431775e-05,0.0006541176979381778
1998,0.0039993989632115395,0.005487173707979597,0.004955764570796082,0.006686648684574623,1.081186277583765e-06,0.0004724784033041053
1999,0.004102284774569466,0.005953185912365496,0.005081449566955708,0.007266196166866227,8.64949022067012e-06,0.0004638289130834352
2000,0.004082876294942109,0.0053352449642299635,0.005057657345460469,0.006500190079160859,7.568303943086355e-06,0.00046491009936101894
2001,0.004423463808402828,0.005796457222041355,0.005475314277143175,0.00702879117412027,2.5948470662010362e-05,0.0006443870214399239
2002,0.003467230973429165,0.004643426577512876,0.004292944313271145,0.0056149642728760924,1.513660788617271e-05,0.0005816782173400655
2003,0.0035273346522751744,0.004865476279916189,0.004368975977614623,0.005922711485694926,8.64949022067012e-06,0.00044544874636451114
2004,0.003906739124990608,0.00567019775779887,0.004836544852216685,0.00690414062237348,1.946135299650777e-05,0.0005114011092971208
2005,0.003837661632983563,0.0051449166478842664,0.004750168743744844,0.006197097866199787,2.2704911829259062e-05,0.0007460185315327978
2006,0.004179292613090916,0.005765153222642391,0.005174808175214194,0.006994913119599876,1.729898044134024e-05,0.0006238444821658322
2007,0.0034104663878523787,0.00438193383586687,0.00421975737106297,0.005315751226463158,2.7029656939594122e-05,0.0004778843346920241
2008,0.003947434324209261,0.004899075905937742,0.004884646517413578,0.005995381205696685,2.9192029494761652e-05,0.0003157063930544594
2009,0.0033870927349678196,0.004872571853113287,0.004193896260742059,0.005930211207687991,1.4055421608588946e-05,0.00045085467775243
2010,0.004320577997044902,0.005669989064469543,0.005353508447531687,0.006938535899100292,2.16237255516753e-06,0.00036652214810089633
2011,0.003731019341697762,0.004792851001310595,0.004622932080965964,0.005868403154021015,2.16237255516753e-06,0.0002962450400579516
2012,0.003725593315135275,0.005722997170118454,0.004616725414488946,0.0069703450647950116,0.0,0.0005081575504643695
2013,0.0038105315001711283,0.005109230088569449,0.004715256244811615,0.006179253700078359,2.8110843217177892e-05,0.0006357375312192538
2014,0.002992662342540883,0.004559323165794328,0.003700466275819086,0.005527812331094624,3.3516774605096715e-05,0.0005103199230195371
