year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.00742322172414081,0.009015760520230731,0.00919595221901257,0.011056141884395665,1.1893049053421414e-05,0.0004854526386351105
1971,0.007084929837302681,0.009010125800338917,0.008778295287329865,0.010923474388449393,5.405931387918824e-06,0.0010109091695408201
1972,0.006805489469334601,0.00870084228627716,0.008425549742552647,0.010630468008513477,3.243558832751295e-05,0.0006335751586640861
1973,0.007060304024442163,0.00825006469493209,0.008745710288325518,0.010024024971488125,1.4055421608588944e-05,0.0008335946200170828
1974,0.007932642141026604,0.00967710968086616,0.009827997755255623,0.011832492416229396,8.64949022067012e-06,0.0006660107469915992
1975,0.007514212015727129,0.009585284615962534,0.009304310271257185,0.011696204364838201,3.027321577234542e-05,0.0007600739531413867
1976,0.006111792842653577,0.008034484485737898,0.0075682539354144625,0.009803946922657177,2.2704911829259062e-05,0.0006368187174968376
1977,0.007625862946916764,0.010113070045829054,0.009447322211331821,0.012431952953468103,1.0811862775837648e-05,0.000418419089424917
1978,0.0070868080772666184,0.009605945255565851,0.008778036676226656,0.011832751027332607,1.6217794163756472e-05,0.0002962450400579516
1979,0.008183700216206288,0.010131226365480455,0.010138072468003342,0.012406867676456823,1.2974235331005181e-05,0.0006173573645003297
1980,0.007078877730752215,0.008817710550699959,0.008770795565336803,0.010734946894209956,5.405931387918825e-06,0.0008022402179671535
1981,0.007700575158815623,0.008779102284774569,0.009537060264145381,0.010683224673568133,2.2704911829259062e-05,0.0008184580121309101
1982,0.00650872755503243,0.008286377334234887,0.008055218642757208,0.010094367191561001,4.324745110335059e-05,0.0007276383648138738
1983,0.006280208359419998,0.008778684898115917,0.007779539206736301,0.010634088563958406,1.1893049053421414e-05,0.001021721032316658
1984,0.00742969121734993,0.009536241683570826,0.009203451941005636,0.011603362978786131,1.4055421608588946e-05,0.0008941410515617735
1985,0.007026495705091282,0.009265357742105131,0.00870484973401848,0.011383026318851972,9.730676498253885e-06,0.00041193197175941446
1986,0.006883749467832009,0.009072316412478191,0.008527442517217034,0.011117174104753012,1.1893049053421414e-05,0.0005232941583505422
1987,0.00818891754943945,0.010927391416860752,0.010140658579035431,0.013369935424807529,2.9192029494761652e-05,0.0007157453157604523
1988,0.00800985867287738,0.010623116542702827,0.009915666919243511,0.013004000713766645,4.2166264825766835e-05,0.0006692543058243505
1989,0.007339327005751588,0.009329426594208342,0.009092507777728928,0.011394922429599592,9.730676498253885e-06,0.0006941215902087772
1990,0.007364996285258738,0.009305218168006477,0.009123282499010813,0.011356647986324644,1.4055421608588946e-05,0.0007287195510914576
1991,0.007738974731411685,0.009937350262536209,0.009584127484929436,0.01212084379630755,2.4867284384426595e-05,0.0008087273356326562
1992,0.008471279624018098,0.010309241775395892,0.010494438568225488,0.012579361282297294,1.2974235331005181e-05,0.0008184580121309101
1993,0.006079027989949331,0.008466270984114264,0.007531013936552352,0.01034625440608667,8.64949022067012e-06,0.0006065455017244921
1994,0.006538779394455437,0.009132002704665548,0.00810073419692201,0.011123380771230032,8.64949022067012e-06,0.0008065649630774887
1995,0.00830265541392235,0.010769827953219303,0.010286515241245369,0.013114427654836933,8.64949022067012e-06,0.0009676617184374694
1996,0.008210204269030744,0.01086102693813495,0.010168588578182017,0.01322537181811364,2.2704911829259062e-05,0.0009763112086581397
1997,0.006887923334418538,0.008338968053225147,0.008531580294868378,0.01018151913334247,1.6217794163756476e-05,0.0006357375312192537
1998,0.006254330386583522,0.007566176654729408,0.007747988652144792,0.009248967495170438,9.730676498253885e-06,0.0005308624622936286
1999,0.005914368953110784,0.008276777441085873,0.007324642276191486,0.010086350247361521,1.8380166718924006e-05,0.0007114205706501174
2000,0.006033115457497516,0.007289866686701227,0.007470498938401422,0.008808035564198914,2.3786098106842832e-05,0.000942794434053043
2001,0.005906438606596378,0.008177439416326497,0.0073155908875791684,0.009994801916825497,1.5136607886172708e-05,0.000579515844784898
2002,0.006328207825165076,0.008876770762899335,0.007832554482894168,0.01085468383499577,3.892270599301554e-05,0.0006076266880020759
2003,0.006707612297880511,0.008884909802743066,0.008310985023831012,0.010800634114425067,4.32474511033506e-06,0.0008757608848428495
2004,0.007076999490788277,0.009097568305326688,0.008768209454304711,0.011130621882119888,6.4871176655025905e-06,0.0005978960115038221
2005,0.005547068693496282,0.007329727112602572,0.006869745345646669,0.00894535806000295,1.729898044134024e-05,0.000575191099674563
2006,0.007122285943252109,0.008280742614343075,0.00882070750825616,0.010121521357397958,2.1623725551675296e-05,0.0005849217761728168
2007,0.005567311946440944,0.007165485462422679,0.006893796178245117,0.008717263066972517,2.16237255516753e-05,0.0006779037960450206
2008,0.006389563663987044,0.007510246842469927,0.0079072930917216,0.009195434996806154,4.432863738093437e-05,0.00046491009936101884
2009,0.004986935797584165,0.007263362633876769,0.0061787364778719414,0.008805190842063612,4.32474511033506e-06,0.0008173768258533262
2010,0.006425667609960515,0.00810377067107427,0.007953067256989611,0.009773948034684921,4.000389227059931e-05,0.0011211901698543643
2011,0.005610511465611512,0.007463708230030135,0.006943708121164474,0.008982856669968267,3.676033343784801e-05,0.0011125406796336941
2012,0.005953185912365497,0.008302864107251676,0.007373778385801215,0.010108332191134295,1.4055421608588944e-05,0.0007546680217534678
2013,0.006025811190971091,0.008045336538862871,0.007465585327440447,0.009821273866572186,6.487117665502589e-06,0.0006206009233330811
2014,0.006973070212783718,0.008447488584474886,0.008639421124906576,0.01034651301718988,6.4871176655025905e-06,0.0005081575504643695
