Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-0.00022206537289408193,-0.0002293917849044915,-0.00022950245003263982,-0.00020607803700359702,-0.0001705070669159777,-0.00028876719146550236,0.34108807860379964,0.3149404664439297,0.34995284089560214,0.32517436652955733,0.3053345300547418,0.2736648821120128,-0.009018058947590835,-0.009130228418866848,-0.00970145353812607,-0.008191665451687091,-0.006261777293715243,-0.01291566061758892,-0.0006510499393677964,-0.0007283655463351871,-0.0006558096497953704,-0.0006337462549799883,-0.0005584270697631493,-0.0010551854123077,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.0037252059640921842,0.003692490079775007,0.0038878747182506442,0.0032664752086553673,0.004742802435347661,0.006092020859414811
2,-0.00026415603818560034,-0.00022746970969724937,-0.000280380450088793,-0.00023199558803952287,-0.0001938704723530397,-0.00018073541217557686,0.21254117373757123,0.20141511197441508,0.22447563683261107,0.21334174882227772,0.1644068423669457,0.15331234559100498,-0.011072720382960227,-0.009470159458394106,-0.011709326605516185,-0.009515403193600086,-0.008505146573808409,-0.009287681459550945,-0.0012428464261318092,-0.0011293577103893967,-0.0012490462396944641,-0.0010874364221734423,-0.0011792117016658774,-0.0011788705696130241,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.004557191125835372,0.0038713855677556773,0.004716161973336808,0.0038275074976049867,0.005719874014712853,0.00524497679448509
3,-0.00022343292091798727,-0.00019054715956269563,-0.00024531458109265506,-0.00021260436004231953,-0.000115929295046939,-6.7724183449231e-05,0.13053658585462116,0.13071413076554034,0.14137165335285254,0.14079941501998094,0.08683636027851442,0.09003794697710032,-0.009271315978755107,-0.007681350398036468,-0.010149964818418677,-0.008602014541720326,-0.005727530718372731,-0.003968108116399999,-0.0017116497988297697,-0.001457739560724898,-0.0017352458945950723,-0.0015099804215248246,-0.0013350317156904483,-0.0007521737858644815,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,decreasing,decreasing,0.003914540417917006,0.0032813579320252876,0.004233067830762147,0.0036179518014694857,0.004376008047394943,0.0034752953612053263
4,-0.00016986308142645455,-0.00015012692551101108,-0.00019281340841075087,-0.00017813018724570495,-4.197907736081399e-05,-2.321979496043498e-06,0.08011696794792571,0.0862611006903218,0.08875122501632295,0.09397606036639798,0.04529309798748069,0.05514496060073485,-0.006931885786502917,-0.0060399885404517906,-0.007926894575697466,-0.007361888521929816,-0.00291879509324168,-0.000708473310936944,-0.0021201885914711835,-0.001740378041893625,-0.002172515459649025,-0.0018954847282510372,-0.0009268316636768207,-4.210683026605618e-05,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.003048791050942412,0.0027273397093208226,0.0034694007734033536,0.003246885669787947,0.0029084490971024598,0.0023828258239854943
5,-0.00012389731000975437,-0.00011762979786652255,-0.00014863204829798174,-0.00014859605639328964,-1.2895836209590034e-05,2.083968949544446e-05,0.04950539742967317,0.057793446743179946,0.05599547269415834,0.06350007675190412,0.02332948730172905,0.03477734474830696,-0.005084980474067698,-0.004776608908376438,-0.00605127382680519,-0.0061536655404334645,-0.0011877054922354024,0.0007773653019169727,-0.0025027030675950344,-0.0020353483741719163,-0.002654358310533337,-0.002340092547822532,-0.000552769807703158,0.0005992317598214275,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.002334986626314241,0.0022927900973700984,0.002777246423889893,0.002854237795581212,0.0018338987042274828,0.0017904829935273471
6,-9.209436305172153e-05,-9.215943014194048e-05,-0.0001137490253751124,-0.00012189435383162343,4.003742962770032e-06,3.008346670621669e-05,0.030908888305101544,0.039187475443682944,0.03563779489977067,0.043364377148043365,0.011836161259412878,0.022341106307582015,-0.003736256669497704,-0.0037557572038702525,-0.004588501011074296,-0.005006099408569067,-0.00029896659456863164,0.0012871496724907554,-0.002979543040909733,-0.002351757266792665,-0.00319180874391991,-0.0028109328865830005,0.0003382636375950013,0.0013465522383735808,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0018107537415444248,0.0019250198505512959,0.0022236366509691013,0.002447906929629144,0.001107913940192358,0.0014121127066236401
7,-7.014232325408097e-05,-7.263736799604277e-05,-8.976691409988875e-05,-9.81215551968575e-05,7.647083819762068e-06,2.9925805478424935e-05,0.01955628493112433,0.026847909118499984,0.02293774096835169,0.029905795645040978,0.00591812424346418,0.01451477588995372,-0.0027682875290044734,-0.0029784198827224988,-0.003463794666345492,-0.004039002744797255,3.68467072665692e-05,0.0012991455613677177,-0.003586689573255688,-0.0027055130317761252,-0.003913502825921023,-0.0032810213900170268,0.0012921465493407485,0.002061747677353932,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0014217170338269402,0.0016176881836347306,0.001776262886637977,0.0020739018273634737,0.000647681431400598,0.0011205275493906754
8,-5.306330055499997e-05,-5.678104069443726e-05,-6.935737091106673e-05,-7.8647474216025e-05,6.4854159103166515e-06,2.6519044624087433e-05,0.012541037684320239,0.018537699260244754,0.014927753898717018,0.020783137650158684,0.002914882889039435,0.009481349203126457,-0.002070254751445632,-0.0023328724454757116,-0.0026163724303182884,-0.0031929662193428826,0.00013235873127878965,0.0011360761273629984,-0.004231173040915406,-0.0030630036606650386,-0.004646202729603395,-0.003784196377846947,0.002224931895103972,0.0027969695088693527,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.001121356239066255,0.0013456606217785731,0.0014123547266148805,0.0017266853975736764,0.0003688660126746644,0.0008827206831689072
9,-4.0938761854063316e-05,-4.5093525355266685e-05,-5.315165691513324e-05,-6.151599863922497e-05,4.048058551122221e-06,2.183394949045653e-05,0.008164688456381592,0.012887819493072305,0.009837616586763843,0.014542817059630156,0.0014173990018163862,0.006212847971363653,-0.001562203606100399,-0.0018268074186351888,-0.0019779452688696905,-0.0025100619322611963,0.0001145745447851702,0.0009289092740595402,-0.0050141241852363905,-0.003498925895067523,-0.005402899822976113,-0.004229991918827686,0.0028559767192827597,0.003514322190257009,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0008865949333730902,0.001114583498076955,0.0011182878959474828,0.0014274629410118438,0.00020661124866529605,0.0006914422014971216
10,-3.164074722756052e-05,-3.662179020898007e-05,-4.0572440729648486e-05,-5.00592698712601e-05,2.4757073875833347e-06,1.706150151439998e-05,0.005385477305481045,0.009003620689751284,0.0065528516097950185,0.01022831075087222,0.0006771983364208394,0.004064174586574108,-0.0011901482426660897,-0.0014291407777050884,-0.0015056537752055604,-0.0019642580489752995,8.235540760966e-05,0.0007291056262048396,-0.005875198321856876,-0.004067451469903238,-0.0061915701965541145,-0.004894187426500636,0.0036558084307590894,0.0041980237686545735,True,True,True,True,True,True,decreasing,decreasing,decreasing,decreasing,increasing,increasing,0.0006971508660173699,0.0009137800003423721,0.0008787696890241048,0.0011671919834300012,0.00011361592963305436,0.0005285530768153727
