station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
6272099999,52.617,5.85,1000,0,1,0,3,0,0.001,0,0.003,0.0058538
71627699999,45.15,-72.583,1000,23,20,37,52,0.023,0.02,0.037,0.052,
99646099999,53.62,-131.1,1001,0,0,0,0,0,0,0,0,
16249099999,41.2166667,13.05,1001,0,0,32,29,0,0,0.031968032,0.028971029,
89087099999,-85.2,-87.8833333,1001,3,2,4,1,0.002997003,0.001998002,0.003996004,0.000999001,
71032899999,50.78,-128.43,1002,0,0,0,0,0,0,0,0,
84746199999,-15.8263,-70.0121,1002,0,0,1,0,0,0,0.000998004,0,
72804599999,48.967,-56.067,1004,20,22,46,69,0.019920319,0.021912351,0.045816733,0.0687251,
6903099999,46.8166666,9.85,1005,0,10,0,10,0,0.009950249,0,0.009950249,
72768599999,48.421106,-106.527703,1006,10,23,15,14,0.009940358,0.022862823,0.014910537,0.013916501,
40419099999,26.4,50.1333333,1006,0,5,7,13,0,0.004970179,0.00695825,0.012922465,
61705099999,13.2166666,-16.2,1006,0,0,0,3,0,0,0,0.002982107,
41216199999,24.073981,52.463644,1006,0,12,0,17,0,0.011928429,0,0.016898608,
47811043285,33.16667,129.71667,1007,0,0,0,2,0,0,0,0.001986097,
99662099999,50.87,-129.92,1007,0,0,0,0,0,0,0,0,
4999900008,73.48,-37.62,1008,29,37,44,52,0.028769841,0.036706349,0.043650794,0.051587302,
71050599999,52.117,-124.083,1010,11,3,23,27,0.010891089,0.002970297,0.022772277,0.026732673,
62809099999,11.3333333,27.8166666,1010,0,1,1,4,0,0.000990099,0.000990099,0.003960396,
99661099999,52.7,-154.98,1010,0,0,0,0,0,0,0,0,
87450099999,-32.183,-64.383,1011,2,7,3,17,0.001978239,0.006923838,0.002967359,0.016815035,
81742099999,-3.85,-50.6333333,1011,0,0,0,0,0,0,0,0,
72602099999,nan,nan,1012,9,19,10,28,0.008893281,0.018774704,0.009881423,0.027667984,
99640099999,34.24,-119.85,1013,0,0,0,0,0,0,0,0,
3557199999,52.067,-0.617,1014,0,0,0,1,0,0,0,0.000986193,
81828099999,-5.9166666,-42.7166666,1014,0,0,0,0,0,0,0,0,
83634099999,-20.7,-46.333,1015,0,1,4,12,0,0.000985222,0.003940887,0.01182266,
16134399999,44.0333333,10.9333333,1015,0,2,1,2,0,0.001970443,0.000985222,0.001970443,
11352099999,47.9833333,13.4166666,1015,0,5,2,13,0,0.004926108,0.001970443,0.012807882,
72070853849,32.8,-88.83333,1015,12,13,19,19,0.01182266,0.012807882,0.018719212,0.018719212,
34917099999,45.233,36.75,1016,0,6,3,9,0,0.005905512,0.002952756,0.008858268,
72667399999,45.433,-105.4,1016,11,37,19,44,0.010826772,0.036417323,0.018700787,0.043307087,
71820199999,47.55,-79.23,1016,19,24,17,34,0.018700787,0.023622047,0.016732283,0.033464567,
16238099999,41.8666666,12.5666666,1017,0,0,45,20,0,0,0.044247788,0.019665683,
91728099999,-9.383,-171.25,1019,0,2,3,8,0,0.001962709,0.002944063,0.007850834,
99683099999,53.47,5.42,1019,0,0,0,1,0,0,0,0.000981354,
40578099999,14.75,42.983,1020,0,0,5,6,0,0,0.004901961,0.005882353,
67976099999,-20.55,31.0833333,1021,6,11,3,22,0.005876592,0.010773751,0.002938296,0.021547502,
16401099999,38.7,13.1833333,1021,0,0,75,75,0,0,0.073457395,0.073457395,
72072300257,29.467,-92.367,1021,2,0,7,0,0.001958864,0,0.006856024,0,
72083799999,45.35955,-117.253836,1022,5,18,6,14,0.004892368,0.017612524,0.005870841,0.01369863,
1499099999,nan,nan,1023,0,1,0,1,0,0.000977517,0,0.000977517,
91742099999,-14.0333333,-171.7666666,1023,0,0,0,0,0,0,0,0,
92014099999,-5.207083,145.7887,1024,0,0,0,0,0,0,0,0,
34434099999,49.2166666,39.5833333,1025,4,11,6,20,0.003902439,0.010731707,0.005853659,0.019512195,
60476099999,35.4666666,7.0833333,1026,0,5,7,12,0,0.004873294,0.006822612,0.011695906,
71739399999,48.367,-89.117,1027,8,9,11,6,0.007789679,0.008763389,0.010710808,0.005842259,
71896599999,52.18,-128.12,1028,0,0,0,0,0,0,0,0,
46690099999,25.167,121.433,1029,1,6,1,5,0.000971817,0.005830904,0.000971817,0.004859086,
7528099999,44.85,0.483,1029,0,7,0,29,0,0.006802721,0,0.028182702,
7494099999,45.9333333,6.1,1029,0,2,1,6,0,0.001943635,0.000971817,0.005830904,
36073099999,52.2666666,90.8,1029,2,21,6,57,0.001943635,0.020408163,0.005830904,0.055393586,
40908099999,36.6666666,65.7166666,1030,3,14,1,16,0.002912621,0.013592233,0.000970874,0.015533981,
61802099999,12.5666666,-13.5166666,1030,0,0,0,2,0,0,0,0.001941748,
99608099999,43.4,7.8,1030,0,1,0,1,0,0.000970874,0,0.000970874,
91657099999,-16.466749,179.33986,1030,0,0,0,1,0,0,0,0.000970874,
1295099999,64.55,12.15,1031,6,6,5,11,0.005819593,0.005819593,0.004849661,0.010669253,
38835099999,38.567,68.333,1032,3,10,1,6,0.002906977,0.009689922,0.000968992,0.005813953,
40981099999,32.2,68.35,1032,0,1,0,6,0,0.000968992,0,0.005813953,
10139099999,53.5,9.167,1032,0,3,1,12,0,0.002906977,0.000968992,0.011627907,
99664099999,51.4,-7.92,1032,0,0,2,1,0,0,0.001937984,0.000968992,
72309499999,34.65,-77.1,1033,6,5,7,3,0.005808325,0.004840271,0.006776379,0.002904163,
86878099999,-22.8,-43.6833333,1033,0,11,1,10,0,0.010648596,0.000968054,0.009680542,
48431699999,14.933,102.083,1034,0,2,0,2,0,0.001934236,0,0.001934236,
99650099999,48.84,-126,1034,0,0,0,0,0,0,0,0,
23925099999,60.4,63.133,1035,19,22,27,38,0.018357488,0.021256039,0.026086957,0.036714976,
72618899999,44.28,-68.27,1035,5,9,9,11,0.004830918,0.008695652,0.008695652,0.010628019,
48354599999,17.367,102.8,1036,0,3,1,2,0,0.002895753,0.000965251,0.001930502,
16127099999,44.0833333,9.9833333,1036,0,0,36,27,0,0,0.034749035,0.026061776,
37178099999,43.2,40.35,1037,0,3,1,5,0,0.00289296,0.00096432,0.004821601,
72292599999,33.017,-118.583,1037,1,1,0,0,0.00096432,0.00096432,0,0,
81893099999,-7.2,-59.8833333,1037,0,1,0,0,0,0.00096432,0,0,
99999953011,36.292,-109.2181,1038,8,9,25,7,0.007707129,0.00867052,0.024084778,0.006743738,
72578699999,42.167,-112.297,1039,8,20,24,49,0.007699711,0.019249278,0.023099134,0.047160731,
87498099999,-33.583,-59.267,1040,2,4,5,18,0.001923077,0.003846154,0.004807692,0.017307692,
99629099999,15.9,-57.9,1040,0,0,1,0,0,0,0.000961538,0,
99570099999,45.2,-5,1041,0,0,0,0,0,0,0,0,
42295099999,27.05,88.2666666,1041,0,0,0,0,0,0,0,0,
99684099999,60.7,-4.5,1042,0,1,0,0,0,0.000959693,0,0,
99295099999,34.27,-120.66,1042,0,0,0,0,0,0,0,0,
99696099999,49.74,-127.93,1042,0,0,0,0,0,0,0,0,
62054099999,32.5166666,20.8833333,1042,1,5,6,28,0.000959693,0.004798464,0.005758157,0.026871401,
65264099999,4.976019,8.347197,1043,0,0,0,0,0,0,0,0,
87187099999,-27.4833333,-55.1333333,1043,0,11,3,7,0,0.0105465,0.002876318,0.006711409,
41080099999,19.1166666,41.0833333,1043,5,13,9,14,0.004793864,0.012464046,0.008628955,0.013422819,
99298099999,43.75,-51.74,1043,0,0,0,0,0,0,0,0,
72749599999,49.033,-90.467,1044,34,27,77,63,0.03256705,0.025862069,0.073754789,0.060344828,
99653099999,52.42,-129.81,1044,0,1,0,1,0,0.000957854,0,0.000957854,
10558099999,50.383,11.183,1045,0,5,0,0,0,0.004784689,0,0,
99676099999,44.62,-124.53,1045,0,0,0,0,0,0,0,0,
91737099999,-13.5333333,-172.7166666,1045,0,0,0,0,0,0,0,0,
89060099999,-64.15,-60.95,1046,0,9,16,24,0,0.008604207,0.015296367,0.022944551,
99285099999,60.58,-146.83,1046,0,0,0,0,0,0,0,0,
94047099999,-6.567,146.717,1047,0,0,0,0,0,0,0,0,
72207799999,32.02,-80.85,1050,3,5,4,5,0.002857143,0.004761905,0.003809524,0.004761905,
85889099999,-46.8,-75.6333333,1052,0,1,0,0,0,0.00095057,0,0,
38853099999,38.65,70.717,1052,0,2,1,6,0,0.001901141,0.00095057,0.005703422,
16178099999,43.5166666,12.7166666,1053,0,4,9,8,0,0.00379867,0.008547009,0.007597341,
84051099999,0.2166667,-78.25,1054,0,2,2,4,0,0.001897533,0.001897533,0.003795066,
34733099999,47.083,40.75,1054,0,4,4,7,0,0.003795066,0.003795066,0.006641366,
72378699999,35.25,-113.933,1054,1,1,11,8,0.000948767,0.000948767,0.010436433,0.007590133,
21701099999,72.817,113.267,1055,3,15,3,13,0.002843602,0.014218009,0.002843602,0.012322275,
71631599999,43.767,-81.7,1055,8,17,7,11,0.007582938,0.016113744,0.006635071,0.01042654,
99679099999,56.4,2,1055,0,0,0,0,0,0,0,0,
72263513973,30.51083,-99.76639,1056,17,10,37,45,0.016098485,0.009469697,0.035037879,0.042613636,
72073399999,29.723931,-98.694642,1056,8,10,30,17,0.007575758,0.009469697,0.028409091,0.016098485,
72589099999,nan,nan,1057,0,11,4,15,0,0.010406812,0.003784295,0.014191107,
72491699999,36.681878,-121.762347,1057,2,4,12,13,0.001892148,0.003784295,0.011352886,0.012298959,
40571099999,29.5166666,48.6,1059,0,4,2,6,0,0.003777148,0.001888574,0.005665722,
72241899999,41.717,-87.533,1059,7,28,9,14,0.006610009,0.026440038,0.008498584,0.013220019,
99830399999,19.699,-80.061,1060,0,0,0,0,0,0,0,0,
86670099999,-13.25,-46.8833333,1060,0,0,0,0,0,0,0,0,
99607099999,61,1.7,1061,0,0,0,0,0,0,0,0,
44225199999,48.7388333,98.2965,1062,10,36,12,38,0.009416196,0.033898305,0.011299435,0.035781544,
63043099999,13.0666666,42.7166666,1063,0,0,3,1,0,0,0.002822201,0.000940734,
71634199999,43,-82.3,1064,18,26,12,26,0.016917293,0.02443609,0.011278195,0.02443609,
65208099999,7.4333333,3.9,1065,0,0,1,0,0,0,0.000938967,0,
61717099999,13.7166666,-15.25,1065,0,0,0,1,0,0,0,0.000938967,
40913399999,36.6666667,68.9,1066,4,9,1,5,0.003752345,0.008442777,0.000938086,0.004690432,
70063999999,69.167,-148.817,1067,14,27,23,36,0.0131209,0.025304592,0.021555764,0.033739456,
4999900005,72.57,-34.63,1067,12,20,32,36,0.011246485,0.018744142,0.029990628,0.033739456,
74796099999,27.65,-81.33,1068,1,5,2,6,0.00093633,0.004681648,0.001872659,0.005617978,
38842099999,38.683,69.567,1069,2,6,5,9,0.001870907,0.005612722,0.004677268,0.008419083,
99999953024,nan,nan,1069,15,21,23,16,0.014031805,0.019644528,0.021515435,0.014967259,
41177099999,24.7166666,51.2166666,1070,0,3,0,0,0,0.002803738,0,0,
62770099999,13.4833333,22.45,1071,1,1,3,2,0.000933707,0.000933707,0.00280112,0.001867414,
33645099999,48.267,24.367,1071,1,5,2,14,0.000933707,0.004668534,0.001867414,0.013071895,
99504099999,57.6,1.8,1071,0,1,0,0,0,0.000933707,0,0,
99999953181,nan,nan,1071,1,3,5,4,0.000933707,0.00280112,0.004668534,0.003734827,
71926599999,64.3,-96,1072,4,9,1,9,0.003731343,0.008395522,0.000932836,0.008395522,
71113499999,49.217,-123.8,1072,0,0,0,0,0,0,0,0,
14301499999,45.533,18.633,1072,4,13,0,14,0.003731343,0.012126866,0,0.013059701,
99999953019,nan,nan,1072,0,3,7,6,0,0.002798507,0.006529851,0.005597015,
84139099999,-2.883,-78.967,1073,0,3,3,9,0,0.002795899,0.002795899,0.008387698,
99516099999,60.22,-146.83,1073,0,0,0,0,0,0,0,0,
71416499999,45.717,-60.233,1074,5,16,5,5,0.004655493,0.014897579,0.004655493,0.004655493,
99692099999,61.1,1,1074,0,0,0,0,0,0,0,0,
72081599999,39.630306,-86.8139,1074,10,19,13,18,0.009310987,0.017690875,0.012104283,0.016759777,
99999953022,nan,nan,1075,10,18,18,18,0.009302326,0.016744186,0.016744186,0.016744186,
32293099999,57.8,158.667,1076,11,11,22,38,0.010223048,0.010223048,0.020446097,0.035315985,
2202099999,68.217,19.717,1076,6,8,9,14,0.005576208,0.007434944,0.008364312,0.013011152,
72599599999,42.83,-124.57,1077,0,1,0,1,0,0.000928505,0,0.000928505,
71881499999,53.083,-116.817,1077,1,5,5,5,0.000928505,0.004642526,0.004642526,0.004642526,
86684099999,-14.4166666,-54.0333333,1077,1,1,1,1,0.000928505,0.000928505,0.000928505,0.000928505,
70489599999,54.6,-164.933,1080,0,0,2,4,0,0,0.001851852,0.003703704,
57765099999,27.5,111.5,1080,0,18,3,23,0,0.016666667,0.002777778,0.021296296,
40376099999,27.6,38.5666666,1080,0,1,3,5,0,0.000925926,0.002777778,0.00462963,
99674099999,32.43,-119.53,1080,0,0,0,0,0,0,0,0,
72595099999,41.5,-120.533,1082,2,6,19,15,0.001848429,0.005545287,0.017560074,0.013863216,
35259099999,50.267,64.217,1083,11,16,17,17,0.010156971,0.014773777,0.015697138,0.015697138,
89125068201,-80.017,-119.533,1083,2,7,5,12,0.001846722,0.006463527,0.004616805,0.011080332,
76582599999,20.5,-97.467,1083,4,7,1,8,0.003693444,0.006463527,0.000923361,0.007386888,
72230099999,33.183,-86.783,1083,7,4,7,28,0.006463527,0.003693444,0.006463527,0.025854109,
44302199999,nan,nan,1084,11,33,9,30,0.010147601,0.030442804,0.008302583,0.027675277,
99289099999,57,0,1084,0,0,0,0,0,0,0,0,
26620099999,55.4,23.8833333,1086,2,5,0,6,0.001841621,0.004604052,0,0.005524862,
3407099999,52.8,-4.117,1086,0,2,1,8,0,0.001841621,0.00092081,0.007366483,
71870399999,50.267,-107.733,1087,21,25,23,10,0.019319227,0.02299908,0.021159154,0.009199632,
40976399999,31.65,64.96,1087,1,2,0,2,0.000919963,0.001839926,0,0.001839926,
